neg_event,event
PersonX does not put PersonY to shame,PersonX puts PersonY to shame
PersonX does not kick PersonY out,PersonX kicks PersonY out
PersonX does not speed past PersonY,PersonX speeds past PersonY
PersonX does not start a fight with PersonY,PersonX starts a fight with PersonY
PersonX does not race PersonY's friend,PersonX races PersonY's friend
PersonX would not make fun of PersonY,PersonX would make fun of PersonY
PersonX does not show PersonY something,PersonX shows PersonY something
PersonX does not kill PersonY father,PersonX kills PersonY father
PersonX does not want to surprise PersonY,PersonX wants to surprise PersonY
PersonX does not kill PersonY's children,PersonX kills PersonY's children
PersonX does not reduce PersonX's stress,PersonX reduces PersonX's stress
PersonX does not show PersonY kindness,PersonX shows PersonY kindness
PersonX does not take a trip to PersonY,PersonX takes a trip to PersonY
PersonX does not yell back,PersonX yells back
PersonX does not remind PersonY of PersonZ,PersonX reminds PersonY of PersonZ
PersonX does not serve PersonY well,PersonX serves PersonY well
PersonX does not want a divorce,PersonX wants a divorce
PersonX does not take a cooking class,PersonX takes a cooking class
PersonX does not try to talk PersonY out of it,PersonX tries to talk PersonY out of it
PersonX does not remove PersonY's hand,PersonX removes PersonY's hand
PersonX does not spin PersonY around,PersonX spins PersonY around
PersonX does not kiss PersonY on both cheeks,PersonX kisses PersonY on both cheeks
PersonX does not talk all the time,PersonX talks all the time
PersonX does not repel PersonY attack,PersonX repels PersonY attack
PersonX does not use as PersonY instrument,PersonX uses as PersonY instrument
PersonX does not return the ring,PersonX returns the ring
PersonX does not sell it on ebay,PersonX sells it on ebay
PersonX does not know how to fix it,PersonX knows how to fix it
PersonX does not take refuge in PersonY,PersonX takes refuge in PersonY
PersonX does not watch the movie together,PersonX watches the movie together
PersonX does not tie PersonY together,PersonX ties PersonY together
PersonX does not see PersonY's dad,PersonX sees PersonY's dad
PersonX does not send PersonY word,PersonX sends PersonY word
PersonX does not ruin PersonY's life,PersonX ruins PersonY's life
PersonX does not learn that PersonY was pregnant,PersonX learns that PersonY was pregnant
PersonX does not touch PersonY's face,PersonX touches PersonY's face
PersonX does not tell PersonY not to,PersonX tells PersonY not to
PersonX does not want PersonY to leave,PersonX wants PersonY to leave
PersonX does not lift PersonY's hand,PersonX lifts PersonY's hand
PersonX does not tell PersonY's coworkers,PersonX tells PersonY's coworkers
PersonX does not take nothing for granted,PersonX takes nothing for granted
PersonX does not look PersonY straight in the eye,PersonX looks PersonY straight in the eye
PersonX does not want to spend time with PersonY,PersonX wants to spend time with PersonY
PersonX does not take a shortcut,PersonX takes a shortcut
PersonX does not sit with PersonY's friends,PersonX sits with PersonY's friends
PersonX does not look at PersonY for a moment,PersonX looks at PersonY for a moment
PersonX does not say would leave,PersonX says would leave
PersonX does not treat PersonY with contempt,PersonX treats PersonY with contempt
PersonX does not write PersonY letter,PersonX writes PersonY letter
PersonX does not save PersonY's life,PersonX saves PersonY's life
PersonX does not lose PersonY's money,PersonX loses PersonY's money
PersonX does not visit PersonY's home,PersonX visits PersonY's home
PersonX does not lose the bet,PersonX loses the bet
PersonX does not take PersonY for a walk,PersonX takes PersonY for a walk
PersonX does not see PersonY in PersonZ's office,PersonX sees PersonY in PersonZ's office
PersonX does not act as PersonY intermediary,PersonX acts as PersonY intermediary
PersonX does not see PersonY,PersonX sees PersonY
PersonX does not take PersonY to the emergency room,PersonX takes PersonY to the emergency room
PersonX does not take PersonY's orders,PersonX takes PersonY's orders
PersonX does not ask PersonY to the dance,PersonX asks PersonY to the dance
PersonX does not make PersonY acquaintance,PersonX makes PersonY acquaintance
PersonX does not take PersonY all day,PersonX takes PersonY all day
PersonX does not wipe PersonY's mouth,PersonX wipes PersonY's mouth
PersonX does not straddle PersonY's hips,PersonX straddles PersonY's hips
PersonX does not take PersonY to school,PersonX takes PersonY to school
PersonX does not make PersonY crazy,PersonX makes PersonY crazy
PersonX does not tell a joke,PersonX tells a joke
PersonX does not ask PersonY's forgiveness,PersonX asks PersonY's forgiveness
PersonX does not seek PersonY's help,PersonX seeks PersonY's help
PersonX does not speed down the road,PersonX speeds down the road
PersonX does not soothe PersonY,PersonX soothes PersonY
PersonX does not ask a girl out,PersonX asks a girl out
PersonX does not talk PersonY,PersonX talks PersonY
PersonX does not make PersonY offer,PersonX makes PersonY offer
PersonX does not tell PersonY was pregnant,PersonX tells PersonY was pregnant
PersonX does not sit PersonY down,PersonX sits PersonY down
PersonX does not take PersonY to PersonZ,PersonX takes PersonY to PersonZ
PersonX does not see PersonY tomorrow,PersonX sees PersonY tomorrow
PersonX does not ask my mom,PersonX asks my mom
PersonX does not make PersonY proud,PersonX makes PersonY proud
PersonX does not use PersonY's services,PersonX uses PersonY's services
PersonX does not walk across the stage,PersonX walks across the stage
PersonX does not attack PersonY,PersonX attacks PersonY
PersonX does not support PersonY's families,PersonX supports PersonY's families
PersonX does not take PersonY's bike,PersonX takes PersonY's bike
PersonX does not make a break for it,PersonX makes a break for it
PersonX does not teach PersonX's children,PersonX teaches PersonX's children
PersonX does not seize PersonY's hand,PersonX seizes PersonY's hand
PersonX does not thank PersonX's boss,PersonX thanks PersonX's boss
PersonX does not make a soup,PersonX makes a soup
PersonX does not tell PersonY's father,PersonX tells PersonY's father
PersonX does not attend PersonY's funeral,PersonX attends PersonY's funeral
PersonX does not want to take pictures,PersonX wants to take pictures
PersonX does not smell good,PersonX smells good
PersonX does not visit PersonY's grandma,PersonX visits PersonY's grandma
PersonX does not make an a on PersonY's test,PersonX makes an a on PersonY's test
PersonX does not bid PersonY's farewell,PersonX bids PersonY's farewell
PersonX does not rob the cradle,PersonX robs the cradle
PersonX does not teach PersonY,PersonX teaches PersonY
PersonX does not stroke PersonY's back,PersonX strokes PersonY's back
PersonX does not surprise PersonY's wife,PersonX surprises PersonY's wife
PersonX does not touch PersonY's cheek,PersonX touches PersonY's cheek
PersonX does not take PersonX's two kids,PersonX takes PersonX's two kids
PersonX does not make the pizza,PersonX makes the pizza
PersonX does not take PersonY by the arm,PersonX takes PersonY by the arm
PersonX does not blow PersonY's engine,PersonX blows PersonY's engine
PersonX does not make things better,PersonX makes things better
PersonX does not sell PersonX's land,PersonX sells PersonX's land
PersonX does not see PersonY in years,PersonX sees PersonY in years
PersonX does not accept PersonY thanks,PersonX accepts PersonY thanks
PersonX does not meet PersonY's neighbors,PersonX meets PersonY's neighbors
PersonX does not board PersonX's plane,PersonX boards PersonX's plane
PersonX does not sweep PersonY away,PersonX sweeps PersonY away
PersonX does not suit PersonY,PersonX suits PersonY
PersonX does not tell PersonY it was broken,PersonX tells PersonY it was broken
PersonX does not succeed PersonX's father,PersonX succeeds PersonX's father
PersonX does not accept PersonY's proposal,PersonX accepts PersonY's proposal
PersonX does not stop in front of PersonY,PersonX stops in front of PersonY
PersonX does not move PersonY's arm,PersonX moves PersonY's arm
PersonX does not borrow some money,PersonX borrows some money
PersonX does not take PersonX's cat,PersonX takes PersonX's cat
PersonX does not wave at PersonY,PersonX waves at PersonY
PersonX does not act like a man,PersonX acts like a man
PersonX would not make PersonY feel better,PersonX would make PersonY feel better
PersonX does not visit PersonY's grandmother,PersonX visits PersonY's grandmother
PersonX does not borrow the money,PersonX borrows the money
PersonX does not take PersonX's wallet,PersonX takes PersonX's wallet
PersonX does not break PersonY's foot,PersonX breaks PersonY's foot
PersonX does not take a family trip,PersonX takes a family trip
PersonX does not agree to a date,PersonX agrees to a date
PersonX does not urge PersonY to join,PersonX urges PersonY to join
PersonX does not spend with PersonX's family,PersonX spends with PersonX's family
PersonX does not take money,PersonX takes money
PersonX does not break PersonY's hand,PersonX breaks PersonY's hand
PersonX does not move back in with my parents,PersonX moves back in with my parents
PersonX did not also take PersonY,PersonX also took PersonY
PersonX does not speak well of PersonY,PersonX speaks well of PersonY
PersonX does not swarm PersonY,PersonX swarms PersonY
PersonX does not call the police for help,PersonX calls the police for help
PersonX does not arrive to pick PersonY up,PersonX arrives to pick PersonY up
PersonX does not sell PersonY's wares,PersonX sells PersonY's wares
PersonX does not move closer to PersonY,PersonX moves closer to PersonY
PersonX does not move to another city,PersonX moves to another city
PersonX does not teach PersonY how to play,PersonX teaches PersonY how to play
PersonX does not take my dog,PersonX takes my dog
PersonX does not ask PersonX's neighbor,PersonX asks PersonX's neighbor
PersonX does not cancel the date,PersonX cancels the date
PersonX does not name PersonY,PersonX names PersonY
PersonX does not change PersonX's religion,PersonX changes PersonX's religion
PersonX does not overcome PersonY's fear,PersonX overcomes PersonY's fear
PersonX does not ask PersonY the question,PersonX asks PersonY the question
PersonX does not steal money,PersonX steals money
PersonX does not cheer PersonY up,PersonX cheers PersonY up
PersonX does not want to see PersonY again,PersonX wants to see PersonY again
PersonX does not own PersonX's own business,PersonX owns PersonX's own business
PersonX does not ask PersonY's brother,PersonX asks PersonY's brother
PersonX does not talk to PersonY a bit,PersonX talks to PersonY a bit
PersonX does not come near PersonY,PersonX comes near PersonY
PersonX does not sell candy bars,PersonX sells candy bars
PersonX does not pay PersonY wages,PersonX pays PersonY wages
PersonX does not ask questions,PersonX asks questions
PersonX does not come over to PersonY,PersonX comes over to PersonY
PersonX does not take time off,PersonX takes time off
PersonX does not perform PersonY act,PersonX performs PersonY act
PersonX does not ruffle PersonY's hair,PersonX ruffles PersonY's hair
PersonX does not attend PersonY meeting,PersonX attends PersonY meeting
PersonX does not take PersonY's date,PersonX takes PersonY's date
PersonX does not send PersonY one,PersonX sends PersonY one
PersonX does not take PersonY back home,PersonX takes PersonY back home
PersonX does not place PersonY's lips,PersonX places PersonY's lips
PersonX does not bar PersonY's way,PersonX bars PersonY's way
PersonX does not visit family,PersonX visits family
PersonX does not study enough,PersonX studies enough
PersonX does not set a trap,PersonX sets a trap
PersonX does not take PersonX's wife out,PersonX takes PersonX's wife out
PersonX does not start talking to PersonY,PersonX starts talking to PersonY
PersonX does not provide PersonY,PersonX provides PersonY
PersonX does not become a teacher,PersonX becomes a teacher
PersonX does not rub PersonY the wrong way,PersonX rubs PersonY the wrong way
PersonX does not talk to PersonX's neighbor,PersonX talks to PersonX's neighbor
PersonX does not return to PersonY's place,PersonX returns to PersonY's place
PersonX does not provide PersonY environment,PersonX provides PersonY environment
PersonX does not see PersonY in concert,PersonX sees PersonY in concert
PersonX does not stand in the gap,PersonX stands in the gap
PersonX does not send PersonX's friend,PersonX sends PersonX's friend
PersonX does not provide PersonY explanation,PersonX provides PersonY explanation
PersonX does not beg PersonY's forgiveness,PersonX begs PersonY's forgiveness
PersonX does not stand in front of PersonY,PersonX stands in front of PersonY
PersonX does not run up to PersonY,PersonX runs up to PersonY
PersonX does not make a living,PersonX makes a living
PersonX does not beg PersonY's mom,PersonX begs PersonY's mom
PersonX does not solve PersonY problem,PersonX solves PersonY problem
PersonX does not provide PersonY overview,PersonX provides PersonY overview
PersonX does not run 5 miles,PersonX runs 5 miles
PersonX does not win first prize,PersonX wins first prize
PersonX does not make a lot of noise,PersonX makes a lot of noise
PersonX does not tell PersonX's friends about it,PersonX tells PersonX's friends about it
PersonX does not see my dog,PersonX sees my dog
PersonX does not provide PersonY with information,PersonX provides PersonY with information
PersonX does not make a profile,PersonX makes a profile
PersonX does not see PersonY times,PersonX sees PersonY times
PersonX does not believe what PersonY saw,PersonX believes what PersonY saw
PersonX does not see PersonX's best friend,PersonX sees PersonX's best friend
PersonX does not make fun of PersonY's name,PersonX makes fun of PersonY's name
PersonX does not see PersonY for years,PersonX sees PersonY for years
PersonX does not add insult to injury,PersonX adds insult to injury
PersonX does not blow PersonY's cover,PersonX blows PersonY's cover
PersonX does not see PersonY father,PersonX sees PersonY father
PersonX does not throw PersonY to the ground,PersonX throws PersonY to the ground
PersonX does not adopt PersonY,PersonX adopts PersonY
PersonX does not meet PersonX's date,PersonX meets PersonX's date
PersonX did not boo PersonY off the stage,PersonX boos PersonY off the stage
PersonX does not take PersonY to the airport,PersonX takes PersonY to the airport
PersonX does not tell PersonY the things,PersonX tells PersonY the things
PersonX does not advance toward PersonY,PersonX advances toward PersonY
PersonX does not tilt PersonY's head slightly,PersonX tilts PersonY's head slightly
PersonX does not move PersonY's head,PersonX moves PersonY's head
PersonX does not pull PersonY closer to PersonY,PersonX pulls PersonY closer to PersonY
PersonX does not teach PersonY's dog,PersonX teaches PersonY's dog
PersonX does not answer the call,PersonX answers the call
PersonX does not need PersonY help,PersonX needs PersonY help
PersonX does not take PersonY to PersonX's favorite restaurant,PersonX takes PersonY to PersonX's favorite restaurant
PersonX does not bring PersonY back to life,PersonX brings PersonY back to life
PersonX does not throw PersonY into prison,PersonX throws PersonY into prison
PersonX does not offer a job,PersonX offers a job
PersonX does not ask PersonY for a pencil,PersonX asks PersonY for a pencil
PersonX does not seize PersonY by the arm,PersonX seizes PersonY by the arm
PersonX does not push PersonY back,PersonX pushes PersonY back
PersonX does not ask my parents,PersonX asks my parents
PersonX does not build PersonY's nest,PersonX builds PersonY's nest
PersonX does not owe PersonY money,PersonX owes PersonY money
PersonX does not want to go to the doctor,PersonX wants to go to the doctor
PersonX does not pay PersonY's cable bill,PersonX pays PersonY's cable bill
PersonX does not share with PersonY,PersonX shares with PersonY
PersonX does not ask the question,PersonX asks the question
PersonX does not buy a christmas tree,PersonX buys a christmas tree
PersonX does not perform the heimlich maneuver,PersonX performs the heimlich maneuver
PersonX does not shout at PersonY,PersonX shouts at PersonY
PersonX does not send it to PersonY,PersonX sends it to PersonY
PersonX does not tell PersonY the good news,PersonX tells PersonY the good news
PersonX does not push past PersonY,PersonX pushes past PersonY
PersonX does not call PersonX's girlfriend,PersonX calls PersonX's girlfriend
PersonX does not slap PersonY on the back,PersonX slaps PersonY on the back
PersonX does not perform tricks,PersonX performs tricks
PersonX does not put PersonX's trust in PersonY,PersonX puts PersonX's trust in PersonY
PersonX does not catch a bird,PersonX catches a bird
PersonX does not touch PersonY's heart,PersonX touches PersonY's heart
PersonX does not put PersonY out,PersonX puts PersonY out
PersonX does not persuade PersonY to let,PersonX persuades PersonY to let
PersonX does not change PersonY's attitudes,PersonX changes PersonY's attitudes
PersonX does not see PersonY much,PersonX sees PersonY much
PersonX does not put it in PersonY pocket,PersonX puts it in PersonY pocket
PersonX does not check PersonY's temperature,PersonX checks PersonY's temperature
PersonX does not rush towards PersonY,PersonX rushes towards PersonY
PersonX does not play banjo,PersonX plays banjo
PersonX does not take PersonY along,PersonX takes PersonY along
PersonX does not come back to PersonY,PersonX comes back to PersonY
PersonX does not play basketball at the park,PersonX plays basketball at the park
PersonX does not come to PersonY decision,PersonX comes to PersonY decision
PersonX does not play basketball with PersonY's friends,PersonX plays basketball with PersonY's friends
PersonX does not write PersonY up,PersonX writes PersonY up
PersonX did not slowly move PersonY's mouth up,PersonX slowly moved PersonY's mouth up
PersonX does not play bass guitar,PersonX plays bass guitar
PersonX does not continue PersonY's work,PersonX continues PersonY's work
PersonX does not read PersonY's letters,PersonX reads PersonY's letters
PersonX does not cook PersonY's food,PersonX cooks PersonY's food
PersonX does not shovel snow,PersonX shovels snow
PersonX does not play this game,PersonX plays this game
PersonX does not work quickly,PersonX works quickly
PersonX does not play tricks on PersonY,PersonX plays tricks on PersonY
PersonX does not receive a refund,PersonX receives a refund
PersonX does not solve PersonY's problem,PersonX solves PersonY's problem
PersonX does not reduce PersonY's risk,PersonX reduces PersonY's risk
PersonX does not play very well,PersonX plays very well
PersonX does not press PersonY's mouth,PersonX presses PersonY's mouth
PersonX does not see PersonY's aunt,PersonX sees PersonY's aunt
PersonX does not refuse PersonY,PersonX refuses PersonY
PersonX does not pretend to like it,PersonX pretends to like it
PersonX does not require PersonY effort,PersonX requires PersonY effort
PersonX does not surprise PersonX's mother,PersonX surprises PersonX's mother
PersonX does not start chasing PersonY,PersonX starts chasing PersonY
PersonX does not spend more time with PersonY,PersonX spends more time with PersonY
PersonX did not finally ask,PersonX finally asked
PersonX does not prevent PersonY attack,PersonX prevents PersonY attack
PersonX does not have a great time with PersonY's friends,PersonX has a great time with PersonY's friends
PersonX does not scar the crap out of PersonY,PersonX scars the crap out of PersonY
PersonX does not prom with PersonY,PersonX prom with PersonY
PersonX does not sling over PersonY's shoulder,PersonX slings over PersonY's shoulder
PersonX does not find PersonY a man,PersonX finds PersonY a man
PersonX does not have a test coming up,PersonX has a test coming up
PersonX does not find PersonY apartment,PersonX finds PersonY apartment
PersonX does not send to jail,PersonX sends to jail
PersonX does not find PersonY's dog,PersonX finds PersonY's dog
PersonX does not threaten PersonY's life,PersonX threatens PersonY's life
PersonX does not have just moved to a new town,PersonX has just moved to a new town
PersonX does not find PersonY's expression,PersonX finds PersonY's expression
PersonX does not box PersonY's ears,PersonX boxes PersonY's ears
PersonX does not have too much fun,PersonX has too much fun
PersonX does not hide under PersonY's bed,PersonX hides under PersonY's bed
PersonX does not find out PersonY was pregnant,PersonX finds out PersonY was pregnant
PersonX does not protect PersonY from the sun,PersonX protects PersonY from the sun
PersonX does not hire a private investigator,PersonX hires a private investigator
PersonX did not fix PersonY's car,PersonX fixes PersonY's car
PersonX does not provide PersonY answer,PersonX provides PersonY answer
PersonX does not hunt the eggs,PersonX hunts the eggs
PersonX did not fix the issue,PersonX fixes the issue
PersonX does not push PersonY around,PersonX pushes PersonY around
PersonX does not spend time with PersonY's friends,PersonX spends time with PersonY's friends
PersonX did not immediately fell in love,PersonX immediately fell in love
PersonX does not bring PersonY fame,PersonX brings PersonY fame
PersonX does not supply PersonY with information,PersonX supplies PersonY with information
PersonX does not float PersonY's boat,PersonX floats PersonY's boat
PersonX does not push PersonY forward,PersonX pushes PersonY forward
PersonX does not impress a girl,PersonX impresses a girl
PersonX does not bring PersonY to school,PersonX brings PersonY to school
PersonX does not follow PersonY's example,PersonX follows PersonY's example
PersonX does not sing the song,PersonX sings the song
PersonX does not put PersonY arm around PersonZ,PersonX puts PersonY arm around PersonZ
PersonX does not bring everyone,PersonX brings everyone
PersonX does not invite back,PersonX invites back
PersonX does not follow the directions,PersonX follows the directions
PersonX does not put an ad,PersonX puts an ad
PersonX does not browse PersonX's collection,PersonX browses PersonX's collection
PersonX is not PersonY's prom date,PersonX is PersonY's prom date
PersonX does not forget PersonY's birthday,PersonX forgets PersonY's birthday
PersonX does not sit in front of PersonY,PersonX sits in front of PersonY
PersonX does not reject PersonY,PersonX rejects PersonY
PersonX does not take PersonY to the store,PersonX takes PersonY to the store
PersonX is not celebrating PersonY's birthday,PersonX is celebrating PersonY's birthday
PersonX does not remain until PersonY's death,PersonX remains until PersonY's death
PersonX does not bust the dust,PersonX busts the dust
PersonX does not frustrate PersonY,PersonX frustrates PersonY
PersonX does not see PersonY back,PersonX sees PersonY back
PersonX is not dying of cancer,PersonX is dying of cancer
PersonX does not sweep the floor,PersonX sweeps the floor
PersonX does not get PersonY a job,PersonX gets PersonY a job
PersonX does not buy PersonX's friend,PersonX buys PersonX's friend
PersonX does not represent PersonY's interests,PersonX represents PersonY's interests
PersonX does not buy PersonY,PersonX buys PersonY
PersonX does not join the basketball team,PersonX joins the basketball team
PersonX does not use PersonY system,PersonX uses PersonY system
PersonX does not take sides,PersonX takes sides
PersonX does not get PersonY's food,PersonX gets PersonY's food
PersonX does not buy a suit,PersonX buys a suit
PersonX does not sell PersonY's products,PersonX sells PersonY's products
PersonX does not join the football team,PersonX joins the football team
PersonX does not serve in the army,PersonX serves in the army
PersonX does not scar PersonY away,PersonX scares PersonY away
PersonX does not get a restraining order,PersonX gets a restraining order
PersonX would not win a prize,PersonX would win a prize
PersonX did not just get home,PersonX just got home
PersonX does not sing PersonX's song,PersonX sings PersonX's song
PersonX does not treat PersonY,PersonX treats PersonY
PersonX does not get new glasses,PersonX gets new glasses
PersonX does not turn tricks,PersonX turns tricks
PersonX does not keep PersonY warm,PersonX keeps PersonY warm
PersonX does not save PersonY from death,PersonX saves PersonY from death
PersonX does not get some candy,PersonX gets some candy
PersonX does not tell PersonY know,PersonX tells PersonY know
PersonX does not keep it in PersonX's pants,PersonX keeps it in PersonX's pants
PersonX does not give PersonY a gift,PersonX gives PersonY a gift
PersonX does not take PersonY's dog on a walk,PersonX takes PersonY's dog on a walk
PersonX does not keep the dog,PersonX keeps the dog
PersonX does not tell PersonX's jokes,PersonX tells PersonX's jokes
PersonX does not see a comedy show,PersonX sees a comedy show
PersonX does not kill PersonX's brother,PersonX kills PersonX's brother
PersonX does not tell PersonY mom,PersonX tells PersonY mom
PersonX does not give PersonY a makeover,PersonX gives PersonY a makeover
PersonX does not tip the scales,PersonX tips the scales
PersonX does not run amok,PersonX runs amok
PersonX does not kiss PersonY tenderly,PersonX kisses PersonY tenderly
PersonX does not give PersonY a ride,PersonX gives PersonY a ride
PersonX does not buy my son,PersonX buys my son
PersonX does not visit PersonY often,PersonX visits PersonY often
PersonX would not teach PersonY,PersonX would teach PersonY
PersonX does not want to make a good impression,PersonX wants to make a good impression
PersonX does not buy the supplies,PersonX buys the supplies
PersonX does not want to join,PersonX wants to join
PersonX does not write PersonY back,PersonX writes PersonY back
PersonX does not tell PersonY's sister,PersonX tells PersonY's sister
PersonX does not kneel next to PersonY,PersonX kneels next to PersonY
PersonX does not give PersonY a wink,PersonX gives PersonY a wink
PersonX does not call PersonY over,PersonX calls PersonY over
PersonX does not shade PersonX's eyes,PersonX shades PersonX's eyes
PersonX does not tell PersonY to sit,PersonX tells PersonY to sit
PersonX does not save the day,PersonX saves the day
PersonX does not lay behind PersonY,PersonX lays behind PersonY
PersonX does not give PersonY advantage,PersonX gives PersonY advantage
PersonX does not call to PersonY,PersonX calls to PersonY
PersonX does not take PersonY to the game,PersonX takes PersonY to the game
PersonX does not walk PersonX's dogs,PersonX walks PersonX's dogs
PersonX does not use PersonY for purposes,PersonX uses PersonY for purposes
PersonX does not give PersonY an interview,PersonX gives PersonY an interview
PersonX does not lean towards PersonY,PersonX leans towards PersonY
PersonX does not cancel PersonY's trip,PersonX cancels PersonY's trip
PersonX does not visit PersonX's sister,PersonX visits PersonX's sister
PersonX does not take care of PersonY's,PersonX takes care of PersonY's
PersonX does not give PersonY comfort,PersonX gives PersonY comfort
PersonX does not tap PersonY on the shoulder,PersonX taps PersonY on the shoulder
PersonX does not learn to read,PersonX learns to read
PersonX does not satisfy PersonY's needs,PersonX satisfies PersonY's needs
PersonX does not tell mike,PersonX tells mike
PersonX does not give PersonY employment,PersonX gives PersonY employment
PersonX does not take the picture,PersonX takes the picture
PersonX does not leave PersonY soon,PersonX leaves PersonY soon
PersonX does not smell wonderful,PersonX smells wonderful
PersonX does not send PersonY a message,PersonX sends PersonY a message
PersonX does not say something,PersonX says something
PersonX does not cash PersonX's check,PersonX cashes PersonX's check
PersonX does not take PersonX's toddler,PersonX takes PersonX's toddler
PersonX does not see PersonY friend,PersonX sees PersonY friend
PersonX does not give PersonY space,PersonX gives PersonY space
PersonX does not let PersonY's friends,PersonX lets PersonY's friends
PersonX does not walk down the aisle,PersonX walks down the aisle
PersonX does not steal PersonY's thunder,PersonX steals PersonY's thunder
PersonX does not give PersonY the answer,PersonX gives PersonY the answer
PersonX does not rid PersonY's bikes,PersonX rids PersonY's bikes
PersonX does not let them have it,PersonX lets them have it
PersonX does not want to hire PersonY,PersonX wants to hire PersonY
PersonX does not take some money,PersonX takes some money
PersonX does not lie on the ground,PersonX lies on the ground
PersonX does not sing PersonY's songs,PersonX sings PersonY's songs
PersonX does not give PersonY the money,PersonX gives PersonY the money
PersonX does not celebrate PersonY's day,PersonX celebrates PersonY's day
PersonX does not return to PersonY's car,PersonX returns to PersonY's car
PersonX does not lift PersonY,PersonX lifts PersonY
PersonX does not take PersonY's breath away,PersonX takes PersonY's breath away
PersonX does not give up PersonY,PersonX gives up PersonY
PersonX did not accidentally knock,PersonX accidentally knocked
PersonX does not sit at PersonY's desk,PersonX sits at PersonY's desk
PersonX does not try and win,PersonX tries and win
PersonX does not like PersonY well,PersonX likes PersonY well
PersonX does not go beyond the scope,PersonX goes beyond the scope
PersonX does not think PersonY was incredibly cute,PersonX thinks PersonY was incredibly cute
PersonX does not change PersonX's nature,PersonX changes PersonX's nature
PersonX does not say PersonY's name,PersonX says PersonY's name
PersonX does not live in PersonY area,PersonX lives in PersonY area
PersonX does not go for the jugular,PersonX goes for the jugular
PersonX does not shove PersonY's hands,PersonX shoves PersonY's hands
PersonX does not smell PersonY,PersonX smells PersonY
PersonX does not check PersonY's mailbox,PersonX checks PersonY's mailbox
PersonX does not throw a huge party,PersonX throws a huge party
PersonX does not lock PersonY's keys in PersonX's car,PersonX locks PersonY's keys in PersonX's car
PersonX does not warn PersonY,PersonX warns PersonY
PersonX does not go on a date with PersonY,PersonX goes on a date with PersonY
PersonX does not lose PersonX's wife,PersonX loses PersonX's wife
PersonX does not visit PersonX's uncle,PersonX visits PersonX's uncle
PersonX does not take part in the expedition,PersonX takes part in the expedition
PersonX does not take part in the war,PersonX takes part in the war
PersonX does not check PersonY's phone,PersonX checks PersonY's phone
PersonX does not love PersonY enough,PersonX loves PersonY enough
PersonX does not go to a friend's house,PersonX goes to a friend's house
PersonX does not take PersonY by the hand,PersonX takes PersonY by the hand
PersonX does not collapse on top of PersonY,PersonX collapses on top of PersonY
PersonX does not try to argue,PersonX tries to argue
PersonX does not love PersonY still,PersonX loves PersonY still
PersonX does not grin like a cheshire cat,PersonX grins like a cheshire cat
PersonX does not try to reassure PersonY,PersonX tries to reassure PersonY
PersonX does not sing PersonY's song,PersonX sings PersonY's song
PersonX does not make PersonY better,PersonX makes PersonY better
PersonX does not confiscate PersonY's property,PersonX confiscates PersonY's property
PersonX does not have PersonX's baby,PersonX has PersonX's baby
PersonX does not make PersonY incision,PersonX makes PersonY incision
PersonX does not tell PersonY to come,PersonX tells PersonY to come
PersonX does not cry all the time,PersonX cries all the time
PersonX does not stay the night,PersonX stays the night
PersonX does not take first place,PersonX takes first place
PersonX does not have a great idea,PersonX has a great idea
PersonX does not make PersonY inventory,PersonX makes PersonY inventory
PersonX does not have dinner at PersonY's house,PersonX has dinner at PersonY's house
PersonX does not tear PersonY's eyes,PersonX tears PersonY's eyes
PersonX does not watch PersonY play,PersonX watches PersonY play
PersonX does not cross PersonY mind,PersonX crosses PersonY mind
PersonX does not set PersonY,PersonX sets PersonY
PersonX does not make PersonY's cry,PersonX makes PersonY's cry
PersonX does not have so much fun playing,PersonX has so much fun playing
PersonX does not cup PersonY's cheek,PersonX cups PersonY's cheek
PersonX does not visit PersonX's aunt,PersonX visits PersonX's aunt
PersonX does not shave all of PersonX's hair off,PersonX shaves all of PersonX's hair off
PersonX does not twist PersonY's ankle,PersonX twists PersonY's ankle
PersonX does not hear PersonY's cry,PersonX hears PersonY's cry
PersonX does not make a phone call,PersonX makes a phone call
PersonX does not treat PersonY like a PersonZ,PersonX treats PersonY like a PersonZ
PersonX does not cut PersonY's arm,PersonX cuts PersonY's arm
PersonX does not wait a week,PersonX waits a week
PersonX does not scar PersonY,PersonX scars PersonY
PersonX does not help PersonY's family,PersonX helps PersonY's family
PersonX does not make decisions for PersonY,PersonX makes decisions for PersonY
PersonX does not cut off PersonY's head,PersonX cuts off PersonY's head
PersonX does not see PersonZ's friend PersonY,PersonX sees PersonZ's friend PersonY
PersonX does not step on PersonY,PersonX steps on PersonY
PersonX does not ring PersonY's bell,PersonX rings PersonY's bell
PersonX does not make money online,PersonX makes money online
PersonX does not dance with PersonX's friends,PersonX dances with PersonX's friends
PersonX does not storm off to PersonX's room,PersonX storms off to PersonX's room
PersonX does not show PersonY interest,PersonX shows PersonY interest
PersonX does not make oatmeal,PersonX makes oatmeal
PersonX does not show PersonY sign,PersonX shows PersonY sign
PersonX does not swirl around PersonY,PersonX swirls around PersonY
PersonX does not make the purchase,PersonX makes the purchase
PersonX does not decide to go on vacation,PersonX decides to go on vacation
PersonX does not hide in PersonY's room,PersonX hides in PersonY's room
PersonX does not see a friend,PersonX sees a friend
PersonX does not stop the presses,PersonX stops the presses
