event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not ask PersonY to see,"[""none""]","[""confused"", ""irritated"", ""curious""]","[""none""]","[""selfish"", ""secretive"", ""reluctant"", ""independent""]","[""none""]","[""to show they don't care"", ""to find it themself"", ""to protect personY"", ""to prevent secret from leaking""]","[""to meet person y"", ""to hide it from person y"", ""none""]","[""annoyed"", ""pleased"", ""nervous"", ""secretive""]","[""to show it to person y"", ""to maintain a friendly relation ship with person y"", ""introduce themselves"", ""COME INTO CONTACT WIT HTHEM""]",trn,PersonX asks PersonY to see
PersonX does not take PersonX's son out,"[""overheats"", ""dies"", ""none""]","[""disappointed"", ""angry"", ""frustrated"", ""disenchanted"", ""neglected""]","[""to go out with PersonX"", ""to play with friends"", ""none""]","[""careful"", ""wary"", ""rude"", ""unsocial""]","[""arrested"", ""jailed"", ""none""]","[""stay home"", ""to keep their son home"", ""to stay safe in bad weather"", ""to go to bed"", ""to wait for better weather"", ""to have some time for themselves""]","[""to have a son"", ""to promise to take their son out"", ""none""]","[""guilty"", ""smart"", ""selfish"", ""cautious"", ""patient""]","[""to punish their son"", ""to finish their work"", ""keep inside"", ""be boring""]",trn,PersonX takes PersonX's son out
PersonX does not kiss PersonY,"[""Person Y breaths a sigh of relief"", ""Person Y blushes"", ""none""]","[""none"", ""heartbroken"", ""confrontational""]","[""none""]","[""Respectful"", ""Not attracted"", ""scared"", ""upset""]","[""none""]","[""none"", ""to not be unfaithful to their partner"", ""to not lead PersonY on""]","[""to know about person y"", ""to be friends first"", ""none""]","[""disgusted"", ""not loved"", ""ashamed"", ""conflicted""]","[""to get near to person y"", ""to hug person y"", ""to spend sometime with them first"", ""to get to know them first""]",trn,PersonX kisses PersonY
PersonX does not go back to PersonY,"[""Frustrated with person X"", ""Yells at person X"", ""none""]","[""let down"", ""poorly"", ""disappointed"", ""disliked""]","[""them to come back"", ""ask why they won't come back"", ""pursue other interests"", ""find a new romantic partner""]","[""carefree"", ""independent"", ""brave"", ""determined""]","[""Misses a deadline"", ""Upsets person y"", ""none""]","[""to go back to work"", ""to not be late"", ""they don't like PersonY"", ""they want to avoid PersonY""]","[""leave them"", ""figure out why they want to leave"", ""break up with someone"", ""get dumped""]","[""hurried"", ""rushed"", ""happy"", ""free""]","[""run away"", ""go to another town"", ""focus on themselves"", ""spend time with friends and family""]",trn,PersonX goes back to PersonY
PersonX does not increase PersonY's income,"[""none""]","[""frustrated"", ""unable to get ahead"", ""angry"", ""betrayed""]","[""none""]","[""unhelpful"", ""unable"", ""cheap"", ""mean""]","[""none""]","[""to not let PersonY get greedy"", ""to keep PersonY under their control"", ""to save money"", ""to be selfish""]","[""none"", ""review PersonY's work"", ""setuo a meeting with PersonY""]","[""superior"", ""in control of PersonX"", ""selfish"", ""miserly""]","[""fire Y"", ""save money"", ""advise PersonY on how to improve"", ""monitor PersonY's progress""]",trn,PersonX increases PersonY's income
PersonX does not listen to PersonY's words,"[""raises fist in anger"", ""yells suddenly"", ""none""]","[""ignored"", ""angry"", ""upset"", ""frustrated"", ""annoyed""]","[""To tell personX that they are rude"", ""To yell at personX for interrupting them"", ""convince them more"", ""yell at personX""]","[""rude"", ""selfish"", ""mean"", ""annoyed""]","[""none""]","[""to talk to PersonY"", ""to have conversation with PersonY"", ""to avoid what PersonY is saying"", ""to follow their own path""]","[""To grab their cell phone"", ""To call person Y"", ""none""]","[""annoyed"", ""bothered"", ""independent"", ""smart""]","[""To start talking over personY"", ""To hang up the phone"", ""Be happy with their decision"", ""Ask themselves who is right""]",trn,PersonX listens to PersonY's words
PersonX does not return PersonY's attention,"[""none""]","[""ignored"", ""unappreciated"", ""hurt"", ""rejected""]","[""none""]","[""unloving"", ""unkind"", ""uninterested"", ""preoccupied""]","[""none""]","[""to be independent"", ""to be left alone"", ""to reject person y""]","[""none""]","[""put upon"", ""like a heel"", ""annoyed"", ""unfriendly""]","[""to forget them"", ""to show them disregard"", ""to concentrate on the studies"", ""to be busy""]",trn,PersonX returns PersonY's attention
PersonX does not invite friends over,"[""none""]","[""offended"", ""sad"", ""disappointed"", ""Unappreciated""]","[""none"", ""to hang out"", ""to spend time together""]","[""isolated"", ""secluded"", ""lazy"", ""selfish""]","[""none""]","[""to be alone"", ""to relax"", ""Wants to be alone"", ""Has other things to do""]","[""none""]","[""guilty"", ""remorseful"", ""Relaxed"", ""Unsociable""]","[""to watch tv"", ""to clean the house"", ""to take a bath""]",trn,PersonX invites friends over
PersonX does not go to the beach with friends,"[""none""]","[""none"", ""hurt"", ""disappointed""]","[""none""]","[""lazy"", ""unfriendly"", ""occupied"", ""boring"", ""unadventurous""]","[""stays home"", ""relaxes"", ""none""]","[""to spend the time studying for finals"", ""to protect their skin from sun exposure"", ""avoid the sun"", ""spend time alone""]","[""none"", ""be offered to go to the beach"", ""have a sunny day""]","[""prepared to ace the test"", ""obligated to arrange the next social outing"", ""uninvolved"", ""isolated""]","[""to be home"", ""to go to the movies"", ""stays at home"", ""finds something else to do""]",trn,PersonX goes to the beach with friends
PersonX is not chasing PersonY,"[""none""]","[""happy"", ""calm"", ""none""]","[""none"", ""to stop fleeing"", ""to catch their breath""]","[""not playful"", ""lazy"", ""undetermined"", ""uninterested"", ""content""]","[""none""]","[""to be friendly"", ""to not scare y"", ""none""]","[""to walk"", ""to get shoes"", ""none""]","[""good"", ""relieved"", ""too frustrated"", ""too tired""]","[""walk away"", ""to job to a new place"", ""to tell PersonY they already forgave them"", ""to further conserve their energy""]",trn,PersonX is chasing PersonY
PersonX does not behave in PersonY manner,"[""gets explained to by personY"", ""gets confused"", ""none""]","[""upset"", ""betrayed"", ""none""]","[""none""]","[""appropriate"", ""proper"", ""independent"", ""autonomous"", ""free-spirited""]","[""gets questioned by personY"", ""gets looked at strangely by personY"", ""raises conflict"", ""gets misunderstood by y""]","[""to set a good example"", ""to be independent"", ""none""]","[""none"", ""not decide to mimic PersonY"", ""to act like themselves""]","[""proud"", ""gratified"", ""awkward"", ""clumsy""]","[""to express negative feelings"", ""to be lazy"", ""to continue acting like themselves"", ""to do nothing in particular""]",trn,PersonX behaves in PersonY manner
PersonX does not get PersonY's wallet back,"[""gets angry"", ""loses money and cards"", ""none""]","[""stressed"", ""ungrateful"", ""none""]","[""their wallet back"", ""support from X"", ""none""]","[""unsuccessful"", ""unskilled"", ""mean"", ""dishonest""]","[""none"", ""gets arrested"", ""accused of fraud""]","[""none""]","[""none""]","[""ineffective"", ""remorseful"", ""dismayed"", ""unhappy""]","[""to mind their own business"", ""to allow police to do their work independently"", ""check the wallet for money"", ""buy things with the money""]",trn,PersonX gets PersonY's wallet back
PersonX does not hurt PersonY's arm,"[""none""]","[""relieved"", ""uninjured"", ""thankful"", ""appreciative""]","[""none"", ""to thank PersonX"", ""to talk to PersonX""]","[""respectful"", ""friendly"", ""nice"", ""kind""]","[""none""]","[""to be kind"", ""to not harm others"", ""to be careful"", ""to be cautious""]","[""none""]","[""like a good person"", ""moralistic"", ""good"", ""satisified""]","[""to be nicer"", ""to stay out of jail"", ""to talk to PersonY"", ""to go home"", ""to make sure PersonY is ok""]",trn,PersonX hurts PersonY's arm
PersonX does not lure PersonY,"[""Person Y is left alone"", ""Person Y can live his life"", ""none""]","[""none""]","[""none""]","[""trustworthy"", ""stable"", ""honest"", ""respectful""]","[""Person X avoids criminal charges"", ""Person X avoids entanglements with Y"", ""tries to calm down"", ""rethinks his decisions""]","[""none"", ""to be nice"", ""to be respectful""]","[""none""]","[""scared of PersonX"", ""scared of losing her job"", ""nice"", ""respectful""]","[""to find someone else to lure"", ""to stop trying to lure people"", ""to be alone"", ""to focus""]",trn,PersonX lure PersonY
PersonX does not throw it at PersonY,"[""They're relieved"", ""Moves away from person X"", ""none""]","[""none""]","[""to hug personx"", ""to kiss personx"", ""go home"", ""fight some more""]","[""self controlled"", ""kind"", ""unyielding"", ""no fun""]","[""none""]","[""none""]","[""none"", ""be in a fight"", ""argue""]","[""he doesn't want to hurt Y"", ""he doesn't want to be the reason Y goes to hospital"", ""dissapointed"", ""bad""]","[""to be friends"", ""to make up"", ""punch the wall"", ""leave the area""]",trn,PersonX throws it at PersonY
PersonX does not ask PersonX's husband,"[""none""]","[""surprised"", ""shoked"", ""none""]","[""yell at them"", ""take away money"", ""none""]","[""respectable"", ""understandable"", ""distant"", ""uninterested""]","[""none""]","[""to buy clothes"", ""to go shopping"", ""maintain privacy"", ""be polite""]","[""none"", ""want to do something"", ""get married""]","[""worried"", ""nervous"", ""considerate"", ""discreet""]","[""go out"", ""buy things"", ""carry out his plan secretly"", ""avoid PersonX's husband""]",trn,PersonX asks PersonX's husband
PersonX does not appeal to PersonY,"[""none"", ""frowns"", ""talked to""]","[""annoyed"", ""unimpressed"", ""unaroused"", ""confused""]","[""none""]","[""independent"", ""sure of themselves"", ""sad"", ""ungrateful""]","[""misses chance"", ""gets yelled at"", ""frowns"", ""cries""]","[""none""]","[""none""]","[""disrespected"", ""disliked"", ""hated"", ""unappealing"", ""insulted""]","[""to impress them"", ""to make a point"", ""to stay true"", ""to lie""]",trn,PersonX appeals to PersonY
PersonX does not buy a suit,"[""none""]","[""none""]","[""none""]","[""cheap"", ""frugal"", ""casual"", ""non-comformist""]","[""none""]","[""to save money"", ""to wear casual clothes"", ""to wear something else""]","[""to view the suit designer"", ""to check the size of the suit"", ""none""]","[""frugal"", ""content"", ""casual"", ""pleased"", ""proud""]","[""to purchase branded suit"", ""to buy one more suit"", ""to rent a tux"", ""to go casual""]",trn,PersonX buys a suit
PersonX does not break up with PersonY's girlfriend,"[""none"", ""ashamed of infidelity"", ""blushes""]","[""Betrayed"", ""Lacking in a girlfriend"", ""Unhappy"", ""none""]","[""none""]","[""inconsiderate"", ""rude"", ""obtuse"", ""forgiving"", ""nice""]","[""none"", ""ashamed at lack of courage"", ""thinks about selfishness""]","[""to keep Y's girlfriend"", ""Wants to keep Y from retrieving girlfriend"", ""none""]","[""fall in love"", ""date with her"", ""meet PersonY's girlfriend"", ""have a difficult time in the relationship""]","[""Vindictive"", ""Gleeful"", ""Angry"", ""Covetous"", ""happy in the relationship"", ""good""]","[""got disappointmet"", ""break the relationship"", ""get PersonY's girlfriend to break up with him"", ""have PersonY's girlfriend to himself""]",trn,PersonX breaks up with PersonY's girlfriend
PersonX does not do an excellent job,"[""have low group performance"", ""get low team review"", ""none""]","[""none"", ""frustrated at Person X's performance"", ""dissatisfaction""]","[""none""]","[""regretted"", ""fired"", ""inattentive"", ""careless"", ""sloppy""]","[""get underscored"", ""receive no bonus"", ""gets warned"", ""gets cautious""]","[""none"", ""to do the minimum so they can get done quickly"", ""to not be bothered by the details""]","[""to work on something"", ""feel unmotivated"", ""to plan for the job"", ""to work hard""]","[""disappointed"", ""like they need to try harder next time"", ""irrespoinsible"", ""bad, like they let their boss down"", ""incompetent""]","[""to rest"", ""try harder next time"", ""apologize"", ""to concentrate on work"", ""to spend more time""]",trn,PersonX does an excellent job
PersonX does not clap for PersonY,"[""none""]","[""disappointed"", ""overlooked"", ""none""]","[""to confront personx"", ""to call out personx"", ""to ask personX what was wrong"", ""to pretend not to care""]","[""unhappy"", ""unimpressed"", ""stuck up"", ""pretentious""]","[""none""]","[""because they're prideful"", ""because they feel jealous"", ""none""]","[""none""]","[""regretful"", ""angry"", ""selfish"", ""ungrateful""]","[""to be rude"", ""to disrespect persony"", ""to prove a point"", ""to leave before personY is finished""]",trn,PersonX claps for PersonY
PersonX does not lift PersonY head,"[""none""]","[""helpless"", ""worthless"", ""none""]","[""none"", ""to take a nap"", ""to get sleep""]","[""uncaring"", ""unhelpful"", ""boring"", ""isolated""]","[""none""]","[""none""]","[""none"", ""to know PersonY"", ""to see PersonY with their head down""]","[""bored"", ""lonesome"", ""angry"", ""unhappy""]","[""to take pictures first"", ""to survey the scene"", ""to leave PersonY alone"", ""to let PersonY sleep""]",trn,PersonX lifts PersonY head
PersonX does not paint PersonY's nails,"[""none""]","[""incapable"", ""thankful to learn"", ""none""]","[""to find someone else to do it"", ""to paint their own nails"", ""to get their nails painted"", ""to get a nail polish""]","[""masculine"", ""stubborn"", ""sensitive"", ""normal""]","[""none""]","[""avoid painting"", ""teach personY to paint her own nails"", ""none""]","[""none"", ""to know PersonY"", ""to know how to paint nails""]","[""informative"", ""helpful"", ""mean"", ""uncooperative""]","[""to help PersonY find someone who will"", ""to do nothing in particular"", ""to paint someone else's nails"", ""to go on break""]",trn,PersonX paints PersonY's nails
PersonX does not put PersonY out,"[""still has a place to stay"", ""isn't homeless"", ""none""]","[""thankful"", ""welcome"", ""relieved""]","[""none""]","[""kind"", ""considerate"", ""caring"", ""nice""]","[""none""]","[""PersonY to stay"", ""to be kind"", ""to be peaceful"", ""to not hurt anyone""]","[""none""]","[""good about themselves"", ""generous"", ""peaceful"", ""nice""]","[""not be a bother"", ""do it themselves"", ""to hurt personY"", ""To make them suffer""]",trn,PersonX puts PersonY out
PersonX does not lend PersonY,"[""none""]","[""anxious to get money"", ""disappointed with PersonX"", ""angry"", ""rejected""]","[""none""]","[""wary"", ""skeptical"", ""uncaring"", ""mean""]","[""none""]","[""to be safe"", ""to have to spend"", ""to avoid losing money"", ""to be greedy""]","[""none""]","[""calm"", ""unruffled"", ""frugal"", ""shrewd""]","[""to own nothing"", ""to share none"", ""to save his money"", ""wants to save the money""]",trn,PersonX lends PersonY
PersonX does not propose marriage,"[""none""]","[""none"", ""dismissed"", ""unloveable""]","[""hint at marriage"", ""ask for advice from friends"", ""long term commitment"", ""PersonX to make up their mind""]","[""uncaring"", ""content"", ""uncommitted"", ""reserved""]","[""none""]","[""to be single"", ""to wait for perfect partner"", ""to find another mate"", ""to stay single""]","[""ask someone out"", ""be involved in a long term relationship"", ""none""]","[""calm"", ""motivated to find perfect partner"", ""relieved"", ""lucky""]","[""wait for the perfect moment"", ""come up with a romantic way to ask"", ""to take their time"", ""to figure out whether their partner is right for them""]",trn,PersonX proposes marriage
PersonX does not give PersonY direction,"[""thank PersonX"", ""appreciate PersonX"", ""is confused about what to do"", ""makes mistakes""]","[""none"", ""offended"", ""snubbed""]","[""directions"", ""guidance"", ""feel neglected"", ""try to acquire information elsewhere""]","[""stupid"", ""lost"", ""aloof"", ""uncaring""]","[""becomes confused as well with the direction"", ""walk to a local store for direction"", ""none""]","[""none"", ""PersonY to get lost"", ""PersonY to figure it out themselves""]","[""none""]","[""annoyed with PersonY"", ""inconsiderate""]","[""a map"", ""a GPS unit"", ""let them fend for themselves"", ""use that advantage to benefit themselves""]",trn,PersonX gives PersonY direction
PersonX does not maximize PersonY's profits,"[""scammed"", ""stolen from"", ""goes bankrupt"", ""gets evicted""]","[""disappointed"", ""frustrated"", ""angry at PersonX""]","[""to reprimand PersonX"", ""to terminate PersonX from their position"", ""to find someone who can"", ""encourage PersonX to do better""]","[""stupid"", ""sabotaging"", ""careless"", ""callous""]","[""yelled at"", ""argued with"", ""none""]","[""to sabotage PersonY"", ""maximize their own profits"", ""none""]","[""to not do their job correctly"", ""to be careless in their work"", ""to know PersonY"", ""to not sell at a high price""]","[""shrewd"", ""competitive"", ""unworthy"", ""unskilled"", ""nervous""]","[""to find a new line of work"", ""to work harder in their current role"", ""to improve their skills"", ""to apologize""]",trn,PersonX maximizes PersonY's profits
PersonX does not protect PersonY's property,"[""none"", ""they are burglarized"", ""their property is damaged""]","[""angry"", ""hostile"", ""shocked""]","[""none"", ""a guard"", ""their things to be secure""]","[""unprotective"", ""unmoved"", ""selfish"", ""careless""]","[""none""]","[""none"", ""to destroy houses"", ""to be evil""]","[""none""]","[""guilty"", ""ashamed"", ""evil"", ""vengeful""]","[""to express negative feelings"", ""to stay inactive"", ""to avoid danger"", ""to be safe""]",trn,PersonX protects PersonY's property
PersonX does not call the vet,"[""none""]","[""none""]","[""none"", ""to find other customers"", ""work on the animal in their care already""]","[""unaware"", ""forgetful"", ""careless"", ""indifferent""]","[""none"", ""fails to save their pet"", ""is left alone""]","[""to see if dog is ok"", ""to see if dog feel sbetter"", ""To avoid a bill"", ""Cure his pet at home""]","[""to decide if his pet needs medical care"", ""to determine the animal can be taken care of at home"", ""have a sick animal"", ""to decide a vet visit isn't warranted""]","[""relieved its ok"", ""thankful all is well"", ""Hopeful that kitty will do well at home"", ""Grateful he saved some money""]","[""to monitor his pet's health"", ""to follow up with the doctor if needed"", ""to cure for their animal themself"", ""to watch their animal closely""]",trn,PersonX calls the vet
PersonX does not make PersonY PersonX's wife,"[""none""]","[""none"", ""hurt"", ""rejected""]","[""to separate from X if they won't marry"", ""start dating someone different"", ""end the relationship with PersonX"", ""ask why PersonX did not want to be married to them""]","[""lonely"", ""uninterested"", ""homosexual"", ""thoughtful""]","[""none""]","[""none"", ""be independent"", ""avoid commitment""]","[""none"", ""be in a relationship with PersonY"", ""to have planned a marriage""]","[""angry"", ""unhappy"", ""quilty"", ""relived""]","[""to maintain their singlehood"", ""to not get in a serious relationship"", ""find someone else to be in a relationship with"", ""dump personY""]",trn,PersonX makes PersonY PersonX's wife
PersonX does not obtain PersonY understanding,"[""none"", ""blank stare"", ""explained to""]","[""none""]","[""none""]","[""disagreeable"", ""displeasing"", ""confusing"", ""dull""]","[""none"", ""stared at"", ""asked questions""]","[""none""]","[""none""]","[""selfish"", ""uncaring"", ""confused"", ""worried""]","[""be heard"", ""be understood""]",trn,PersonX obtains PersonY understanding
PersonX does not play monopoly,"[""none""]","[""none""]","[""to play board games"", ""PersonX to play with them"", ""none""]","[""unskilled"", ""unadventurous"", ""disagreeable"", ""unplayful""]","[""none""]","[""to relax with a book in the evening"", ""to not engage in a long activity"", ""none""]","[""none""]","[""relaxed and rested"", ""pleased with the book they read"", ""bored"", ""relaxed""]","[""to play something else"", ""to do something more active"", ""Stay alone"", ""think for next plan""]",trn,PersonX plays monopoly
PersonX does not go to a party with PersonX's friends,"[""none"", ""Miss person x"", ""As fun""]","[""none"", ""rejected"", ""ignored""]","[""to feel good to be with person  x"", ""to enjoy the company of person x"", ""none""]","[""introverted"", ""shy"", ""boring""]","[""none"", ""Misses all the fun"", ""Gets a lot of work done""]","[""to cook"", ""to sleep"", ""stay home"", ""be alone""]","[""to accept the request from person y's friends"", ""to wear new dress for the party"", ""none""]","[""good"", ""happy"", ""regretful"", ""responsible""]","[""to have fun with person y's friends"", ""enjoy the party"", ""to drink at home alone"", ""to dtudy all night""]",trn,PersonX goes to a party with PersonX's friends
PersonX does not take PersonY's car,"[""none""]","[""none""]","[""none"", ""to keep their car close to them"", ""to drive themselves""]","[""kind"", ""thoughtful"", ""law-abiding""]","[""Does not get a criminal record"", ""Does not obtain a new car"", ""Uses the train"", ""gets late for work""]","[""to avoid jail"", ""to avoid arrest"", ""none""]","[""none""]","[""moral"", ""respectful"", ""not like a thief"", ""without a ride""]","[""to take their own car"", ""to take a taxi"", ""to drive their own car"", ""to get an uber instead""]",trn,PersonX takes PersonY's car
PersonX does not pay PersonY respects,"[""frowns"", ""argued with"", ""does not have their ego stroked"", ""does not get revered""]","[""none"", ""stiffed"", ""neglected""]","[""cry"", ""ask why"", ""none""]","[""self-centered"", ""rude"", ""disrespectful""]","[""frowned at"", ""reprimanded"", ""none""]","[""none"", ""to not forgive PersonY"", ""to avoid PersonY""]","[""none""]","[""guilty"", ""bad"", ""disdainful"", ""dismissive"", ""unmotivated""]","[""apologize to them"", ""leave the situation"", ""to forget about their death"", ""to shut them out of their mind""]",trn,PersonX pays PersonY respects
PersonX did not fix PersonY's tire,"[""none""]","[""frustrated"", ""anxious"", ""none""]","[""to continue driving"", ""to rush the process"", ""to complain about PersonX"", ""to bring their car to another shop""]","[""heartless"", ""indifferent"", ""careless"", ""less concerned""]","[""they can't drive"", ""they can't fix their car"", ""none""]","[""none"", ""was in hurry"", ""to gohome""]","[""to get the tire jack"", ""to check the tires"", ""none""]","[""sad"", ""embarrassed"", ""happy"", ""good""]","[""to take it to the shop"", ""to get the tired fixed immediately"", ""to go home from work"", ""to quit their job""]",trn,PersonX fixes PersonY's tire
PersonX does not get to PersonY's house,"[""none""]","[""betrayed"", ""annoyed"", ""forgotten"", ""let down""]","[""to get a ride"", ""personX to come to their house"", ""find another friend to invite"", ""play alone""]","[""unreliable"", ""untrustworthy"", ""deviative"", ""divertive""]","[""none"", ""Called by personY"", ""Given directions to house""]","[""to spend time elsewhere"", ""to avoid PersonY"", ""to finish working"", ""to get overtime""]","[""none"", ""get a call from PersonY"", ""get invited to PersonY's house""]","[""guilty"", ""blameworthy"", ""tired"", ""run down""]","[""to clear the brush from the road"", ""to get better directions"", ""apologize for not coming to PersonY's house"", ""hang up the phone""]",trn,PersonX gets to PersonY's house
PersonX did not always give,"[""none""]","[""none""]","[""none""]","[""selfish"", ""egocentric"", ""reserved""]","[""none""]","[""to make sure they have enough money for themself"", ""to be selective about which charities to support"", ""none""]","[""none""]","[""somewhat generous"", ""careful with how they spend their money"", ""stingy"", ""rude""]","[""be assertive"", ""get what they want"", ""stays alone"", ""does nothing""]",trn,PersonX always gave
PersonX does not give PersonY a makeover,"[""none"", ""gets surgery performed on their big nose"", ""gets prescribed antidepressants""]","[""sad"", ""disappointed"", ""offended""]","[""none""]","[""reluctant"", ""unwilling"", ""scared"", ""nervous""]","[""Demoted from job"", ""given fewer responsibilities"", ""gets asked to prom by personY's crush"", ""loses personY's friendship""]","[""person y's looks to be left alone"", ""to give someone else a makeover"", ""to be unhelpful"", ""to not touch them""]","[""none""]","[""careful"", ""cautious"", ""proud"", ""happy""]","[""to get the products"", ""to look better"", ""to give it to someone else"", ""buy them a house""]",trn,PersonX gives PersonY a makeover
PersonX does not stroke PersonY's cheek,"[""is untouched"", ""is left alone"", ""none""]","[""thankful"", ""relieved"", ""sad"", ""rejected""]","[""none""]","[""understanding"", ""mindful"", ""respectful"", ""distant""]","[""none""]","[""to be respectful"", ""to avoid germs"", ""to keep distance"", ""to be more serious""]","[""none""]","[""proud"", ""happy"", ""careful"", ""mindful""]","[""to be more healthy"", ""to take care of personY health""]",trn,PersonX strokes PersonY's cheek
PersonX does not ensure PersonY's success,"[""none"", ""fails class"", ""fired""]","[""sad"", ""disappointed"", ""independent"", ""deserving""]","[""to succeed"", ""to try harder"", ""none""]","[""lacking"", ""useless"", ""wary"", ""concerned""]","[""none"", ""argued with"", ""demoted""]","[""none"", ""to succeed on her own merits"", ""to paddle her own canoe""]","[""none""]","[""failed"", ""disappointed"", ""right"", ""justified""]","[""to succeed"", ""to do nothing"", ""Y to work harder"", ""to succeed alone""]",trn,PersonX ensures PersonY's success
PersonX does not fuss at PersonY,"[""none"", ""smiles"", ""blushed""]","[""unbothered"", ""unaware of PersonX's objections"", ""thankful"", ""relieved""]","[""none""]","[""restrained"", ""controlled"", ""agreeable"", ""friendly""]","[""none"", ""walk away"", ""throw a punch""]","[""to not make things any harder for PersonY"", ""to not be a burden"", ""to not cause a problem"", ""to be nice""]","[""none""]","[""modest"", ""timid"", ""happy"", ""easy going""]","[""to avoid being nagged at"", ""to go to sleep"", ""to be friend with PersonY"", ""to be party with their friends""]",trn,PersonX fusses at PersonY
PersonX does not call the plumber,"[""none"", ""makes less money"", ""doesn't gain a new customer""]","[""none""]","[""none""]","[""irresponsible"", ""lazy"", ""weak"", ""forgetful""]","[""has no toilet"", ""pees their pants"", ""stresses over clog"", ""regrets decision""]","[""to fix the problem themselves"", ""to ignore the problem"", ""to fix the problem alone"", ""to wait for the plumber who is already coming""]","[""none"", ""to find a leak or clog"", ""to see if they can fix it own their own""]","[""guilty"", ""blameworthy"", ""confident"", ""patient""]","[""do something else"", ""email the recipient"", ""to fix the leak or clog"", ""to clean up any water that's spilled""]",trn,PersonX calls the plumber
PersonX does not make PersonY better,"[""none"", ""gets put in foster care"", ""gets forced to change schools""]","[""unwell"", ""worried"", ""disappointed"", ""sad""]","[""to find a person to help"", ""to tell PersonX to try again"", ""none""]","[""unhelpful"", ""inconsiderate"", ""aimless"", ""drifting""]","[""none"", ""gets asked why they won't help personY"", ""gets CPS called on them for neglect""]","[""none""]","[""to operate on PersonY"", ""to give assistance to PersonY"", ""none""]","[""unsuccessful"", ""worried"", ""guilty"", ""remorseful""]","[""to get someone to assist"", ""to call someone else""]",trn,PersonX makes PersonY better
PersonX does not sing karaoke,"[""none""]","[""annoyed"", ""miffed"", ""none""]","[""none""]","[""shy"", ""sober"", ""joyless"", ""unmusical"", ""not talented""]","[""Is not embarrassed by bad singing"", ""Does not get discovered and receive a record contract"", ""Does not woo the person of his dreams"", ""none""]","[""to go home"", ""to leave the bar"", ""to avoid looking foolish"", ""to play billyards instead""]","[""none""]","[""tired"", ""bored"", ""happy they won pool"", ""excited about the fun evening""]","[""to learn nothing"", ""to cancel class"", ""spectate"", ""do something not music related""]",trn,PersonX sings karaoke
PersonX does not attract PersonY attention,"[""none""]","[""none""]","[""to look for someone to date"", ""let personx down in the nicest way possible"", ""none""]","[""unremarkable"", ""common"", ""unassuming"", ""irrelevant""]","[""none"", ""goes unnoticed"", ""stays single""]","[""none""]","[""none""]","[""sad"", ""unnoticed"", ""unappreciated"", ""bored""]","[""to be noticed"", ""to get approval from persony"", ""to call out to PersonY"", ""to get a makeover""]",trn,PersonX attracts PersonY attention
PersonX does not meet up with PersonY,"[""none"", ""considers time for other things"", ""relaxes""]","[""uncharismatic"", ""uninteresting"", ""none""]","[""to call PersonX"", ""to yell at PersonX"", ""to walk away from PersonX"", ""none""]","[""Not aggressive"", ""serious"", ""rude"", ""unkind""]","[""none"", ""becomes unsociable"", ""relaxes""]","[""to avoid an awkward friend"", ""to go take care of an errand instead"", ""to eat"", ""to sleep""]","[""none"", ""to work from home"", ""to call person y""]","[""guilty"", ""preoccupied"", ""bad"", ""unhappy""]","[""to ignore PersonY's phone calls"", ""to reschedule with PersonY"", ""to get away from person y"", ""to be alone""]",trn,PersonX meets up with PersonY
PersonX does not send PersonY one,"[""cries"", ""feel left out"", ""none""]","[""offended"", ""sad"", ""unappreciated"", ""not included""]","[""none"", ""to obtain one"", ""to have part of a collection""]","[""selfish"", ""indifferent"", ""inconsiderate"", ""rude""]","[""none""]","[""to be mean"", ""to make a point"", ""to not involve PersonY"", ""to keep their supplies instact""]","[""none""]","[""pleased"", ""proud"", ""satisfied"", ""stingy""]","[""to keep them all"", ""to be selfish""]",trn,PersonX sends PersonY one
PersonX does not take PersonY to a doctor,"[""gets sicker"", ""dies"", ""Becomes sicker"", ""Blames person X""]","[""hurt"", ""unloved"", ""in pain"", ""suspicious""]","[""none""]","[""uncaring"", ""careless"", ""neglectful"", ""inconsiderate""]","[""none"", ""Is seen as irresponsible"", ""Is blamed one person y gets sicker""]","[""to cause harm"", ""to save gas"", ""to avoid panic"", ""to not attract unwanted attention"", ""to fix up PersonY themselves""]","[""none""]","[""uncaring"", ""mean"", ""secretive"", ""discreet""]","[""to call the doctor"", ""ask for over the counter medication"", ""to give them meication"", ""want to let them rest""]",trn,PersonX takes PersonY to a doctor
PersonX is not planning PersonY's wedding,"[""finds an event planner"", ""yells at PersonX"", ""none""]","[""saddened"", ""devastated"", ""disappointed"", ""resentful""]","[""none"", ""yell at them"", ""drop them as friends""]","[""uninvolved"", ""unavailable"", ""lazy"", ""worthless""]","[""relaxes"", ""breathes in relief"", ""gets yelled at"", ""none""]","[""none"", ""to free up their schedule"", ""to avoid conflict with PersonY""]","[""none""]","[""overwhelmed"", ""busy"", ""prudent"", ""less encumbered""]","[""apologize to them"", ""ask if someone else is helping them""]",trn,PersonX is planning PersonY's wedding
