event,logicNeg,cueNeg,pragNeg
PersonX fails math,"[""PersonX does not fail math""]","[""PersonX hardly ever fails math""]","[""PersonX gets an A in math"", ""PersonX aces their math exam""]"
PersonX follows ___ carefully,[],[],[]
PersonX smells something foul,"[""PersonX does not smell something foul""]",[],"[""PersonX smells something lovely"", ""PersonX smells something sweet.""]"
PersonX asks the doctor,"[""PersonX does not ask the doctor""]","[""PersonX barely ever asks the doctor""]","[""PersonX decides to wait"", ""PersonX ignores the doctor""]"
PersonX is someone else's ___,[],[],[]
PersonX knows PersonY's name,"[""PersonX does not know PersonY's name"", ""PersonX doesn't know who PersonY is.""]",[],"[""PersonX sees PersonY as a stranger""]"
PersonX starts walking,"[""PersonX does not start walking""]","[""PersonX rarely starts walking"", ""PersonX stops walking.""]","[""PersonX sits down""]"
PersonX gets a call from PersonX's boss,"[""PersonX does not get a call from PersonX's boss"", ""PersonX's boss doesn't call when they are late""]",[],"[""PersonX misses a call from PersonX's boss""]"
PersonX gets a call from PersonY's boss,"[""PersonX does not get a call from PersonY's boss""]",[],"[""PersonX gets a call from PersonY's  mother""]"
PersonX wants to play an instrument,"[""PersonX does not want to play an instrument""]","[""PersonX no longer wants to play an instrument""]","[""PersonX knows how to play an instrument"", ""PersonX wants to play sports.""]"
PersonX gets something to drink,"[""PersonX does not get something to drink"", ""PersonX is not thirsty""]","[""PersonX gets nothing to drink""]","[""PersonX gets a snack to eat""]"
PersonX puts PersonY's head down,"[""PersonX does not put PersonY's head down""]","[""PersonX ceases putting PersonY's head down""]","[""PersonX stands up"", ""PersonX picks up PersonY's head.""]"
PersonX offers ___ on this book when ordered,[],[],[]
PersonX asks PersonX's little brother,"[""PersonX does not ask PersonX's little brother""]","[""PersonX halts asking PersonX's little brother"", ""PersonX ignores PersonX's little brother"", ""PersonX tells PersonX little brother""]",[]
PersonX accomplishes god's ___,[],[],[]
PersonX sees PersonY frequently,"[""PersonX does not see PersonY frequently"", ""PersonX hasn't seen PersonY in years""]",[],"[""PersonX ignores PersonY frequently""]"
PersonX takes PersonY view,"[""PersonX does not take PersonY view""]","[""PersonX hardly ever takes PersonY view"", ""PersonX makes no attempt to take PersonY view"", ""PersonX refuses to see PersonY's side."", ""PersonX disagrees with PersonY.""]",[]
PersonX covers every ___,[],[],[]
PersonX reduces the ___ to levels,[],[],[]
PersonX becomes ill,"[""PersonX does not become ill""]","[""PersonX not at all becomes ill""]","[""PersonX becomes healthy"", ""PersonX gets healthy.""]"
PersonX falls at PersonY's feet,"[""PersonX does not fall at PersonY's feet""]",[],"[""PersonX kicks PersonY in the head"", ""PersonX stand up tall to PersonY.""]"
PersonX calls ___ the next day,[],[],[]
PersonX goes to the post office,"[""PersonX does not go to the post office""]",[],"[""PersonX mails it from home"", ""PersonX goes to the store for stamps""]"
PersonX finds PersonY explanation,"[""PersonX does not find PersonY explanation"", ""PersonX does not understand what PersonY is trying to tell PersonX"", ""PersonX could not figure out PersonY's explanation.""]",[],[]
PersonX tricks or treat,"[""PersonX does not trick or treat""]",[],"[""PersonX gives out candy to kids""]"
PersonX thinks it would be fun,"[""PersonX does not think it would be fun""]",[],"[""PersonX think it would be boring"", ""PersonX thinks it would be boring""]"
PersonX looks awful,"[""PersonX does not look awful""]","[""PersonX on no condition looks awful"", ""PersonX refuses to look awful""]","[""PersonX looks amazing"", ""PersonX is glowing.""]"
PersonX leaves PersonY alone,"[""PersonX does not leave PersonY alone"", ""PersonX  won't leave PersonY alone""]",[],"[""PersonX accompanies PersonY""]"
PersonX is a freshman in college,"[""PersonX is not a freshman in college""]","[""PersonX is not at all a freshman in college"", ""PersonX is barely a freshman in college"", ""PersonX is no longer a freshman in college""]","[""PersonX is a senior in college.""]"
PersonX asks PersonY to pray,"[""PersonX does not ask PersonY to pray""]","[""PersonX disapproves asking PersonY to pray""]","[""PersonY asks PersonX to pray"", ""PersonX prohibits PersonY's religion""]"
PersonX invites people,"[""PersonX does not invite people""]",[],"[""PersonX likes to be alone"", ""PersonX hates people.""]"
PersonX derives PersonX's name,"[""PersonX does not derive PersonX's name"", ""PersonX can't remember PersonX's name.""]","[""PersonX never derives PersonX's name""]","[""PersonX ignores PersonX's name.""]"
PersonX would n't fit,[],[],"[""PersonX would fit."", ""PersonX fits in""]"
PersonX wants to sleep,"[""PersonX does not want to sleep""]",[],"[""PersonX wants to wake up"", ""PersonX wants to stay awake""]"
PersonX looks PersonY's ___ in the face,[],[],[]
PersonX gives ___ a warning,[],[],[]
PersonX pats PersonY on the head,"[""PersonX does not pat PersonY on the head""]","[""PersonX no longer pats PersonY on the head""]","[""PersonX pats PersonY on the butt"", ""PersonX kicks PersonY on the head.""]"
PersonX pulls PersonY's arm,"[""PersonX does not pull PersonY's arm""]","[""PersonX stops pulling PersonY's arm"", ""PersonX never touches PersonY""]","[""PersonX stays apart from PersonY’s arm""]"
PersonX seeks PersonY's advice,"[""PersonX does not seek PersonY's advice""]","[""PersonX avoids PersonY's advice""]",[]
PersonX swings for the fences,"[""PersonX does not swing for the fences""]",[],"[""PersonX swings away from the fences"", ""PersonX swings away from thte fences.""]"
PersonX plays a ___ in the movement,[],[],[]
PersonX draws PersonX's sword,"[""PersonX does not draw PersonX's sword""]","[""PersonX by no means draws PersonX's sword""]","[""PersonX sheathes PersonX's sword."", ""PersonX sheaths PersonX's sword.""]"
PersonX seeks PersonY answer,"[""PersonX does not seek PersonY answer"", ""PersonX doesn't care about PersonY's opinion.""]","[""PersonX under no circumstances seeks PersonY answer""]","[""PersonX ignores PersonY's problems.""]"
PersonX gives the ___ PersonY's name,[],[],[]
PersonX leaves PersonY's alone,"[""PersonX does not leave PersonY's alone""]",[],"[""PersonX bothers PersonY non-stop"", ""PersonX bothers PersonY""]"
PersonX sings PersonX's heart,"[""PersonX does not sing PersonX's heart""]","[""PersonX sings without emotion.""]","[""Person X sings person Y's lungs""]"
PersonX rests PersonY's chin,"[""PersonX does not rest PersonY's chin""]",[],"[""PersonX rests PersonY's back"", ""PersonX gives PersonY a chair to sit in""]"
PersonX hangs PersonY's head,"[""PersonX does not hang PersonY's head""]",[],"[""PersonX holds PersonY's head high."", ""PersonX spares PersonY""]"
PersonX seems larger and heavier,"[""PersonX does not seem larger and heavier""]",[],"[""PersonX seems smaller and lighter."", ""PersonX looks like they lost weight.""]"
PersonX takes matters,"[""PersonX does not take matters""]","[""PersonX fails to take matters""]","[""PersonX ignores matters"", ""PersonX lets someone else take charge""]"
PersonX starts cooking,"[""PersonX does not start cooking""]","[""PersonX by no means starts cooking"", ""PersonX stops cooking."", ""PersonX stops cooking""]",[]
PersonX grabs a gun,"[""PersonX does not grab a gun""]","[""PersonX never grabs a gun""]","[""PersonX waves a white flag"", ""PersonX runs from the gun.""]"
PersonX sets PersonY up,"[""PersonX does not set PersonY up""]",[],"[""PersonX sets PersonY down"", ""PersonX protects PersonY.""]"
PersonX helps PersonY's brother,"[""PersonX does not help PersonY's brother""]","[""PersonX not at all helps PersonY's brother"", ""PersonX refuses to help PersonY's sister""]","[""PersonX ignores PersonY's brother.""]"
PersonX spends PersonX's summer,"[""PersonX does not spend PersonX's summer""]",[],"[""PersonX sleeps thru the summer on meds."", ""PersonX spend's PersonX's winter""]"
PersonX puts ___ in the oven,[],[],[]
PersonX makes pasta for dinner,"[""PersonX does not make pasta for dinner""]","[""PersonX has trouble with making pasta for dinner"", ""PersonX prevents themselves from making pasta for dinner""]","[""PersonX makes pizza for dinner""]"
PersonX invites ___ over to play,[],[],[]
PersonX blows the whistle,"[""PersonX does not blow the whistle""]","[""PersonX never blows the whistle""]","[""PersonX blows the tuba"", ""PersonX plays the sax""]"
PersonX is PersonY's wife,"[""PersonX is not PersonY's wife""]","[""PersonX is not by any means PersonY's wife"", ""PersonX is by no means PersonY's wife""]","[""PersonX is PersonY's husband"", ""PersonX is persony's son""]"
PersonX becomes PersonY agent,"[""PersonX does not become PersonY agent""]",[],"[""PersonX assists PersonY in life"", ""PersonX gets fired by PersonY""]"
PersonX writes poetry,"[""PersonX does not write poetry""]","[""PersonX not at all writes poetry"", ""PersonX fails to write poetry""]","[""PersonX writes a novel"", ""PersonX reads poetry""]"
PersonX asks ___ for money,[],[],[]
PersonX regulates commerce with nations,"[""PersonX does not regulate commerce with nations""]","[""PersonX prevents commerce with nations""]","[""PersonX destroys the economies of nations""]"
PersonX is finally pregnant,"[""PersonX is not finally pregnant"", ""PersonX cannot get a baby""]","[""PersonX is finally nonpregnant""]","[""PersonX is menopausal""]"
PersonX gets PersonX's foot in the door,"[""PersonX does not get PersonX's foot in the door"", ""PersonX cannot get their foot in the door.""]",[],"[""PersonX gets in PersonX's way.""]"
PersonX loves the meal,"[""PersonX does not love the meal""]",[],"[""PersonX hates the meal."", ""PersonX hates the meal""]"
PersonX reduces ___ to levels,[],[],[]
PersonX pulls faces,"[""PersonX does not pull faces""]",[],"[""PersonX pulls faces"", ""PersonX pushes faces""]"
PersonX spends ___ working,[],[],[]
PersonX is able to sleep,"[""PersonX is not able to sleep""]","[""PersonX is unable to sleep"", ""PersonX is on no condition able to sleep"", ""PersonX is in no way able to sleep"", ""PersonX is not by any means able to sleep"", ""PersonX is under no circumstances able to sleep"", ""PersonX is not at all able to sleep"", ""PersonX is barely able to sleep""]","[""PersonX has trouble to sleep"", ""PersonX is able to wake up.""]"
PersonX is angry with PersonY,"[""PersonX is not angry with PersonY""]","[""PersonX is unangry with PersonY"", ""PersonX is on no condition angry with PersonY"", ""PersonX is under no circumstances angry with PersonY"", ""PersonX is not at all angry with PersonY"", ""PersonX is barely angry with PersonY"", ""PersonX is scarcely angry with PersonY""]","[""Person X is happy with Person Y."", ""PersonX is please with PersonY.""]"
PersonX sees PersonY every day,"[""PersonX does not see PersonY every day""]",[],"[""PersonX sees PersonY every week"", ""PersonX sees PersonY once a month""]"
PersonX starts working,"[""PersonX does not start working""]","[""PersonX stops working""]","[""PersonX quits working""]"
PersonX laughs PersonY's asses off,"[""PersonX does not laugh PersonY's asses off""]","[""PersonX under no circumstances laughs PersonY's asses off""]","[""PersonX cries PersonY's asses on."", ""PersonX laughs PersonY's shoes off""]"
PersonX states and local ___,[],[],[]
PersonX goes to the doctor for a checkup,"[""PersonX does not go to the doctor for a checkup"", ""PersonX feels they don't need to visit a doctor each year""]","[""PersonX avoids the doctor""]",[]
PersonX waters PersonY's garden,"[""PersonX does not water PersonY's garden""]",[],"[""PersonX mows PersonY's field"", ""PersonX destroys PersonY's garden""]"
PersonX bats PersonX's eyes,"[""PersonX does not bat PersonX's eyes""]",[],"[""PersonX keeps their eyes closed"", ""PersonX closes PersonX's eyes.""]"
PersonX dyes PersonY's hair,"[""PersonX does not dye PersonY's hair""]","[""PersonX avoids dying PersonY's hair""]","[""PersonX bleaches PersonY's hair."", ""PersonX shaves off PersonY's hair""]"
PersonX claps PersonY on the shoulder,"[""PersonX does not clap PersonY on the shoulder"", ""PersonX does not want to talk to PersonY""]",[],"[""PersonX pushes PersonY away.""]"
PersonX can not believe PersonX's eyes,"[""PersonX isn't surprised by what PersonX sees.""]",[],"[""PersonX is bored by what PersonX sees.""]"
PersonX diagnoses with the flu,"[""PersonX does not diagnose with the flu""]",[],"[""PersonX recovers from the flu"", ""PersonX is completely healthy""]"
PersonX hangs PersonY's clothes,"[""PersonX does not hang PersonY's clothes""]","[""PersonX resists hanging PersonY's clothes"", ""PersonX under no circumstances hangs PersonY's clothes"", ""PersonX no longer hangs PersonY's clothes""]","[""PersonX takes down PersonY's clothes"", ""PersonX tosses PersonY's clothes on the floor.""]"
PersonX catches the bus to work,"[""PersonX does not catch the bus to work""]",[],"[""PersonX walks to work"", ""PersonX misses the bus to work""]"
PersonX finds a good spot,"[""PersonX does not find a good spot""]","[""PersonX has trouble with finding a good spot"", ""PersonX makes no attempt to find a good spot""]","[""PersonX finds a bad spot"", ""PersonX finds a crowded spot.""]"
PersonX reduces ___ in patients,[],[],[]
PersonX takes as PersonY example,"[""PersonX does not take as PersonY example""]",[],"[""PersonX takes as PersonX example"", ""PersonX ignores PersonY's example""]"
PersonX leaves ___ on the table,[],[],[]
PersonX looks as if PersonX has lost a shilling and found sixpence,"[""PersonX does not look as if PersonX has lost a shilling and found sixpence""]",[],"[""PersonX looks like PersonX has lost a million dollars."", ""PersonX looks as if PersonX has lost a dollar and found sixpence""]"
PersonX likes to fish,"[""PersonX does not like to fish""]","[""PersonX dislikes to fish""]","[""PersonX enjoys grocery shopping"", ""PersonX likes to bake""]"
PersonX enters PersonX's office,"[""PersonX does not enter PersonX's office"", ""PersonX is not in PersonX's office.""]",[],"[""PersonX exits PersonX's office""]"
PersonX puts a ___ together,[],[],[]
PersonX bakes an apple pie,"[""PersonX does not bake an apple pie""]","[""PersonX avoids baking an apple pie"", ""PersonX hardly bakes an apple pie""]","[""PersonX bakes a cherry pie"", ""PersonX freezes an apple pie""]"
PersonX restores the ___ to PersonY's condition,[],[],[]
PersonX asks PersonX's dad for help,"[""PersonX does not ask PersonX's dad for help""]","[""PersonX on no condition asks PersonX's dad for help""]","[""PersonX asks PersonX's brother for help"", ""PersonX handles everything on their own.""]"
PersonX gets a shot,"[""PersonX does not get a shot""]","[""PersonX avoids going to the doctor.""]","[""PersonX gets a test""]"
PersonX is really sad,"[""PersonX is not really sad""]","[""PersonX is scarcely really sad""]","[""PersonX is ecstatic"", ""PersonX is extremely happy.""]"
PersonX throws the baby out with the bathwater,"[""PersonX does not throw the baby out with the bathwater""]",[],"[""PersonX holds off on bathing the baby"", ""PersonX salvages something.""]"
PersonX rewards every ___ according,[],[],[]
PersonX buys a dog,"[""PersonX does not buy a dog""]","[""PersonX has problem with buying a dog""]","[""PersonX buys a cat""]"
PersonX kisses ___ on the cheek,[],[],[]
PersonX opens PersonX's legs,"[""PersonX does not open PersonX's legs""]",[],"[""PersonX closes PersonX's legs."", ""PersonX tightens PersonX's legs.""]"
PersonX thanks the ___ for making,[],[],[]
PersonX loses sight of PersonY,"[""PersonX does not lose sight of PersonY""]","[""PersonX has problem with losing sight of PersonY"", ""PersonX not by any means loses sight of PersonY""]","[""PersonX keeps PersonY in view."", ""PersonX keeps an eye on PersonY""]"
PersonX pulls PersonY's hand away,"[""PersonX does not pull PersonY's hand away""]",[],"[""PersonX lets PersonY touch them"", ""PersonX holds PersonY's hand""]"
PersonX starts working again,"[""PersonX does not start working again"", ""PersonX isn't working.""]",[],"[""PersonX got fired.""]"
PersonX sits behind PersonY,"[""PersonX does not sit behind PersonY""]","[""PersonX rarely sits behind PersonY""]","[""PersonX stands in front of PersonY"", ""PersonX stands over PersonY""]"
PersonX puts PersonX's ___ into execution,[],[],[]
PersonX spends the ___ at PersonX's house,[],[],[]
PersonX can n't believe PersonX's luck,"[""PersonX doesn't believe in luck.""]",[],"[""PersonX can believe PersonX's luck.""]"
PersonX wouldnt hurts a fly,"[""PersonX does not wouldnt hurts a fly""]",[],"[""PersonX kills a fly"", ""PersonX is cruel to animals""]"
PersonX looks like figure,"[""PersonX does not look like figure""]","[""PersonX looks unlike figure""]","[""PersonX looks very realistic"", ""PersonX looks like shapeless blob""]"
PersonX spends ___ in prayer,[],[],[]
PersonX applies for jobs,"[""PersonX does not apply for jobs""]",[],"[""PersonX stays home and collects unemployment"", ""PersonX quits their job""]"
PersonX gives ___ an allowance,[],[],[]
PersonX teaches PersonY ___ tricks,[],[],[]
PersonX looks on PersonY's face,"[""PersonX does not look on PersonY's face"", ""PersonX won't look PersonY in the eye""]","[""PersonX no longer looks on PersonY's face""]","[""PersonX looks through PersonY's face""]"
PersonX bits PersonX's lip,"[""PersonX does not bits PersonX's lip"", ""PersonX did not bite PersonX's lip.""]",[],"[""PersonX bites PersonX's tongue""]"
PersonX joins the swim team,"[""PersonX does not join the swim team""]","[""PersonX disjoins the swim team""]","[""PersonX leaves the swim team"", ""Person X sits on the couch all day.""]"
PersonX likes a girl,"[""PersonX does not like a girl""]","[""PersonX dislikes a girl""]","[""PersonX hates an old man"", ""PersonX hates a girl""]"
PersonX takes ___ in the campaign,[],[],[]
PersonX passionately rucked PersonY,"[""PersonX did not passionately ruck PersonY"", ""PersonX doesn't passionately ruck PersonY""]",[],"[""PersonX passionately helped PersonY""]"
PersonX goes to a doctor's appointment,"[""PersonX does not go to a doctor's appointment""]","[""PersonX prevents themselves from going to a doctor's appointment""]","[""PersonX stays home and misses the doctor's appointment"", ""PersonX calls to reschedule the appointment""]"
PersonX is well prepared,"[""PersonX is not well prepared"", ""PersonX is not prepared""]","[""PersonX is under no circumstances well prepared"", ""PersonX is by no means well prepared"", ""PersonX is scarcely well prepared"", ""PersonX is rarely well prepared""]","[""PersonX is ill prepared""]"
PersonX waits at home,"[""PersonX does not wait at home""]",[],"[""personX goes out"", ""PersonX waits at work.""]"
PersonX eats grass,"[""PersonX does not eat grass""]",[],"[""PersonX eats meat""]"
PersonX exercises every ___,[],[],[]
PersonX understands ___ in terms,[],[],[]
PersonX gets PersonY's license,"[""PersonX does not get PersonY's license""]",[],"[""PersonX leaves PersonY's license"", ""PersonX gets personY's wallet""]"
PersonX declines the offer,"[""PersonX does not decline the offer"", ""PersonX doesn't decline the offer""]",[],"[""PersonX accepts the offer""]"
PersonX grabs PersonX's gun,"[""PersonX did not grab PersonX's gun""]",[],"[""PersonX gives PersonY a gun."", ""PersonX leaves the gun alone.""]"
PersonX looks at PersonY like that,"[""PersonX does not look at PersonY like that"", ""PersonX won't look PersonY's way""]",[],[]
PersonX loves reading,"[""PersonX does not love reading""]",[],"[""PersonX hates reading"", ""PersonX is illiterate""]"
PersonX waits on PersonY,"[""PersonX does not wait on PersonY""]",[],"[""PersonX gives up waiting on PersonY"", ""PersonX walks to PersonY""]"
PersonX takes PersonY outside,"[""PersonX does not take PersonY outside""]","[""PersonX fails to take PersonY outside""]","[""PersonX brings PersonY inside""]"
PersonX sleeps tonight,"[""PersonX does not sleep tonight"", ""PersonX did not sleep at all.""]",[],"[""PersonX work to tonight""]"
PersonX challenges ___ to a basketball game,[],[],[]
PersonX saves PersonX's breath,"[""PersonX does not save PersonX's breath""]",[],"[""PersonX gives advice."", ""PersonX mouths off.""]"
PersonX fixes it for PersonY,"[""PersonX does not fix it for PersonY""]",[],"[""PersonX destroys it for PersonY."", ""PersonX breaks it for PersonY""]"
PersonX meets PersonX's standards,"[""PersonX does not meet PersonX's standards"", ""PersonX is not proud of PersonX.""]","[""PersonX has trouble with meeting PersonX's standards"", ""PersonX fails to meet PersonX's standards""]","[""PersonX disappoints PersonX""]"
PersonX challenges PersonX's friend to a race,"[""PersonX does not challenge PersonX's friend to a race""]",[],"[""PersonX challenges PersonX's friend to a nap"", ""PersonX's friend challenges PersonX to a race""]"
PersonX plants ___ in PersonX's yard,[],[],[]
PersonX loves the dog,"[""PersonX does not love the dog""]",[],"[""PersonX loves the cat"", ""PersonX hates the dog.""]"
PersonX disposes of PersonX's property,"[""PersonX does not dispose of PersonX's property""]",[],"[""PersonX decides to keep PersonX's property"", ""PersonX buy more property""]"
PersonX represents PersonX's country,"[""PersonX does not represent PersonX's country""]","[""PersonX never represents PersonX's country""]","[""PersonX is a traitor to PersonX's country"", ""PersonX abandoned PersonX's own country""]"
PersonX knocks PersonY over,"[""PersonX does not knock PersonY over""]",[],"[""PersonX picks up PersonY"", ""PersonX picks PersonY up.""]"
PersonX takes ___ outside,[],[],[]
PersonX turns PersonX's music down,"[""PersonX does not turn PersonX's music down""]","[""PersonX under no circumstances turns PersonX's music down"", ""PersonX makes no attempt to turn PersonX's music down""]","[""PersonX turns the music up"", ""PersonX turns PersonX's music up""]"
PersonX puts PersonY's mind at ease,"[""PersonX does not put PersonY's mind at ease""]",[],"[""PersonX puts PersonY's mind in a state of panic""]"
PersonX puts everything,"[""PersonX does not put everything""]",[],"[""PersonX keeps everything to themselves"", ""PersonX throws their things anywhere""]"
PersonX loves to garden,"[""PersonX does not love to garden"", ""PersonX does not like the outdoors""]",[],"[""PersonX loves to clean.""]"
PersonX continues PersonY's journey,"[""PersonX does not continue PersonY's journey""]","[""PersonX stops PersonY's journey""]","[""PersonX dismisses PersonY's journey""]"
PersonX meets PersonX's husband,"[""PersonX does not meet PersonX's husband""]","[""PersonX seldomly meets PersonX's husband"", ""PersonX no longer meets PersonX's husband""]","[""PersonX meets PersonX's wife.""]"
PersonX visits ___ every day,[],[],[]
PersonX makes the team though,"[""PersonX does not make the team though"", ""PersonX doesn't make the team though""]","[""PersonX failed tryouts""]",[]
PersonX reproduces this ___ regardless,[],[],[]
PersonX evens gave ___,[],[],[]
PersonX lights another cigarette,[],[],"[""PersonX hates smokers"", ""PersonX puts out a cigarette""]"
PersonX finishes ___ last night,[],[],[]
PersonX joins a gym,"[""PersonX does not join a gym""]",[],"[""PersonX quits the gym"", ""PersonX hates working out""]"
PersonX performs PersonY analysis,"[""PersonX does not perform PersonY analysis""]","[""PersonX refused to perform Person Y's analysis.""]",[]
PersonX goes down the drain,"[""PersonX does not go down the drain""]","[""PersonX not at all goes down the drain"", ""PersonX on no condition goes down the drain"", ""PersonX never goes down the drain""]","[""PersonX comes out of the drain"", ""PersonX is above the drain""]"
PersonX has a wonderful time,"[""PersonX does not have a wonderful time""]","[""PersonX is deprived of a wonderful time"", ""PersonX has a lack of a wonderful time"", ""PersonX has little wonderful times"", ""PersonX has few wonderful times"", ""PersonX has no wonderful times""]","[""PersonX has a bad time"", ""PersonX has a terrible time""]"
PersonX crashes into another car,"[""PersonX does not crash into another car""]","[""PersonX avoids another car""]","[""PersonX watches their speed limit""]"
PersonX sets PersonX's cap at ___,[],[],[]
PersonX convinces PersonX's parents,"[""PersonX does not convince PersonX's parents""]","[""Person X is unable to convince his parents.""]","[""PersonX alienates personx's parents""]"
PersonX improves PersonX's appearance,"[""PersonX does not improve PersonX's appearance""]","[""PersonX barely ever improves PersonX's appearance""]","[""PersonX makes worse PersonX's appearance"", ""PersonX destroys PersonX's appearance""]"
PersonX sheds ___ on the nature,[],[],[]
PersonX shakes the ___ to PersonY's foundations,[],[],[]
PersonX hits the roof,"[""PersonX does not hit the roof""]",[],"[""PersonX listens calmly"", ""PersonX hits the floor""]"
PersonX meets PersonX's goal,"[""PersonX does not meet PersonX's goal""]","[""PersonX fails PersonX's goal""]","[""PersonX is behind schedule""]"
PersonX has tons of fun,"[""PersonX does not have tons of fun""]","[""PersonX has little fun"", ""PersonX has no fun"", ""PersonX no longer has tons of fun""]","[""PersonX finds everything tedious"", ""PersonX is sad""]"
PersonX bows the ___ to baal,[],[],[]
PersonX takes PersonX's outside,"[""PersonX does not take PersonX's outside""]","[""PersonX opposes taking PersonX's outside""]","[""PersonX takes PersonX inside"", ""PersonX stays inside""]"
PersonX transforms ___ into outputs,[],[],[]
PersonX prevents the ___ from taking,[],[],[]
PersonX stops but PersonY did n't listen,"[""PersonX does not stop but PersonY did n't listen""]","[""PersonX stops and PersonY listens""]","[""PersonY listens to PersonX walk away""]"
PersonX buys a laptop,"[""PersonX does not buy a laptop""]",[],"[""PersonX sells a laptop"", ""PersonX buys a desktop.""]"
PersonX works as a waitress,"[""PersonX does not work as a waitress""]","[""PersonX avoids working as a waitress"", ""PersonX refuses to work as a waitress""]","[""PersonX collects unemployment"", ""PersonX works as a cook""]"
PersonX elects ___ to office,[],[],[]
PersonX completes PersonX's studies,"[""PersonX does not complete PersonX's studies""]",[],"[""PersonX is still in school."", ""PersonX neglects to do PersonX's studies""]"
PersonX gives PersonY a small smile,"[""PersonX does not give PersonY a small smile""]",[],"[""Person X frowns at Person Y."", ""PersonX is rude to PersonY small smile""]"
PersonX wastes PersonX's day,"[""PersonX does not waste PersonX's day""]",[],"[""PersonX gets a lot accomplished in a day"", ""PersonX has a productive day.""]"
PersonX lit another cigarette,"[""PersonX does not light another cigarette""]","[""PersonX forbids themselves from lighting another cigarette""]","[""PersonX lit a juul"", ""PersonX gives up smoking for good""]"
PersonX stops calling PersonY,"[""PersonX does not stop calling PersonY""]",[],"[""PersonX pesters PersonY on the phone."", ""PersonX contacts PersonY frequently.""]"
PersonX wants some ice cream,"[""PersonX does not want some ice cream""]","[""PersonX dislikes ice cream""]","[""PersonX wants dairy-less snacks""]"
PersonX restores the ___ to PersonX's condition,[],[],[]
PersonX begs PersonX's parents for one,"[""PersonX does not beg PersonX's parents for one""]",[],"[""PersonX rejects PersonX's parents for one"", ""PersonX asks PersonX's parents for one""]"
PersonX laughs PersonY's asses,"[""PersonX does not laugh PersonY's asses"", ""PersonX doesn't find PersonY amusing.""]",[],[]
PersonX puts PersonX's phone away,"[""PersonX does not put PersonX's phone away""]",[],"[""PersonX keeps their phone out"", ""PersonX takes out PersonX's phone.""]"
PersonX scratches the surface,"[""PersonX does not scratch the surface""]",[],"[""PersonX digs deep down"", ""PersonX keeps the surface tarnish-free.""]"
PersonX trusts ___ anymore,[],[],[]
PersonX can care less,"[""PersonX can not care less""]",[],"[""PersonX is very concerned."", ""PersonX cares very much.""]"
PersonX looks better,"[""PersonX does not look better""]",[],"[""PersonX looks worse."", ""PersonX is progressing for the worst.""]"
PersonX is right next,"[""PersonX is not right next""]",[],"[""PersonX is last in line"", ""PersonX has a long wait ahead""]"
PersonX nurses PersonY back to health,"[""PersonX does not nurse PersonY back to health""]",[],"[""PersonX waits for PersonY to die."", ""PersonX nurses PersonY back to death""]"
PersonX would take care of it,"[""PersonX would not take care of it""]",[],"[""PersonX would neglect it.""]"
PersonX hurts like hell,"[""PersonX does not hurt like hell""]",[],"[""PersonX is unhurt"", ""PersonX feels physically fine""]"
PersonX takes a ride,"[""PersonX does not take a ride""]",[],"[""PersonX takes a walk"", ""PersonX goes for a walk.""]"
PersonX interprets the ___ in ways,[],[],[]
PersonX meets PersonY father,"[""PersonX does not meet PersonY father""]",[],"[""PersonX meets PersonY's mother"", ""PersonX turns away from PersonY's father.""]"
PersonX takes PersonX's watch off,"[""PersonX does not take PersonX's watch off""]",[],"[""PersonX takes PersonX's bangle off"", ""Person puts on a watch""]"
PersonX buys PersonY's wife ___,[],[],[]
PersonX thanks PersonY's profusely,"[""PersonX does not thank PersonY's profusely""]","[""PersonX fails to thank PersonY.""]","[""PersonX welcomes PersonY's profusely""]"
PersonX loses PersonX's sense,"[""PersonX does not lose PersonX's sense""]","[""PersonX under no circumstances loses PersonX's sense""]","[""PersonX loses PersonX's wallet"", ""PersonX gains PersonX's sense.""]"
PersonX wishes you every ___,[],[],[]
PersonX is excited and nervous,"[""PersonX is not excited and nervous""]","[""PersonX is unexcited and nervous"", ""PersonX is under no circumstances excited and nervous"", ""PersonX is by no means excited and nervous"", ""PersonX is not at all excited and nervous"", ""PersonX is barely excited and nervous"", ""PersonX is hardly excited and nervous""]","[""PersonX is excited and prepared"", ""PersonX is confident and bored""]"
PersonX finds gold,"[""PersonX does not find gold""]",[],"[""PersonX misplaces the gold"", ""Personx isnt very lucky.""]"
PersonX replaces ___ with another,[],[],[]
PersonX declares ___ on france,[],[],[]
PersonX gets dressed for work,"[""PersonX does not get dressed for work""]","[""PersonX refuses to get dressed for work""]","[""PersonX puts on casual clothes"", ""PersonX gets dressed for a party""]"
PersonX practices very hard,"[""PersonX does not practice very hard""]",[],"[""PersonX practices sort of hard"", ""PersonX has given up practicing anymore.""]"
PersonX finally worked up,"[""PersonX did not finally work up""]",[],"[""PersonX struggles to achieve"", ""PersonX finally worked down""]"
PersonX saves PersonY's ___ from PersonY's sins,[],[],[]
PersonX means ___ to people,[],[],[]
PersonX meets PersonY's friends,"[""PersonX does not meet PersonY's friends""]","[""PersonX avoids PersonY's friends.""]","[""PersonY meets PersonX's friends.""]"
PersonX goes exploring,"[""PersonX does not go exploring"", ""PersonX is not adventurous""]","[""PersonX never goes exploring""]","[""PersonX shelters in place""]"
PersonX helps ___ with problems,[],[],[]
