event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX takes liberties,"[""none"", ""is subject to different laws"", ""becomes oppressed""]","[""taken advantage of""]","[""to catch them"", ""none"", ""tell them to stop""]",tst,"[""responsible"", ""commanding"", ""strong"", ""adventurous""]","[""gets fired"", ""gets thanked"", ""gets protested"", ""none"", ""gets reprimanded""]","[""to feel powerful and demean others""]","[""none""]","[""strong""]","[""to get more money"", ""to promote his magazine in an undue manner"", ""to get familiar unethically"", ""to be independent"", ""to earn their keep"", ""get ahead""]"
PersonX spends ___ at the beach,"[""none""]","[""none""]","[""none"", ""to get a tan"", ""to relax""]",tst,"[""carefree"", ""coastal"", ""relaxed"", ""outdoorsy""]","[""gets fresh air"", ""Is refreshed"", ""gets sand in his shorts"", ""gets sand in their toes or shoes"", ""Gets a sunburn"", ""gets a burn"", ""Gets exercise""]","[""to enjoy the water"", ""to get a tan"", ""to be surrounded by atmosphere""]","[""to lay on the beach"", ""put on sunscreen"", ""to travel to the"", ""to go to the beach"", ""get a bathing suit""]","[""relaxed""]","[""to sunbathe"", ""a tan"", ""to swim"", ""to relax"", ""to enjoy the great weather"", ""to get a tan""]"
PersonX sets things right,"[""doesn't worry about it now"", ""ponders if he's convinced"", ""none"", ""can do the things they need to"", ""ponders if he agrees""]","[""none""]","[""thank PersonX"", ""none"", ""ask PersonX questions""]",tst,"[""able"", ""truthful"", ""good"", ""righteous"", ""just"", ""respectful"", ""competent""]","[""is respected"", ""gives a present"", ""ponders if others agree"", ""is known to be fair"", ""apologizes"", ""wonders if he convinced""]","[""happy"", ""to feel guilt free""]","[""to offer recompense"", ""none"", ""make a wrong"", ""confront their problems"", ""to tell what they did wrong""]","[""moral"", ""happy""]","[""to say sorry"", ""to leave"", ""to buy more things"", ""apologize"", ""plan a gift"", ""to make house presentable""]"
PersonX evens gave PersonY ___,"[""Person Y praises person X's generosity"", ""makes a new friend"", ""Person Y promises to return the money"", ""gets shocked""]","[""grateful"", ""good for being helped""]","[""to use it"", ""to return the favor"", ""to show his gratitude"", ""to thank them"", ""to thank PersonX""]",tst,"[""selfless."", ""concerned for other."", ""giving"", ""generous"", ""caring.""]","[""cdevelops the habit of sharing things with everybody."", ""is thanked"", ""is thanked by person Y"", ""receives a smile""]","[""to be generous"", ""to help them out""]","[""to meet PersonY"", ""to of had it"", ""to like PersonY"", ""none"", ""to of given it to them"", ""to see PersonY""]","[""giving"", ""good for helping""]","[""to know they enjoyed it"", ""to feel good about himself"", ""to make PersonY feel better about themselves"", ""to make sure that PersonY will get to his destination"", ""to make sure they are ok"", ""to help PersonY""]"
PersonX pulls the car,"[""none""]","[""moved"", ""either pulled away from something bad"", ""none""]","[""none"", ""to pay PersonX"", ""to thank PersonX""]",tst,"[""hardworking"", ""rugged"", ""helpful"", ""muscular"", ""skilled with their hands""]","[""gets tired"", ""is able to look at the map"", ""rests"", ""wants to get back on the road""]","[""to start the car"", ""is assisting someone"", ""to show they are strong""]","[""Own a vehicle"", ""Have a way to tow a vehicle"", ""to attach a tow rope"", ""to move forward""]","[""effective"", ""accomplished and strong"", ""good""]","[""Find a shop to tow the vehicle"", ""to drive slowly"", ""to bring the car to a mechanic"", ""Fix there vehicle""]"
PersonX hosts a party,"[""They go to the party."", ""They have a great night."", ""The participants go home"", ""The participants take rest.""]","[""congenial"", ""like they are enjoying the celebration"", ""good about personx's ability to throw a party""]","[""none""]",tst,"[""a partier"", ""fun"", ""festive"", ""inviting"", ""social""]","[""they order food and drinks for the party."", ""They have a great time."", ""thanks all the participants"", ""They party all night long."", ""cleans the place"", ""They invite all their friends and family along.""]","[""to make new friends"", ""to meet new people"", ""to celebrate with friends"", ""to be more sociable"", ""to celebrate""]","[""buy somethings for the party"", ""to have snacks"", ""to invite people"", ""arrange the pary""]","[""companionable"", ""they've become more sociable"", ""as if they've met new people"", ""like they are having a good time""]","[""to have a dance party"", ""have some drinks in the party"", ""everyone to go home"", ""enjoy the party""]"
PersonX completes PersonX's studies,"[""none""]","[""none""]","[""none""]",tst,"[""hardworking"", ""attentive"", ""knowledgable"", ""managed"", ""studious"", ""fulfilled"", ""professional""]","[""gets a degree certificate"", ""he graduates with honors"", ""he gets good grades"", ""starts applying for jobs""]","[""complete studies"", ""to gain knowledge"", ""to finish his studies.""]","[""to be appeared in exam"", ""to take books from PersonX"", ""to enrolled in college"", ""to write the books""]","[""very happy."", ""enlightened"", ""accomplished""]","[""to return the books"", ""to apply for job"", ""to go on vacation"", ""to meet PersonX""]"
PersonX gets PersonX's foot in the door,"[""none""]","[""none""]","[""none"", ""to help him learn the trade"", ""to pay him for his effort""]",tst,"[""ready"", ""Demanding"", ""opportunistic"", ""determined"", ""lucky"", ""Forceful""]","[""breaks foot"", ""gets a job"", ""gets other job offers"", ""foot gets stuck."", ""puts a bandage on"", ""foot gets hit with hammer""]","[""to be successful""]","[""to have been drinking alcohol"", ""to want it"", ""to work hard"", ""to close the door without putting foot in"", ""to determine they want to do that"", ""to try very hard""]","[""confident"", ""empowered""]","[""to work hard"", ""to see if it's a good fit for them"", ""to jump up and down"", ""to scream"", ""to make a good impression"", ""to cry"", ""to succeed"", ""to massage foot""]"
PersonX measures the ___ directly,"[""none""]","[""none""]","[""none""]",tst,"[""smart"", ""exact"", ""careful"", ""correct""]","[""none"", ""PersonX learns how tall something is"", ""gets accurate measurements"", ""PersonX learns how far away something is"", ""spills something""]","[""to know the facts clearly""]","[""to get the measuring tape"", ""none"", ""To have measuring tape"", ""to start to measure it"", ""To have measure of it""]","[""happy because he knows the exact fact""]","[""to make sure it's the right fit"", ""to find another one"", ""to show accuracy"", ""To get the work done"", ""To finish the work"", ""to show independence""]"
"PersonX buys ___ , though","[""none""]","[""none""]","[""Person Y says thankyou"", ""person Y wants to eat candy"", ""none""]",tst,"[""smart"", ""conservative"", ""unsure"", ""confused""]","[""has to go back and buy more"", ""needs more too fast""]","[""to have something in property"", ""to accumulate something"", ""to have it""]","[""go to candy store"", ""snacks"", ""cash"", ""more possessions"", ""bring cash"", ""credit card""]","[""neutral"", ""good because they wanted it"", ""satisfied"", ""happy"", ""relieved""]","[""to eat chips"", ""to use up PersonX's own"", ""to use up a case worth"", ""brush teeth"", ""help eat candy"", ""to eat candy""]"
PersonX spends ___ waiting,"[""none""]","[""none""]","[""none""]",tst,"[""patient"", ""expectant"", ""tired"", ""tolerant""]","[""becomes more patient"", ""gets older"", ""gains knowledge"", ""Screams"", ""Gets tired"", ""looks out for something"", ""gains a sense of patience"", ""becomes physically tired""]","[""to be ready for something"", ""spend time in my friend""]","[""to think about something"", ""to decide to wait"", ""to have patience"", ""none"", ""to be looking for better opportunity"", ""to be persevering"", ""to know what they are waiting for""]","[""prepared"", ""happy""]","[""to keep waiting"", ""find someone to wait with"", ""to follow up"", ""to meet his lover"", ""to make their appointment"", ""to hear positive feedback from the interview"", ""be done waiting"", ""to go to the event""]"
PersonX divides ___ into groups,"[""none""]","[""none""]","[""play"", ""friends""]",tst,"[""Precise"", ""chop up"", ""split up"", ""racist"", ""judgemental"", ""meticulous""]","[""feed them seperately"", ""none"", ""put them in a seperate cage"", ""Sets the perfect team"", ""Angers some people""]","[""to be a leader"", ""to be scientific"", ""exact"", ""correct""]","[""enjoy"", ""games""]","[""power"", ""confident"", ""pleased"", ""strong"", ""accomplished""]","[""play"", ""friends""]"
PersonX means ___ to people,"[""none"", ""enjoys spending time with them"", ""appreciates personX""]","[""none""]","[""to enjoy the attention"", ""none"", ""to tell x about it"", ""to hang out with x"", ""to feel loved""]",tst,"[""valued"", ""connected"", ""well-liked"", ""respected""]","[""is looked up too"", ""to makes someone"", ""none"", ""has good friends"", ""to means to people""]","[""none"", ""anything that person""]","[""none""]","[""know our self"", ""loved""]","[""To learn how to cope"", ""To deal with the issue"", ""to thank them"", ""to show love"", ""To express sentiment"", ""to express gratitude"", ""to help them""]"
PersonX walks to the bathroom,"[""none""]","[""none""]","[""none""]",tst,"[""energetic"", ""Eager"", ""Impatient"", ""content"", ""patient"", ""active""]","[""gets wet"", ""turns on the shower"", ""finds the door locked"", ""bladder becomes empty"", ""gets dry"", ""bowels become empty"", ""slips on the floor""]","[""to relieve himself/herself"", ""to wash his hands""]","[""get up"", ""none"", ""to have eaten breakfast"", ""open the door"", ""to have woken up""]","[""a bit cleaner"", ""relieved""]","[""to clean it"", ""to bring their child out"", ""go pee"", ""wash there hands"", ""to put on make up"", ""to look in the mirror"", ""to take a shower""]"
PersonX discerns the lord's ___,"[""none""]","[""none""]","[""none""]",tst,"[""relegious"", ""holy"", ""believer"", ""righteous"", ""understanding"", ""wise""]","[""steals the lord's treasure"", ""PersonX liscents to the lord's will"", ""Is amazed"", ""PersonX smiles"", ""Is healed"", ""hide's treasure""]","[""to be a good citizen""]","[""to believe in God"", ""to know God's will""]","[""compliant""]","[""To live a holy life"", ""to be closer to God""]"
PersonX finds PersonY's car keys,"[""breathes sigh of relief"", ""none"", ""thanks person x"", ""gets work in time"", ""takes keys""]","[""none""]","[""to express his gratitude"", ""thank them"", ""to drive PersonX"", ""to thank him"", ""to thank PersonX"", ""get them back""]",tst,"[""helpful"", ""determined"", ""observant"", ""tenacious""]","[""no effect"", ""gives back the keys"", ""PersonX holds onto PersonY's car keys for him"", ""is thanked"", ""gets pat on back""]","[""to put the car keys where they go"", ""to get in the car"", ""to drive somewhere""]","[""to look for PersonY's car keys"", ""flashlight"", ""to search for it"", ""to get up"", ""to open his drawer"", ""to ask what PersonY is missing""]","[""anxious"", ""bored""]","[""to inform him"", ""to bring PersonY their car keys"", ""to give them back"", ""to give it back to him"", ""to get going with PersonY"", ""let them know""]"
PersonX returns it to PersonY,[],[],[],tst,[],[],[],[],[],[]
PersonX justifies PersonY's existence,"[""none""]","[""absolved""]","[""to listen to PersonX"", ""be thankful."", ""To show gratitude towards C"", ""To thank X"", ""to feel better about themself"", ""to give them a hug.""]",tst,"[""willful"", ""enabling"", ""permissive"", ""helpful"", ""supportive"", ""kind""]","[""is asked questions"", ""receives argument""]","[""reconciliation""]","[""to understand PersonY's situation"", ""none"", ""to understand PersonY""]","[""at peace""]","[""to make PersonY feel better about themself"", ""To assist Y"", ""To help Y"", ""to have a purpose."", ""to help PersonY"", ""to  see a reason for life.""]"
PersonX is offered the job,"[""none"", ""The employer puts value in X."", ""The employer hopes X takes it.""]","[""happy too"", ""none"", ""generous"", ""proud"", ""helpful""]","[""none""]",tst,"[""thrilled"", ""capable"", ""enthused"", ""impressive"", ""competent"", ""skilled""]","[""has a job"", ""works hard"", ""X has a decision to make."", ""X shows excitement.""]","[""none""]","[""interview"", ""apply"", ""Get an interview."", ""Apply for it.""]","[""glad"", ""overjoyed and happy"", ""hopeful"", ""excited"", ""happy"", ""relieved""]","[""work hard"", ""earn paycheck"", ""Tell him thanks."", ""Do a good job.""]"
PersonX bails PersonY out,[],[],[],tst,[],[],[],[],[],[]
PersonX gets a part time job,"[""none""]","[""good they found someone for the job""]","[""none""]",tst,"[""capable"", ""responsible"", ""industrious""]","[""Saves money"", ""Gets promoted to full time""]","[""to have a sense of purpose"", ""to have some money coming in""]","[""to decide they need a job"", ""to apply for a job"", ""to find a job"", ""to go to interviews"", ""to interview for the job"", ""to apply for jobs""]","[""pleased""]","[""to help pay his rent"", ""to go to work"", ""to make money"", ""to get money for school"", ""to make friends"", ""to get paid""]"
PersonX gets a shot,"[""none""]","[""none""]","[""none""]",tst,"[""nervous"", ""young"", ""pragmatic"", ""Healthy"", ""responsible"", ""Proactive"", ""afraid""]","[""gets taken to hospital"", ""spills drink"", ""gets drunk"", ""bleeds"", ""gets shocked""]","[""to be protected from illness"", ""to be healthy"", ""none""]","[""To set an appointment"", ""to go to the doctor"", ""to pull down their pants"", ""to go to the shot clinic"", ""To make a co payment"", ""to roll up their sleeve"", ""to make an appointment""]","[""pain"", ""like he got needed medicine"", ""fear"", ""security"", ""agony""]","[""to go home"", ""to take off the bandage"", ""To prevent sickness"", ""To stop infection"", ""to rub their butt"", ""to go home and rest""]"
PersonX gives PersonX's presentation,"[""none""]","[""interested."", ""none""]","[""none"", ""to see another presentation"", ""x to explain more""]",tst,"[""dutiful"", ""smart"", ""outspoken"", ""intelligent"", ""understanding"", ""dominant""]","[""sweats"", ""voice trembles"", ""falters"", ""gets asked questions"", ""hands sweat"", ""reads slowly""]","[""to show his boss and coworkers what he has accomplished."", ""to get a raise"", ""to impress his teachers""]","[""to work on the presentation"", ""to come up with an idea for the presentation"", ""to prepare a presentation"", ""to think of how to do the presentation"", ""to practice the presentation"", ""open his laptop"", ""to have an audience"", ""to prepare the presentation""]","[""nervous"", ""slightly nervous but proud."", ""accomplished""]","[""people to learn something new"", ""to show others their presentation"", ""to impress"", ""to impress the clients"", ""to share knowledge"", ""to do another presentation"", ""to go home and relax"", ""people to like their presentation""]"
PersonX asks PersonY's dad for help,"[""offer to help"", ""UTILISED"", ""none"", ""TO BE ENTITLE"", ""NONE"", ""volunteer assistance""]","[""glad"", ""happy to help"", ""proud to have been able to help"", ""helpful"", ""obligated"", ""curious""]","[""to get work done"", ""go back to his work"", ""take a break"", ""Help out"", ""to shake their hand for greeting"", ""Go home"", ""to help."", ""to be included.""]",tst,"[""unprepared"", ""curious"", ""dependent"", ""realistic""]","[""receives assistance"", ""TO CONTAIN"", ""gains knowledge or aid"", ""to complete the work"", ""TO WILL SHACKED"", ""NONE"", ""gets complete""]","[""help with their car"", ""to do something but can't do it alone."", ""to do it right"", ""help building something"", ""to do something right"", ""to do it correctly""]","[""have a problem/question"", ""contact PersonY's dad"", ""none"", ""try it himself first"", ""get frustrated"", ""to figure out the problem"", ""to find person for help""]","[""anxious"", ""like they still need help"", ""appreciative"", ""thankful"", ""nervous"", ""hopeful""]","[""Start task"", ""Receive answer"", ""to give compliment for return"", ""finish the project"", ""thank his Dad"", ""to thank person y's dad"", ""receive help."", ""be acknowledged.""]"
PersonX settles every ___,"[""Their lives were made better"", ""Life became easier.""]","[""none""]","[""none""]",tst,"[""smart"", ""thorough"", ""talented"", ""competent"", ""persevering"", ""devoted"", ""precise"", ""interesting""]","[""They made things ok"", ""they made a decision.""]","[""to live peace"", ""to be sure that the event goes off without a hitch""]","[""none"", ""to find the root cause of it"", ""to make arrangements for it""]","[""he feels happy"", ""proud"", ""accomplished"", ""competent""]","[""tell others"", ""to lead a happy life"", ""to start a new life"", ""keep record""]"
PersonX leaves it be,"[""none""]","[""the person he avoided"", ""grateful""]","[""none"", ""to keep things in mind"", ""to do something else""]",tst,"[""fed up"", ""non-confrontational"", ""indifferent"", ""frustrated"", ""resistant"", ""distracted""]","[""Person X continues to monitor the fire"", ""gets berated for inaction"", ""is chastised"", ""Person X puts the fire out with water""]","[""to be respectful"", ""to not get involved""]","[""to not want to make things worse"", ""none"", ""to think it will be ok""]","[""like he dodged a bullet"", ""cautious""]","[""Don't tell nobody about it."", ""to find something fun to do"", ""Quit thinking about it."", ""to do something else""]"
PersonX eventually saved,"[""none""]","[""none""]","[""none""]",tst,"[""Caring"", ""Thoughtful"", ""thrifty"", ""proud""]","[""gets a luxury life"", ""gets higher bank balance"", ""had more money"", ""had less stress""]","[""to protect"", ""to save money""]","[""none"", ""to not spend the money"", ""to acquire some money"", ""to finally have the money"", ""to of not been able to save""]","[""proud"", ""accomplished""]","[""to go home"", ""to buy something"", ""to not have to worry about money so much"", ""to save even more"", ""to invest the money"", ""to keep the money safe""]"
PersonX is deferred until test results are in,"[""none""]","[""none""]","[""to wait for test results"", ""none"", ""to review new test results"", ""to review updated application""]",tst,"[""nervous"", ""timid"", ""tired"", ""restless""]","[""PersonX sweats from nervousness"", ""PersonX stresses about the test results"", ""they are forced to wait"", ""they go home""]","[""none"", ""to be cautious"", ""to be sure"", ""to be careful""]","[""to apply to college"", ""take the test"", ""none"", ""apply for entry"", ""to retake college admission test""]","[""nervous"", ""upset"", ""worried"", ""relieved""]","[""to have deferment ended"", ""To keep occupied while waiting"", ""to be accepted to college"", ""to do well on test"", ""to get results"", ""to have college review newest test results"", ""To wait it out"", ""to have entire application reviewed""]"
PersonX pays ___ late,"[""get's the rent"", ""none"", ""Hopes personX situation improves""]","[""none"", ""neutral"", ""thankful"", ""annoyed"", ""frustrated""]","[""none""]",tst,"[""guilty"", ""careless"", ""ashamed"", ""irresponsible"", ""stressed""]","[""has to pay extra"", ""gets sued in court"", ""maintains a place to live"", ""gets evicted""]","[""none"", ""to get out of debt"", ""to not get into trouble""]","[""check book"", ""none"", ""get wallet"", ""money""]","[""guilty"", ""worried"", ""annoyed"", ""stressed"", ""poor""]","[""to go home"", ""get something to eat"", ""bill's receipt"", ""to be more responsible the next time."", ""to make sure there's money in their account."", ""be cool""]"
PersonX helps PersonX's brother,"[""thanks Person X"", ""gets help from brother"", ""Meets goals"", ""smiles"", ""learns something"", ""Is indebted""]","[""happy."", ""like it's good someone lent a hand""]","[""to work hard"", ""Offered to wash his dishes tonight."", ""to repay"", ""to thank PersonX"", ""to deny needing help"", ""Tell him thank you.""]",tst,"[""helpful"", ""friendly"", ""generous"", ""caring""]","[""gets thanked"", ""Is respected by family"", ""none"", ""receives a compliment"", ""Is paid well""]","[""to be liked."", ""them to have things a bit easier"", ""to be a good friend."", ""to be productive.""]","[""to see how he can help"", ""He offers help."", ""See him struggling with his Legos."", ""to approach PersonX"", ""to have brother who is trouble"", ""to have money""]","[""happy."", ""like it's worth it to help"", ""satisfied.""]","[""to give money"", ""to rest"", ""Takes a picture of it."", ""Finishes the project."", ""to find job for brother"", ""to continue helping""]"
PersonX escorts PersonY back,"[""makes it home"", ""Punch on x face"", ""Yells"", ""Invites X in"", ""thanks person X"", ""Gets home safe""]","[""safe""]","[""to get inside while PersonX is watching"", ""to lock the door after they're inside"", ""to escape"", ""to appeal the judgement"", ""to express gratitude"", ""to cry""]",tst,"[""Guarding"", ""cautious"", ""helpful"", ""Leading"", ""kind""]","[""Keeps Y protects"", ""none"", ""Enters Y's house""]","[""person y to be safe"", ""make sure they're safe""]","[""to have taken PersonY to court"", ""to have asked PersonY to go with them"", ""none"", ""to tell PersonY to follow them"", ""to have arrested personY"", ""to lead PersonY""]","[""pleased"", ""reassuring""]","[""to leave PersonY somewhere"", ""to jail PersonY"", ""to watch them unlock their house door"", ""to ask them to leave"", ""to see them wave from inside"", ""to help PersonY with other things""]"
PersonX starts to date,"[""have a companion"", ""have someone to date"", ""none""]","[""none"", ""happy to spend time with person x""]","[""to meet PersonX"", ""to get to know PersonX"", ""to have sex"", ""to get serious""]",tst,"[""inspired"", ""romantic"", ""interested"", ""excited"", ""lonely""]","[""meets new people"", ""obtains a significant other"", ""has a significant other"", ""has someone to do things with""]","[""compnionship"", ""to have a spouse""]","[""to find someone they like"", ""to ask them to do things together"", ""none""]","[""nervous"", ""cared about."", ""optimistic""]","[""to get a boyfriend"", ""to get a girlfriend"", ""to meet new people"", ""to have lots of sex""]"
PersonX puts together ___,"[""none""]","[""none""]","[""none""]",tst,"[""joiner"", ""car parts"", ""educated"", ""competent"", ""puzzles""]","[""checks the list"", ""none"", ""remembers another item"", ""Accomplished a task"", ""Gains a new creation""]","[""to have food"", ""to be helpful"", ""to complete a puzzle."", ""to put a model together."", ""to build something artistic"", ""to make something"", ""to decorate his home""]","[""gets instructions"", ""gathers the pieces"", ""to make a plan"", ""none"", ""to gather items"", ""look at the manual"", ""bring out his tools""]","[""gratified"", ""content"", ""proud"", ""satisfied"", ""satisfied that they have finished the puzzle.""]","[""to check on the results"", ""rides the bike"", ""to finish the work"", ""to modify the results"", ""to take a break"", ""buys a helmet"", ""ride a new bike"", ""put his tools away""]"
PersonX gets a manicure,"[""none""]","[""none""]","[""to show PersonX what they did"", ""none"", ""to get paid by PersonX"", ""to take the money from personx"", ""to manicure someone elses' nails""]",tst,"[""confident"", ""Vain"", ""joyful"", ""Fashionable""]","[""toe hurts"", ""gets infected""]","[""to fit in"", ""to look good for an interview"", ""to attend a party"", ""to have pretty nails""]","[""get in the car"", ""to wait for the manicurist"", ""to go to the manicurist"", ""to get money to pay for the manicure"", ""to find a manicurist""]","[""pretty and amart"", ""pretty"", ""refreshed"", ""stylish"", ""cared for"", ""polished""]","[""leave a tip"", ""to pay for the manicure"", ""to do something else"", ""to pay the manicurist"", ""to see their work"", ""pay for the service""]"
PersonX decides to order a pizza,"[""none"", ""has to take their order"", ""has to make the pizza""]","[""none""]","[""none""]",tst,"[""eager"", ""excited"", ""hungry"", ""starving""]","[""pays the bill"", ""decides who to call"", ""is full from the food"", ""picks out what kind"", ""eats pizza"", ""goes to sleep""]","[""to have a pizza"", ""to satisfy his hunger""]","[""none"", ""need money"", ""go to hotel""]","[""contented and happy"", ""satisfied"", ""felt happy after consuming it""]","[""to call the pizza place"", ""eat"", ""comment on it"", ""to look at the menu""]"
PersonX really wants,"[""none""]","[""none""]","[""none""]",tst,"[""greedy"", ""curious"", ""wishful"", ""hopeful"", ""excited"", ""desirous""]","[""gets something new"", ""none"", ""learns how to do something new""]","[""none""]","[""none""]","[""hope"", ""desire"", ""longing""]","[""to be able to do it"", ""to get it done""]"
PersonX scars ___ away,"[""PersonY reports PersonX to the police."", ""PersonY stays away from PersonX."", ""The person or thing that is scared becomes tired"", ""The person or thing that is scared runs away""]","[""confused"", ""afraid"", ""sad""]","[""to be enjoyed"", ""to be free"", ""sad"", ""cries""]",tst,"[""careless"", ""terrifying"", ""frightening"", ""ugly"", ""mean""]","[""none""]","[""to get rid of him"", ""to be left alone"", ""to protect herself""]","[""act as frightening"", ""get close to PersonY"", ""to be watch PersonY"", ""a animal""]","[""dominant"", ""a tad better"", ""relieved"", ""brave""]","[""to get upset"", ""to be scared"", ""to be obedient"", ""to control the mischives""]"
PersonX helps PersonY stay awake,"[""appears tired the next day"", ""gets tired and starts to yell on personx"", ""gets stressed"", ""passes test""]","[""helpful"", ""thankful"", ""good""]","[""thank them for their help"", ""to sleep"", ""eventually go to sleep"", ""to be generous"", ""to study for the test"", ""to pass the class""]",tst,"[""thoughful"", ""loyal"", ""helpful"", ""Alert"", ""supportive"", ""Awake"", ""kind""]","[""gets tired"", ""receives gratitude for support"", ""sleeps the next day"", ""misses work""]","[""keep someone company"", ""to help""]","[""none"", ""to shine a light on PersonY"", ""buy some coffee or energy drinks"", ""to find PersonY"", ""notice their tiredness""]","[""tired"", ""happy"", ""good"", ""succeeded""]","[""to have attention"", ""say goodbye to the other individual"", ""go to bed themselves"", ""to interact"", ""to study for the test"", ""to pass the class""]"
PersonX sits patiently,"[""none""]","[""none"", ""thankful for the patience""]","[""none""]",tst,"[""tolerant"", ""cool headed"", ""patient"", ""calm"", ""serene"", ""kind""]","[""gets tired"", ""Stress free"", ""Occupied"", ""falls a sleep""]","[""to see the doctor"", ""none"", ""to wait""]","[""to be waiting"", ""none"", ""to sit down."", ""to have a chair"", ""to find a chair.""]","[""glad"", ""impatient and angry"", ""annoyed""]","[""Keep a good attitude."", ""Dont complain."", ""to be happy about it"", ""to stand up."", ""to walk around."", ""to have something happen""]"
PersonX weeps like a PersonY,"[""consoles person X"", ""is annoyed"", ""cries too"", ""wipes person X tears"", ""appreciative of PersonX's sympathy"", ""becomes grateful to PersonX for his understanding""]","[""none""]","[""to hug them."", ""none"", ""to give them a tissue.""]",tst,"[""soft-hearted"", ""compassionate"", ""Depressing"", ""vulnerable"", ""Sad"", ""sensitive""]","[""is comforted"", ""becomes sympathetic"", ""becomes sad"", ""snorts"", ""wipes tears"", ""is told to be quiet""]","[""its to be nice"", ""to talk to others"", ""to be good""]","[""to get emotional."", ""to be sad"", ""none"", ""to be near PersonY."", ""to be raleted to Y""]","[""satisfied"", ""enjoying"", ""happy""]","[""to improve his habits"", ""to stop crying."", ""to stop feeling sad."", ""keep crying"", ""get a tissue"", ""to remain happy""]"
PersonX turns right,"[""none""]","[""none""]","[""none""]",tst,"[""motivated"", ""confident"", ""capable"", ""sure"", ""walking"", ""driving""]","[""sees a deer"", ""none"", ""gets in an accident"", ""hits a car"", ""gets a red light""]","[""to get to their destination"", ""to see something"", ""to get somewhere"", ""to move out of the way"", ""to follow directions""]","[""to need to go right"", ""none"", ""to of been heading straight""]","[""determined"", ""neutral"", ""apologetic"", ""agreeable"", ""like they're closer to where they want to go""]","[""to pull into the gas station"", ""to relax when they are done"", ""to navigate to the store"", ""to get to where they are going"", ""to go to a direction right"", ""to follow the directions""]"
PersonX feels so nervous,"[""none""]","[""none""]","[""none"", ""to comfort them"", ""to help them out""]",tst,"[""apprehensive"", ""timid"", ""Edgy"", ""doubtful"", ""reluctant"", ""scared"", ""Aggitated"", ""shook""]","[""IRRITATION"", ""FRUSTATION""]","[""to be ready for anything"", ""none"", ""to expect the unknown"", ""to be alert with all senses""]","[""none""]","[""anxious"", ""very anxious"", ""insecure"", ""worried2"", ""intimidated"", ""nervous"", ""so nervous""]","[""to breathe deeply"", ""to calm down"", ""to solve a problem"", ""do something different"", ""to be alone"", ""to talk about it""]"
PersonX puts ___ to PersonY's lips,"[""gets kissed"", ""none"", ""PersonY moves PersonX's finger away"", ""PersonY stops talking"", ""gets attacked""]","[""being controlled"", ""seduced""]","[""bat person x's hand away"", ""smile at person x"", ""to return affection"", ""say something to person x"", ""to thank PersonX"", ""To yell at X"", ""To push the thing away""]",tst,"[""Annoyed"", ""gentle"", ""Agitated"", ""demanding"", ""careful"", ""expressive""]","[""Stops noise"", ""gets bit"", ""Quiets personY"", ""gets hurt"", ""receives kiss"", ""gets screamed at""]","[""to seduce someone"", ""to tell person to be quiet""]","[""get near person y"", ""none"", ""to pick something up"", ""extend hand"", ""to grasp something"", ""to reach towards PersonY""]","[""seductive"", ""in control""]","[""To bring something to Y's attention"", ""to caress PersonY"", ""to ask person y a question"", ""To quiet Y down"", ""so observe person y's response"", ""to put makeup on PersonY""]"
PersonX knows much,"[""none""]","[""none"", ""like they can rely on personx"", ""intimidated""]","[""none""]",tst,"[""smart"", ""intelligent"", ""well-informed"", ""informed"", ""studious""]","[""is able to accomplish more things"", ""HAVE FUN"", ""none"", ""FEEL HAPPY"", ""NONE"", ""is more capable""]","[""to look smart"", ""to be educated"", ""none"", ""to be informed"", ""to be intimidating"", ""to be smart"", ""to feel superior""]","[""to learn things"", ""to understand a wide range of issues"", ""to study"", ""to pay attention""]","[""smart"", ""intelligent"", ""educated"", ""informed"", ""useful"", ""wise"", ""accomplished""]","[""to put this to use"", ""to write about his knowledge"", ""to refine their knowledge"", ""to tell others"", ""to share their knowledge"", ""to know some more"", ""to tell a friend about things he has learnt"", ""to feel superior""]"
PersonX sees what happened,"[""none""]","[""none""]","[""none""]",tst,"[""dependable"", ""curious"", ""watchful""]","[""runs over"", ""stands in shock""]","[""none""]","[""none"", ""to of heard something"", ""to think it's worth finding out""]","[""responsible"", ""shocked"", ""informed""]","[""to share what they saw"", ""to know what is going on"", ""to tell someone else what he witnessed"", ""to ignore what he witnessed"", ""to go back to what they were doing"", ""for it to be something not bad""]"
PersonX makes ___ as well,"[""none""]","[""none""]","[""none""]",tst,"[""easily influenced"", ""skillful"", ""thoughtful"", ""competent"", ""practical"", ""careful""]","[""none"", ""sweaters"", ""sense of pride"", ""scarves"", ""accomplished""]","[""none"", ""it to happen"", ""to be creative""]","[""to drive to work"", ""to see someone else make it"", ""none"", ""to set the alarm"", ""to have made the main meal""]","[""downtrodden"", ""content"", ""proud"", ""satisfied""]","[""to take rest"", ""to go to work"", ""to get coffee from the break reoom"", ""to turn on their computer"", ""to freeze the jello until dinner time"", ""to make some cake as well""]"
