event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX makes no attempt to turn PersonX's music down,"[""none"", ""plan for a meeting"", ""they get a visit from a neighbor"", ""they get a visit from the police""]","[""none"", ""annoyed"", ""intimidated""]","[""none""]","[""Disrespectful"", ""Unthoughtful"", ""Rude"", ""excited"", ""enthusiastic""]","[""none"", ""plan for a meeting"", ""turn on loud music""]","[""none"", ""to enjoy their albums at full volume"", ""to be rebellious"", ""to hear their music loudly"", ""to dance""]","[""none""]","[""rude"", ""bored"", ""involved"", ""excited"", ""energetic"", ""enthused""]","[""to dance"", ""enjoy the music"", ""to annoy them"", ""to dance to the music"", ""to learn the music"", ""to attend the competition""]",tst,PersonX turns PersonX's music down,make no attempt to,multi_word
PersonX hardly ever retains PersonX's position,"[""TO SLEEP"", ""sdzfgd"", ""none""]","[""none""]","[""none""]","[""flippant"", ""unconventional"", ""selfish"", ""unaware""]","[""plan for a meeting"", ""gets fired"", ""gets removed from office"", ""gets in trouble""]","[""none""]","[""none"", ""have a position"", ""fail to make effort to retain the position""]","[""sad"", ""unhappy"", ""confused"", ""conflicted""]","[""to remain flexible"", ""to be independant"", ""to pass out drunk"", ""to give up"", ""keep the position"", ""give the position up""]",tst,PersonX retains PersonX's position,hardly ever,multi_word
PersonX opposes turning PersonY's music down,"[""none""]","[""none"", ""happy"", ""entertained""]","[""have their music heard"", ""be accepted"", ""none"", ""thank PersonX"", ""listen to music""]","[""rebelious"", ""unique"", ""stubborn"", ""unaccommodating""]","[""plan for a meeting"", ""none""]","[""none"", ""to continue listening"", ""to annoy other people"", ""to dance"", ""to party""]","[""be offered music"", ""be compelled to accept the music"", ""none"", ""listen to the music"", ""like the music""]","[""lively"", ""drunk"", ""entertained"", ""groovy"", ""excited"", ""happy""]","[""help personY"", ""accept the music"", ""to be respectful"", ""to be passive aggresive"", ""keep listening"", ""keep opposing turning down the volume""]",tst,PersonX turns PersonY's music down,oppose,verb
PersonX by no means gets it for PersonY,"[""none""]","[""none""]","[""none""]","[""unhelpful"", ""unaccommodating"", ""selfish"", ""self-absorbed""]","[""none"", ""gets yelled at"", ""gets talked to"", ""gets sad"", ""starts to beg""]","[""none"", ""to make someone do something themselves"", ""to be left alone""]","[""none"", ""buy a gift"", ""get in the car""]","[""dedicated"", ""liked"", ""mean"", ""selfish"", ""annoyed"", ""frustrated""]","[""plan to meet a person"", ""to hate person y"", ""drop person y""]",tst,PersonX gets it for PersonY,by no means,multi_word
PersonX disapproves using PersonX's skills,"[""none""]","[""none"", ""get a money""]","[""none""]","[""lazy"", ""unhelpful"", ""independent"", ""unique""]","[""none"", ""plan for a meeting"", ""gets fired"", ""loses money""]","[""none"", ""get a money""]","[""feels they are not good enough"", ""gets shy"", ""none""]","[""cruel"", ""selfish"", ""get a money"", ""unsatisfied"", ""critical""]","[""to do something else"", ""work on their sills"", ""to be able to use full skillset"", ""to not have to hide true feelings"", ""to go abroad"", ""to see movies""]",tst,PersonX uses PersonX's skills,disapprove,verb
PersonX scarcely shuts the door behind PersonY,"[""to behind"", ""make fun"", ""none""]","[""none"", ""helpful"", ""friendly""]","[""none"", ""to make sure the door was closed"", ""to continue on their way""]","[""forgetful"", ""welcoming of strangers"", ""lethargic"", ""inattentive""]","[""get a work done"", ""none"", ""get bit by a mosquito"", ""get robbed""]","[""none"", ""PersonY to shut the door"", ""to tell PersonY to shut the door""]","[""to get work done"", ""to see PersonY leaving"", ""to grab the door"", ""none""]","[""hurried"", ""rushed"", ""safe inside"", ""like locking the door"", ""thankful"", ""friendly""]","[""to get work done"", ""to lock the door"", ""to make sure the door is secure"", ""to be quiet"", ""to show respect""]",tst,PersonX shuts the door behind PersonY,scarcely,single_word
PersonX barely ever finds PersonX's shoes,"[""none""]","[""satisfied"", ""relieved"", ""none""]","[""none""]","[""lost"", ""confused"", ""forgetful"", ""disorganized""]","[""thinks about putting his shoes in the same place every time"", ""stresses over having to buy another pair of shoes"", ""plan for walk"", ""get a walk"", ""head feels itchy"", ""grows tired""]","[""none""]","[""none"", ""misplace the shoes"", ""lose the shoes"", ""look for shoes"", ""be disorganized""]","[""exhausted"", ""relieved"", ""sloppy"", ""disorganized"", ""confused"", ""upset"", ""they want to cry""]","[""to get checked for dementia"", ""to look under the sofa"", ""buy new shoes"", ""go shoe shopping"", ""curse himself"", ""get more organized""]",tst,PersonX finds PersonX's shoes,barely ever,multi_word
PersonX is not at all angry with PersonY,"[""stays friends with PersonX"", ""forgives PersonX"", ""none""]","[""none"", ""grateful"", ""affectionate"", ""thankful"", ""friendly""]","[""to see x"", ""to greet x"", ""none""]","[""calm"", ""peaceful"", ""Understanding"", ""Considerate"", ""Warm""]","[""makes up with PersonY"", ""clears the air with PersonY"", ""none"", ""he love personY more then her angry"", ""he not make personY to angry""]","[""none"", ""to keep things pleasant"", ""to maintain their friendship"", ""to be friendly"", ""to be helpful""]","[""none"", ""to get work done""]","[""understanding"", ""forgiving"", ""tolerant"", ""friendly"", ""helpful""]","[""to hug Y"", ""to smile"", ""to get work doneto get work done"", ""to work"", ""to continue being happy"", ""be happy with PersonY""]",tst,PersonX is angry with PersonY,not at all,multi_word
PersonX avoids coming to see PersonY,"[""get a work doneget a work done"", ""get a work done"", ""none""]","[""none"", ""hurt"", ""ignored"", ""sad""]","[""to ask PersonX why"", ""to find someone else to see"", ""none"", ""receive a visit"", ""avoid personX""]","[""unfriendly"", ""unthoughtful"", ""introverted"", ""lazy""]","[""get a work done"", ""loses friend"", ""gets phone call"", ""becomes lonely"", ""cries""]","[""none"", ""doesn't want to see PersonY"", ""doesn't like PersonY"", ""to do something else"", ""to upset PersonY"", ""to stay away"", ""to avoid the situation""]","[""to have the opportunity"", ""to not want to"", ""to get work done"", ""decide not to visit"", ""stay busy with other things""]","[""worried"", ""lonely"", ""petty"", ""spiteful"", ""resentful""]","[""to not see them"", ""to stay home"", ""to avoid"", ""to get work done"", ""visit more often"", ""make plans""]",tst,PersonX comes to see PersonY,avoid,verb
PersonX no longer looks PersonY in the face,"[""to play"", ""play well"", ""notices a big change in PersonX"", ""begins to think he wants out of the relationship"", ""they don't sleep well""]","[""none"", ""disappointed"", ""angry""]","[""none"", ""to see x's eyes"", ""to know what X did"", ""to stop the fight"", ""to help both""]","[""shy"", ""reclusive"", ""ashamed"", ""scared""]","[""get a work done"", ""begins to avoid PersonY"", ""loses PersonY's trust"", ""they are asked to come clean""]","[""none"", ""to avoid embarassment"", ""to not be judged""]","[""none"", ""to have a fight"", ""to hit person y""]","[""ashamed"", ""shy"", ""disappointed"", ""judged"", ""guilty""]","[""to work on their confidence"", ""to talk to person Y more"", ""to avoid facing what he's done"", ""to stay away from Y"", ""to feel guilty"", ""to say sorry to person y""]",tst,PersonX looks PersonY in the face,no longer,multi_word
PersonX fails to throw money away,"[""none"", ""to fun"", ""asf""]","[""none""]","[""none""]","[""thrifty"", ""frugal"", ""parsimonious""]","[""none"", ""get a work done"", ""puts money in bank"", ""collects interest on money"", ""invests money""]","[""none"", ""to save"", ""to spend wisely""]","[""none"", ""be frugal"", ""want to save money""]","[""wealthy"", ""relieved"", ""not poor"", ""responsible"", ""proud of themself""]","[""to spend saved money on purchase"", ""to tell others why they dont throw away money"", ""invest money wisely"", ""add to retirement fund"", ""to bank the money"", ""to spend the money""]",tst,PersonX throws money away,fail,verb
PersonX becomes unhappy,"[""none""]","[""none""]","[""none""]","[""down spirited"", ""susceptible to misery"", ""moody"", ""temperamental""]","[""get a work done"", ""frown"", ""think unhappy thoughts"", ""turn head down"", ""gets depressed"", ""skin gets pale""]","[""none""]","[""isn't feeling well"", ""smell spoiled food"", ""none""]","[""displeased"", ""downcast"", ""unhappy"", ""usatified"", ""depressed"", ""like life isn't worth living""]","[""find new hobby"", ""go for a walk"", ""to improve their mood"", ""to do something enjoyable"", ""cheer up"", ""talk to a friend""]",tst,PersonX becomes happy,unhappy,affixes_adj
PersonX hardly ever takes the stand,"[""none"", ""get put in jail"", ""have to pay a fine"", ""start to sweat""]","[""none"", ""unconcerned"", ""uninvolved""]","[""none""]","[""Shy"", ""Introverted"", ""timid"", ""cowardly""]","[""saves energy"", ""shakes"", ""is frequently overlooked"", ""never gets a promotion"", ""are relieved of duty"", ""don't get called back for an interview""]","[""none""]","[""avoid taking the stand"", ""avoid attention"", ""to be insecure"", ""to not be interested"", ""to buy curd"", ""to drink juice""]","[""unhappy"", ""sad"", ""undecided"", ""uneasy"", ""content"", ""steady"", ""reserved""]","[""answer questions"", ""support a cause"", ""to care more for problems"", ""to be more daring"", ""to take the stand"", ""to ride the bike""]",tst,PersonX takes the stand,hardly ever,multi_word
PersonX never camps with PersonX's family,"[""none"", ""never work"", ""to rest""]","[""none""]","[""none"", ""qto get work done"", ""to get work done""]","[""introverted"", ""a loner"", ""distant"", ""lonesome""]","[""loses quality time"", ""gets ignored"", ""get a work done"", ""none""]","[""none"", ""comfort when sleeping"", ""a warm bed"", ""to be alone"", ""to go with others""]","[""none"", ""to get work done""]","[""alone"", ""unfriendly"", ""pampered"", ""well covered at night"", ""like planning a trip"", ""guilty""]","[""to invite them for the camping trip"", ""to stay home"", ""to get work done"", ""to well"", ""to relax""]",tst,PersonX camps with PersonX's family,never,single_word
PersonX by no means possesses PersonY knowledge,"[""none"", ""get a money""]","[""superior"", ""helpful"", ""none"", ""powerful""]","[""none""]","[""Ignorant"", ""Paled in comparison"", ""Jealous"", ""respectful"", ""honest""]","[""none"", ""get a money""]","[""none""]","[""none""]","[""inadequate"", ""compared"", ""motivated to learn"", ""inferior"", ""disinterested"", ""disillusioned"", ""stupid"", ""ignorant""]","[""to learn more"", ""to read books"", ""to know their own mind"", ""to think clearly"", ""to go back to school"", ""to take PersonY's class""]",tst,PersonX possesses PersonY knowledge,by no means,multi_word
PersonX refuses to look awful,"[""to go to work well"", ""none""]","[""none""]","[""none""]","[""vain"", ""conceited"", ""self-conscious"", ""lively""]","[""to go to work well"", ""none"", ""Recives a compliment"", ""Recieves a kiss""]","[""none"", ""to have confidence"", ""to get an attractive partner"", ""to do great on the job interview""]","[""to get work done"", ""none"", ""put on make up"", ""style hair"", ""purchase a new outfit"", ""lose weight""]","[""happy"", ""satisfied"", ""smart"", ""careful"", ""Happy"", ""Confident"", ""Energetic"", ""Self Loving""]","[""to aweful"", ""to get work done"", ""to improve their appearance"", ""to dress nicely"", ""go to work"", ""go out on a date""]",tst,PersonX looks awful,refuse,verb
PersonX not by any means plays PersonY's favorite song,"[""none""]","[""none"", ""sad that PersonX didn't play the song"", ""like they are being treated unfairly"", ""disappointed"", ""bored""]","[""none"", ""hear their song"", ""encourage others to play the song""]","[""insolent"", ""insubordinate"", ""selfish"", ""restrained""]","[""none"", ""gets yelled at"", ""gets scolded"", ""loses friend""]","[""none"", ""to listen to their own music"", ""to deny PersonY of their desire to listen to their favorite song"", ""to play something else"", ""to not suck up to them""]","[""none""]","[""mean"", ""selfish"", ""stubborn and proud"", ""guilty for not playing PersonY's song"", ""uninterested"", ""unfriendly""]","[""to play X's songs"", ""to switch the radio off"", ""play a different song"", ""avoid the song""]",tst,PersonX plays PersonY's favorite song,not by any means,multi_word
PersonX builds nothing,"[""none""]","[""none""]","[""none""]","[""uncreative"", ""unmotivated"", ""indolent"", ""lackadaisical""]","[""get a work done"", ""starts crying"", ""wants to die"", ""thinks only construction workers should build"", ""stresses that he can't construct anything""]","[""to just relax"", ""to let others build things"", ""none"", ""to mull it over first"", ""to relax today""]","[""none""]","[""unproductive"", ""lackadaisical"", ""lazy"", ""idealess"", ""refreshed"", ""reinvigorated""]","[""to find out how to build something"", ""ask others to build it for them"", ""to use things built by others"", ""stasis"", ""to think of something to build"", ""to show parents that they didnt build anything""]",tst,PersonX builds something,nothing,single_word
PersonX never curls PersonY's hair,"[""none"", ""get a work done"", ""make rest""]","[""confused"", ""disappointed"", ""none"", ""Surprised"", ""Delighted""]","[""none""]","[""basic"", ""unhelpful"", ""unskilled""]","[""none"", ""get a work done"", ""Yelled at"", ""Fussed at""]","[""to refuse service"", ""to be uncooperative"", ""to not style"", ""to not touch"", ""To straighten personY\u2019s hair"", ""To style personY\u2019s hair""]","[""to get work done"", ""none""]","[""upset"", ""uncooperative"", ""guilty"", ""nothing"", ""Excited"", ""Creative""]","[""to get work done"", ""it straight"", ""to make it look good"", ""to leave their hair straight"", ""to not catch germs""]",tst,PersonX curls PersonY's hair,never,single_word
PersonX fails to hold PersonY's attention,"[""TO ATTENTION"", ""MAKE GOOD"", ""ignores PersonX"", ""none""]","[""none""]","[""none""]","[""distracted"", ""inattentive"", ""boring"", ""dull""]","[""get a work done"", ""sighs in frustration"", ""reduce energy behind activity"", ""they are ignored""]","[""none""]","[""to get work done"", ""none""]","[""unattractive"", ""unhappy"", ""inattentive"", ""unconcerned"", ""frustrated"", ""ignored""]","[""to get work done"", ""to be uninteresting"", ""to not talk to PersonY"", ""perform better"", ""give up""]",tst,PersonX holds PersonY's attention,fail,verb
PersonX opposes laying on top of PersonY,"[""get a money"", ""none"", ""does not get seduced"", ""is ignored""]","[""none"", ""grateful"", ""intrigued"", ""like cuddling"", ""happy""]","[""receive affection"", ""receive an explanation"", ""to convince them to stay"", ""to lay on top of PersonX"", ""none""]","[""respectful of others' space"", ""prudish"", ""careful"", ""scared""]","[""get a money"", ""gets hit"", ""gets talked to"", ""is seduced"", ""gets asked what is wrong""]","[""none"", ""doesn't want to hurt PersonY"", ""doesn't want to be inappropriately aroused"", ""to lose weight"", ""to lay under""]","[""to be conservative"", ""to be uninterested"", ""to be near PersonY"", ""to be intimate with PersonY"", ""none""]","[""tired"", ""pushed away"", ""ethical"", ""caring"", ""loving"", ""warm""]","[""avoid personY"", ""offer an explanation"", ""to avoid PersonY"", ""to talk instead"", ""to promote another plan"", ""to go abroad""]",tst,PersonX lays on top of PersonY,oppose,verb
PersonX is rarely watching a scary movie,"[""none""]","[""none""]","[""none""]","[""easily scared"", ""plagued by nightmares"", ""fearful"", ""ill""]","[""none"", ""stresses about being scared"", ""thinks about watching a comedy"", ""doesn't get scared"", ""avoid being terrified at night""]","[""none"", ""predictability"", ""safety"", ""to avoid being frightened"", ""to stay calm""]","[""plan to meet a person"", ""get scared from a scary movie"", ""change the channel when a scary movie is showing"", ""none""]","[""afraid"", ""scared"", ""uninterested"", ""like a cinemaphile"", ""calm"", ""protected""]","[""to play"", ""to meet"", ""turn on all of the lights"", ""watch a fun movie"", ""to play video games"", ""to watch cartoons""]",tst,PersonX is watching a scary movie,rarely,single_word
PersonX is under no circumstances a good swimmer,"[""none""]","[""none""]","[""none""]","[""unathletic"", ""afraid of water"", ""out of shape"", ""aquaphobic""]","[""none"", ""get a work done"", ""drowns"", ""dies""]","[""none""]","[""none"", ""be afraid of swimming"", ""not like exercising""]","[""accomplished"", ""happy"", ""scared"", ""afraid"", ""needing some swim lessons"", ""upset for not having skills""]","[""to learn how to swim"", ""to do a sport other than swimming"", ""take swimming classes"", ""exercise more often"", ""to improve"", ""enjoy water""]",tst,PersonX is a good swimmer,under no circumstances,multi_word
PersonX has trouble with buying a used car,"[""none""]","[""none"", ""disdainful"", ""disinterested""]","[""none""]","[""unsure"", ""scared"", ""overwhelmed"", ""poor"", ""irritated""]","[""takes a taxi"", ""walks to work"", ""get a work done"", ""none""]","[""none""]","[""none"", ""to actively search for a used car to purchase"", ""to have started the car-buying process""]","[""unsure"", ""uneasy"", ""frustrated"", ""unaccomplished"", ""like time was wasted"", ""discriminated against""]","[""to see more options"", ""to go to another dealership"", ""to seek assistance with buying a car"", ""continue to rely on the bus for transportation"", ""to get help buying a car"", ""to go to a different dealership""]",tst,PersonX buys a used car,have trouble with,multi_word
PersonX is on no condition short on money,"[""none""]","[""none""]","[""none""]","[""wealthy"", ""lucky"", ""loaded""]","[""get a work done"", ""thinks how lucky he is"", ""stresses about spending too much"", ""Recieves a check"", ""Recieves a raise""]","[""none""]","[""none"", ""to be good at saving"", ""to have a job"", ""earn money"", ""save""]","[""happy"", ""excited"", ""satisfied"", ""wealthy"", ""confident""]","[""to go shopping"", ""to donate to charity"", ""to keep being responsible"", ""to be proud of personx"", ""keep saving"", ""invest""]",tst,PersonX is short on money,on no condition,multi_word
PersonX seldomly sends a letter,"[""none"", ""get a work done""]","[""none"", ""happy"", ""connected"", ""important""]","[""none"", ""to receive a letter"", ""to wait for a response""]","[""self-absorbed"", ""unfriendly"", ""reticent"", ""paranoid""]","[""thinks letter writing is antiquated"", ""stresses about the post office losing business"", ""none"", ""has more free time"", ""saves paper""]","[""to be antisocial"", ""to use other means of communication"", ""none"", ""to keep things private"", ""to save on postage""]","[""none"", ""to write a letter"", ""to go to the post office"", ""to get a stamp""]","[""modern"", ""antisocial"", ""secure"", ""thrifty"", ""content""]","[""to communicate in other ways"", ""to not buy stamps"", ""to reply to a letter"", ""to wait for a response""]",tst,PersonX sends a letter,seldomly,single_word
PersonX not at all appreciates PersonY,"[""to go to work well"", ""none"", ""expresses displeasure with PersonX"", ""speaks ill of PersonX to others""]","[""woken up by PersonX's negative feelings"", ""like they have to change and shape up"", ""none"", ""Unappreciated"", ""Unloved""]","[""to get even with x"", ""to find out why x disrespects them"", ""none""]","[""cold"", ""self-centered"", ""distant""]","[""none""]","[""to avoid PersonY"", ""to get rid of PersonY"", ""none"", ""PersonY to beg for appreciation"", ""to break up with PersonY""]","[""none"", ""to look at person y"", ""to hate person y""]","[""disgusted by PersonY"", ""Annoyed with PersonY"", ""mean"", ""unhappy"", ""Annoyed"", ""Confused"", ""Sad""]","[""to stay away from Y"", ""independence"", ""to ignore Y"", ""to put y down"", ""to talk to person y"", ""to solve the problem with person y""]",tst,PersonX appreciates PersonY,not at all,multi_word
PersonX barely notices a strange smell,"[""to go to work well"", ""none""]","[""none""]","[""none""]","[""oblivious"", ""carefree"", ""clueless"", ""congested""]","[""none"", ""wiggles nose"", ""looks around"", ""he notice all the smell"", ""he like smelling in cooking""]","[""none""]","[""to have a bad sense of smell"", ""to be unaware"", ""none""]","[""oblivious"", ""unaffected"", ""careless"", ""unconcerned"", ""surprised"", ""investigative""]","[""to pay more attention"", ""to tell everyone to not trust personx's sense of smell"", ""to sit down"", ""to go to sleep"", ""to ask if someone else smells it"", ""to go to a doctor""]",tst,PersonX notices a strange smell,barely,single_word
PersonX under no circumstances takes PersonY on a hike,"[""none"", ""is stuck at home"", ""falls asleep""]","[""none"", ""neglected"", ""unimportant""]","[""to go by themself"", ""to go outside"", ""none""]","[""lazy"", ""defiant"", ""independent"", ""unadventurous""]","[""none"", ""is asked if PersonY can come"", ""gets lost""]","[""none"", ""to work overtime"", ""to avoid spending time with someone annoying""]","[""none""]","[""lonely"", ""unexcited"", ""like they're good at standing up for themselves"", ""independent""]","[""to avoid going outside"", ""to stay inside"", ""to not exercise"", ""to not go for a walk"", ""to hike alone"", ""to have peace and quiet""]",tst,PersonX takes PersonY on a hike,under no circumstances,multi_word
PersonX not by any means starts crying,"[""none""]","[""none""]","[""none""]","[""brave"", ""manly"", ""stoic"", ""strong""]","[""none"", ""smiles"", ""shakes"", ""Keeps a straight face"", ""Thinks of a happy time""]","[""none""]","[""avoid showing emotion"", ""keep their feelings bottled up"", ""none""]","[""unhappy"", ""painful"", ""sad"", ""disappointed"", ""relieved"", ""wore out from crying""]","[""cry"", ""be alone"", ""to let personx's emotions out more often"", ""to be more emotionally invested"", ""to suck it up"", ""be tough""]",tst,PersonX starts crying,not by any means,multi_word
PersonX never derives PersonX's name,"[""none""]","[""none""]","[""none""]","[""original"", ""unique"", ""aloof"", ""forgetful""]","[""none"", ""forgets"", ""gets late"", ""face frowns"", ""shoulders shrug""]","[""none"", ""to stay anonymous"", ""to avoid blame""]","[""none""]","[""inactive"", ""shy"", ""secretive"", ""cautious"", ""apathetic"", ""uninterested""]","[""to get to know them better"", ""to please them"", ""to feel safe"", ""to check the drive""]",tst,PersonX derives PersonX's name,never,single_word
PersonX lacks a fear of heights,"[""none""]","[""none""]","[""none""]","[""daring"", ""adventurous"", ""fearless""]","[""plan a fear"", ""get a feat"", ""thinks about going up the tower"", ""stresses about falling to his death"", ""he like to play on volleyball"", ""he make her time on playing""]","[""none""]","[""none"", ""to climb high things"", ""to skydive""]","[""fraid"", ""scared"", ""brave"", ""courageous"", ""skilled""]","[""to jump out of a window"", ""to jump off the highest cliff"", ""scale high structures"", ""go flying"", ""to continue hiking high areas"", ""to continue skydiving""]",tst,PersonX has a fear of heights,lack,single_word
PersonX not by any means gets milk,"[""none"", ""get milk"", ""plan for a meeting""]","[""none""]","[""none""]","[""famished"", ""destitute"", ""serious"", ""conventional""]","[""none"", ""plan for a meeting"", ""bones weaken"", ""does not get strong""]","[""none"", ""to have a different beverage"", ""to avoid aggravating their lactose intolerance"", ""to be a vegan"", ""to save money""]","[""none"", ""be lactose intolorent"", ""not near any stores""]","[""hungry"", ""irritated"", ""happy"", ""content"", ""healthy"", ""frugal""]","[""to buy eggs"", ""to look for alternatives"", ""to avoid any type of lactose"", ""to get orange juice instead"", ""find an alternative"", ""find a store""]",tst,PersonX gets milk,not by any means,multi_word
PersonX not by any means dyes PersonY's hair red,"[""none"", ""plan for a meeting""]","[""none"", ""untouched"", ""pristine""]","[""none""]","[""unsure"", ""reticent"", ""cautious"", ""basic""]","[""none"", ""doesn't have stained hands"", ""doesn't ruin PersonY's hair""]","[""none"", ""to avoid working"", ""to keep the natural shade""]","[""none""]","[""adventurous"", ""curious"", ""satisfied"", ""busy"", ""justified"", ""confident""]","[""to look different"", ""to look bad"", ""to not be near PersonY"", ""to not touch PersonY's hair"", ""to go to a salon"", ""to stay home""]",tst,PersonX dyes PersonY's hair red,not by any means,multi_word
PersonX rarely sits behind PersonY,"[""none"", ""get a work done"", ""to work""]","[""none"", ""curious"", ""confused""]","[""to sit by PersonX"", ""to avoid PersonX"", ""none"", ""to talk to persony"", ""to have a conversation""]","[""shy"", ""stubborn"", ""suspicious"", ""unfriendly"", ""myopic""]","[""none"", ""get a work done""]","[""none"", ""to be in front of the room"", ""to avoid the person""]","[""to be seated"", ""to choose where to sit"", ""none"", ""to take a sit"", ""to sit down""]","[""avoiding"", ""unhappy"", ""lonely"", ""sad"", ""motivated"", ""upset""]","[""to avoid PersonY"", ""to find another place"", ""to sit beside them"", ""to site in front of them"", ""to go"", ""to leave""]",tst,PersonX sits behind PersonY,rarely,single_word
PersonX under no circumstances puts it in the oven,"[""none""]","[""none""]","[""none""]","[""forgetful"", ""unskilled"", ""skilled"", ""chef-like""]","[""none"", ""stresses the food should have been hot"", ""thinks about getting food catered next time"", ""misses dinner"", ""goes hungry""]","[""none"", ""to eat it cold"", ""to wait for guests to arrive""]","[""none""]","[""hungry"", ""sad"", ""impatient"", ""anticipatory""]","[""it cooked"", ""to fry instead"", ""to eat"", ""to cook food"", ""to cook the food"", ""to bake the cake""]",tst,PersonX puts it in the oven,under no circumstances,multi_word
PersonX has problem with throwing the frisbee,"[""none"", ""get a work done""]","[""none""]","[""to yell at Y"", ""to keep playing"", ""none""]","[""uncoordinated"", ""unathletic"", ""weak"", ""unskilled""]","[""bends over"", ""sweats"", ""breathes heavier"", ""get a work done"", ""he have hand pain"", ""he not like to play""]","[""none""]","[""none"", ""not like frisbee"", ""having physical handicap""]","[""lazy"", ""inactive"", ""clumsy"", ""awkward"", ""oafish"", ""embarassed"", ""ashamed""]","[""to take a break"", ""to put the frisbee down"", ""to go for a walk"", ""to play different sport"", ""to rest a little"", ""to hold the frisbee""]",tst,PersonX throws the frisbee,have problem with,multi_word
PersonX barely wants money,"[""none""]","[""none""]","[""none""]","[""humble"", ""polite"", ""simple"", ""special""]","[""none"", ""to go to work well""]","[""none""]","[""to get work done"", ""not have bills"", ""live off of inheritance"", ""none""]","[""rich"", ""enjoyment"", ""satisfied"", ""happy"", ""content""]","[""to enjoy"", ""get money"", ""relax at home"", ""live a frugal lifestyle"", ""to live frugally"", ""to be a martyr""]",tst,PersonX wants money,barely,single_word
PersonX studies without PersonY,"[""needs to find another place to study"", ""thinks they need someone to study with"", ""none""]","[""rejected"", ""sad"", ""abandoned"", ""nervous"", ""guilty for not showing up"", ""lonely without PersonX""]","[""none"", ""to feel sad"", ""to start studying alone""]","[""solitary"", ""lonely"", ""independent""]","[""is able to concentrate more easily"", ""is able to do their homework without interruptions"", ""passes exams"", ""learns new skills"", ""Stresses over passing test"", ""Revieves grade""]","[""to be alone"", ""to focus better"", ""to work alone"", ""to maximize their work time"", ""to work in their own way"", ""to continue even though PersonY is busy""]","[""none"", ""to have homework"", ""to be a bad friend""]","[""diligent"", ""lonely"", ""studious"", ""responsible"", ""learned"", ""knowledgeable on the subject"", ""lonely without PersonY""]","[""to pass"", ""to make it"", ""to be alone"", ""to apologize to persony"", ""to focus"", ""not have to help others""]",tst,PersonX studies with PersonY,without,single_word
PersonX is on no condition doing PersonX's laundry,"[""none"", ""TO MEET"", ""plan for a meeting""]","[""none""]","[""none""]","[""lazy"", ""tired""]","[""gets helped to a seat"", ""gets served a snack"", ""plan for a meeting"", ""does other things"", ""avoids the washer and dryer""]","[""none"", ""to be lazy"", ""to be dirty"", ""someone else to do it for them"", ""to relax instead""]","[""none""]","[""unwell"", ""lazy"", ""unclean"", ""frustrated that it's not done"", ""lethargic""]","[""to put chores off until later"", ""to relax"", ""Do laundry"", ""Finish it"", ""to wait"", ""save money""]",tst,PersonX is doing PersonX's laundry,on no condition,multi_word
PersonX in no way makes perfect,"[""none""]","[""none""]","[""none""]","[""flawed"", ""imperfect"", ""human"", ""learning""]","[""thinks about what he could have done better"", ""stresses over what people think of his imperfect job"", ""plan for a meeting"", ""thinks imperfect is better"", ""stresses that people want him to be perfect""]","[""none""]","[""none"", ""to try"", ""to make an attempt""]","[""satisfied"", ""understanding"", ""perfecting"", ""happy"", ""frustrated"", ""annoyed""]","[""to keep improving"", ""to practice more"", ""to get work done"", ""to take lessons"", ""to get help""]",tst,PersonX makes perfect,in no way,multi_word
PersonX skateboards without PersonX's friends,"[""none"", ""plan for a meeting"", ""make way""]","[""none""]","[""none"", ""to yell at person x"", ""to get angry""]","[""alone"", ""lonely"", ""serious about practicing the sport"", ""unpopular""]","[""leg muscles become weak"", ""sweats"", ""plan for a meeting"", ""Breaks a leg"", ""Hurts themself""]","[""none""]","[""none"", ""services the skateboard"", ""buys a skateboard"", ""learn to skateboard"", ""find friends""]","[""sad"", ""fun"", ""lonely"", ""unaccomplished"", ""bored"", ""tired""]","[""to ask friends to go skateboarding with them"", ""to practice doing a new trick they learned"", ""to apologize to persons x friend"", ""to have a good time"", ""thank friends"", ""go sleep""]",tst,PersonX skateboards with PersonX's friends,without,single_word
PersonX by no means sees a boy,"[""none""]","[""none""]","[""none""]","[""distracted"", ""unfocused"", ""shy"", ""reclusive""]","[""get a work done"", ""none"", ""thinks he sees a girl"", ""stresses that no boys want to play with him""]","[""none"", ""to focus on themself"", ""to wait for the right person""]","[""none""]","[""careful"", ""lonely"", ""shocked"", ""funny"", ""anticipatory""]","[""to see a girl"", ""to come out of the closet"", ""to go out with a girl"", ""to find the best girlfriend"", ""to continue on their way"", ""to keep their head down""]",tst,PersonX sees a boy,by no means,multi_word
PersonX has no fun,"[""none""]","[""none""]","[""none"", ""to encourage PersonX"", ""to tell PersonX not to be a downer""]","[""boring"", ""a workaholic"", ""miserable"", ""heart-broken""]","[""plan to get a work"", ""to fun"", ""none"", ""gives up"", ""frowns""]","[""none""]","[""none"", ""isn't in good mood"", ""working on difficult project"", ""to go out"", ""to attend a party""]","[""tired"", ""bored"", ""resentful"", ""boring"", ""uninteresting""]","[""to go out"", ""to sleep"", ""to relax"", ""to do something fun"", ""to go home"", ""to say goodbye""]",tst,PersonX has tons of fun,no,single_word
