neg_event,event,split,neg_cue,neg_cue_type
PersonX no longer braids PersonX's hair,PersonX braids PersonX's hair,trn,no longer,multi_word
PersonX no longer gets PersonY's friends,PersonX gets PersonY's friends,trn,no longer,multi_word
PersonX no longer visits PersonY's uncle,PersonX visits PersonY's uncle,trn,no longer,multi_word
PersonX no longer spends all of PersonY's money,PersonX spends all of PersonY's money,trn,no longer,multi_word
PersonX no longer sells ice to eskimos,PersonX sells ice to eskimos,trn,no longer,multi_word
PersonX no longer introduces herself to PersonY,PersonX introduces herself to PersonY,trn,no longer,multi_word
PersonX no longer decides to go on vacation,PersonX decides to go on vacation,trn,no longer,multi_word
PersonX no longer gives PersonY a break,PersonX gives PersonY a break,trn,no longer,multi_word
PersonX no longer says hello to PersonY,PersonX says hello to PersonY,trn,no longer,multi_word
PersonX no longer watches the movie together,PersonX watches the movie together,trn,no longer,multi_word
PersonX no longer moves to europe,PersonX moves to europe,trn,no longer,multi_word
PersonX no longer sells PersonY's products,PersonX sells PersonY's products,trn,no longer,multi_word
PersonX no longer changes PersonX's views,PersonX changes PersonX's views,trn,no longer,multi_word
PersonX no longer buys a christmas tree,PersonX buys a christmas tree,trn,no longer,multi_word
PersonX no longer tutors PersonY,PersonX tutors PersonY,trn,no longer,multi_word
PersonX no longer asks PersonX's crush,PersonX asks PersonX's crush,trn,no longer,multi_word
PersonX no longer goes fishing with PersonX's friends,PersonX goes fishing with PersonX's friends,trn,no longer,multi_word
PersonX no longer enters a race,PersonX enters a race,trn,no longer,multi_word
PersonX no longer mows PersonY's grass,PersonX mows PersonY's grass,trn,no longer,multi_word
PersonX no longer cheers loudly,PersonX cheers loudly,trn,no longer,multi_word
PersonX no longer invites PersonY's family,PersonX invites PersonY's family,trn,no longer,multi_word
PersonX no longer visits PersonY's grandma,PersonX visits PersonY's grandma,trn,no longer,multi_word
PersonX no longer beats PersonY's personal record,PersonX beats PersonY's personal record,trn,no longer,multi_word
PersonX no longer draws PersonY closer,PersonX draws PersonY closer,trn,no longer,multi_word
PersonX no longer writes PersonX's history,PersonX writes PersonX's history,trn,no longer,multi_word
PersonX no longer gets PersonY thinking,PersonX gets PersonY thinking,trn,no longer,multi_word
PersonX no longer fusses at PersonY,PersonX fusses at PersonY,trn,no longer,multi_word
PersonX no longer wins a game,PersonX wins a game,trn,no longer,multi_word
PersonX no longer does things PersonY's way,PersonX does things PersonY's way,trn,no longer,multi_word
PersonX no longer tells PersonY to sit,PersonX tells PersonY to sit,trn,no longer,multi_word
PersonX no longer cures PersonY's boredom,PersonX cures PersonY's boredom,trn,no longer,multi_word
PersonX no longer gets PersonY's dog,PersonX gets PersonY's dog,trn,no longer,multi_word
PersonX no longer sits by PersonY's side,PersonX sits by PersonY's side,trn,no longer,multi_word
PersonX no longer brushes PersonY teeth,PersonX brushes PersonY teeth,trn,no longer,multi_word
PersonX no longer is controlled by PersonY's subconscious,PersonX is controlled by PersonY's subconscious,trn,no longer,multi_word
PersonX no longer steals PersonY's money,PersonX steals PersonY's money,trn,no longer,multi_word
PersonX no longer is in the car with PersonY's mom,PersonX is in the car with PersonY's mom,trn,no longer,multi_word
PersonX no longer sees PersonY's favorite band in concert,PersonX sees PersonY's favorite band in concert,trn,no longer,multi_word
PersonX no longer takes the money,PersonX takes the money,trn,no longer,multi_word
PersonX no longer talks about PersonY,PersonX talks about PersonY,trn,no longer,multi_word
PersonX no longer has a halloween party,PersonX has a halloween party,trn,no longer,multi_word
PersonX no longer lifts PersonY's head,PersonX lifts PersonY's head,trn,no longer,multi_word
PersonX no longer suits PersonY,PersonX suits PersonY,trn,no longer,multi_word
PersonX no longer approaches PersonY's crush,PersonX approaches PersonY's crush,trn,no longer,multi_word
PersonX no longer goes to PersonY's friend's house,PersonX goes to PersonY's friend's house,trn,no longer,multi_word
PersonX no longer gets all PersonX's friends together,PersonX gets all PersonX's friends together,trn,no longer,multi_word
PersonX no longer diagnoses with cancer,PersonX diagnoses with cancer,trn,no longer,multi_word
PersonX no longer ensures PersonY's survival,PersonX ensures PersonY's survival,trn,no longer,multi_word
PersonX is no longer PersonY's date,PersonX is PersonY's date,trn,no longer,multi_word
PersonX no longer writes the story,PersonX writes the story,trn,no longer,multi_word
PersonX no longer makes an offer,PersonX makes an offer,trn,no longer,multi_word
PersonX no longer gives PersonY lessons,PersonX gives PersonY lessons,trn,no longer,multi_word
PersonX no longer sells PersonX's property,PersonX sells PersonX's property,trn,no longer,multi_word
PersonX no longer builds PersonY's house,PersonX builds PersonY's house,trn,no longer,multi_word
PersonX no longer learns how to play the drums,PersonX learns how to play the drums,trn,no longer,multi_word
PersonX no longer provides PersonY with information,PersonX provides PersonY with information,trn,no longer,multi_word
PersonX no longer pushes PersonY's hands,PersonX pushes PersonY's hands,trn,no longer,multi_word
PersonX no longer comes over to PersonY,PersonX comes over to PersonY,trn,no longer,multi_word
PersonX no longer meets online,PersonX meets online,trn,no longer,multi_word
PersonX no longer congratulates PersonY,PersonX congratulates PersonY,trn,no longer,multi_word
PersonX no longer takes a trip to PersonY,PersonX takes a trip to PersonY,trn,no longer,multi_word
PersonX no longer cups PersonY's face,PersonX cups PersonY's face,trn,no longer,multi_word
PersonX no longer lays PersonY off,PersonX lays PersonY off,trn,no longer,multi_word
PersonX no longer wants nothing to do with PersonY,PersonX wants nothing to do with PersonY,trn,no longer,multi_word
PersonX no longer calls PersonY friend,PersonX calls PersonY friend,trn,no longer,multi_word
PersonX no longer plays so well,PersonX plays so well,trn,no longer,multi_word
PersonX no longer agrees to a date,PersonX agrees to a date,trn,no longer,multi_word
PersonX no longer sees PersonY often,PersonX sees PersonY often,trn,no longer,multi_word
PersonX no longer pays PersonY's back,PersonX pays PersonY's back,trn,no longer,multi_word
PersonX no longer holds PersonX's baby,PersonX holds PersonX's baby,trn,no longer,multi_word
PersonX no longer provides PersonY service,PersonX provides PersonY service,trn,no longer,multi_word
PersonX no longer books a flight,PersonX books a flight,trn,no longer,multi_word
PersonX no longer becomes very upset,PersonX becomes very upset,trn,no longer,multi_word
PersonX no longer has PersonY's back,PersonX has PersonY's back,trn,no longer,multi_word
PersonX no longer ties PersonY's shoes,PersonX ties PersonY's shoes,trn,no longer,multi_word
PersonX no longer guides PersonY's actions,PersonX guides PersonY's actions,trn,no longer,multi_word
PersonX calls nobody,PersonX calls someone,trn,nobody,single_word
PersonX hires nobody,PersonX hires someone,trn,nobody,single_word
PersonX hits nobody,PersonX hits someone,trn,nobody,single_word
PersonX not at all confesses PersonX's love,PersonX confesses PersonX's love,trn,not at all,multi_word
PersonX not at all plays a game of chess,PersonX plays a game of chess,trn,not at all,multi_word
PersonX not at all meets PersonX's date,PersonX meets PersonX's date,trn,not at all,multi_word
PersonX not at all reduces PersonY's risk,PersonX reduces PersonY's risk,trn,not at all,multi_word
PersonX not at all gets what PersonY wanted,PersonX gets what PersonY wanted,trn,not at all,multi_word
PersonX not at all asks PersonY to the dance,PersonX asks PersonY to the dance,trn,not at all,multi_word
PersonX not at all gets PersonY's books,PersonX gets PersonY's books,trn,not at all,multi_word
PersonX not at all cuts PersonX's nails,PersonX cuts PersonX's nails,trn,not at all,multi_word
PersonX not at all provides PersonY service,PersonX provides PersonY service,trn,not at all,multi_word
PersonX not at all drops PersonY a line,PersonX drops PersonY a line,trn,not at all,multi_word
PersonX not at all hires PersonY attorney,PersonX hires PersonY attorney,trn,not at all,multi_word
PersonX not at all asks PersonY to marry,PersonX asks PersonY to marry,trn,not at all,multi_word
PersonX not at all provides PersonY framework,PersonX provides PersonY framework,trn,not at all,multi_word
PersonX not at all eases PersonY's mind,PersonX eases PersonY's mind,trn,not at all,multi_word
PersonX not at all tells PersonY's story,PersonX tells PersonY's story,trn,not at all,multi_word
PersonX not at all wins the game for PersonX's team,PersonX wins the game for PersonX's team,trn,not at all,multi_word
PersonX not at all gives PersonY a life,PersonX gives PersonY a life,trn,not at all,multi_word
PersonX not at all seeks PersonY's help,PersonX seeks PersonY's help,trn,not at all,multi_word
PersonX not at all takes PersonY inside,PersonX takes PersonY inside,trn,not at all,multi_word
PersonX not at all swirls around PersonY,PersonX swirls around PersonY,trn,not at all,multi_word
PersonX not at all takes PersonY to see a doctor,PersonX takes PersonY to see a doctor,trn,not at all,multi_word
PersonX not at all misses PersonX's friends,PersonX misses PersonX's friends,trn,not at all,multi_word
PersonX not at all swims away,PersonX swims away,trn,not at all,multi_word
PersonX not at all sends PersonX's children to school,PersonX sends PersonX's children to school,trn,not at all,multi_word
PersonX not at all pulls PersonY closer,PersonX pulls PersonY closer,trn,not at all,multi_word
PersonX not at all takes PersonY for ice cream,PersonX takes PersonY for ice cream,trn,not at all,multi_word
PersonX not at all announces PersonY's arrival,PersonX announces PersonY's arrival,trn,not at all,multi_word
PersonX not at all gets PersonX's medicine,PersonX gets PersonX's medicine,trn,not at all,multi_word
PersonX not at all buys a cake,PersonX buys a cake,trn,not at all,multi_word
PersonX not at all sells PersonX's goods,PersonX sells PersonX's goods,trn,not at all,multi_word
PersonX not at all wants to hire PersonY,PersonX wants to hire PersonY,trn,not at all,multi_word
PersonX not at all learns to sew,PersonX learns to sew,trn,not at all,multi_word
PersonX not at all gives PersonY directions,PersonX gives PersonY directions,trn,not at all,multi_word
PersonX not at all asks PersonY anything,PersonX asks PersonY anything,trn,not at all,multi_word
PersonX not at all looks PersonY straight in the eye,PersonX looks PersonY straight in the eye,trn,not at all,multi_word
PersonX not at all persuades PersonY to leave,PersonX persuades PersonY to leave,trn,not at all,multi_word
PersonX not at all impresses PersonX's parents,PersonX impresses PersonX's parents,trn,not at all,multi_word
PersonX not at all calls PersonX's bank,PersonX calls PersonX's bank,trn,not at all,multi_word
PersonX not at all marries PersonY's mother,PersonX marries PersonY's mother,trn,not at all,multi_word
PersonX not at all tells PersonY to relax,PersonX tells PersonY to relax,trn,not at all,multi_word
PersonX not at all asks another question,PersonX asks another question,trn,not at all,multi_word
PersonX not at all grabs PersonY's purse,PersonX grabs PersonY's purse,trn,not at all,multi_word
PersonX not at all recruits PersonY,PersonX recruits PersonY,trn,not at all,multi_word
PersonX not at all takes PersonY to the game,PersonX takes PersonY to the game,trn,not at all,multi_word
PersonX not at all thinks PersonY looked great,PersonX thinks PersonY looked great,trn,not at all,multi_word
PersonX not at all kisses PersonY tenderly,PersonX kisses PersonY tenderly,trn,not at all,multi_word
PersonX not at all gives PersonY a advantage,PersonX gives PersonY a advantage,trn,not at all,multi_word
PersonX not at all makes PersonY very angry,PersonX makes PersonY very angry,trn,not at all,multi_word
PersonX not at all sells PersonY's home,PersonX sells PersonY's home,trn,not at all,multi_word
PersonX not at all supports PersonY's family,PersonX supports PersonY's family,trn,not at all,multi_word
PersonX is not at all staring at PersonY,PersonX is staring at PersonY,trn,not at all,multi_word
PersonX is not at all the new kid in school,PersonX is the new kid in school,trn,not at all,multi_word
PersonX is not at all dying of cancer,PersonX is dying of cancer,trn,not at all,multi_word
PersonX is not at all on a first date,PersonX is on a first date,trn,not at all,multi_word
PersonX is not at all rushed to the hospital,PersonX is rushed to the hospital,trn,not at all,multi_word
PersonX is not at all planning PersonX's wedding,PersonX is planning PersonX's wedding,trn,not at all,multi_word
PersonX is not at all proud of what PersonY had done,PersonX is proud of what PersonY had done,trn,not at all,multi_word
PersonX is not at all riding PersonY's bike,PersonX is riding PersonY's bike,trn,not at all,multi_word
PersonX is not at all angry at PersonY's brother,PersonX is angry at PersonY's brother,trn,not at all,multi_word
PersonX is not at all celebrating PersonY's birthday,PersonX is celebrating PersonY's birthday,trn,not at all,multi_word
PersonX is not at all playing at the park,PersonX is playing at the park,trn,not at all,multi_word
PersonX is not at all proud of PersonY,PersonX is proud of PersonY,trn,not at all,multi_word
PersonX is not at all going to miss PersonY,PersonX is going to miss PersonY,trn,not at all,multi_word
PersonX is not at all washing the dishes,PersonX is washing the dishes,trn,not at all,multi_word
PersonX is not at all hanging out with friends,PersonX is hanging out with friends,trn,not at all,multi_word
PersonX is not at all laughing at PersonY,PersonX is laughing at PersonY,trn,not at all,multi_word
PersonX is not at all the best gift PersonY had ever gotten,PersonX is the best gift PersonY had ever gotten,trn,not at all,multi_word
PersonX not by any means impresses a girl,PersonX impresses a girl,trn,not by any means,multi_word
PersonX not by any means receives an award,PersonX receives an award,trn,not by any means,multi_word
PersonX not by any means kisses the top of PersonY's head,PersonX kisses the top of PersonY's head,trn,not by any means,multi_word
PersonX not by any means gets a new job,PersonX gets a new job,trn,not by any means,multi_word
PersonX not by any means plays tricks on PersonY,PersonX plays tricks on PersonY,trn,not by any means,multi_word
PersonX not by any means buys my ticket,PersonX buys my ticket,trn,not by any means,multi_word
PersonX not by any means calls PersonY's wife,PersonX calls PersonY's wife,trn,not by any means,multi_word
PersonX not by any means drives PersonX there,PersonX drives PersonX there,trn,not by any means,multi_word
PersonX not by any means gets very drunk,PersonX gets very drunk,trn,not by any means,multi_word
PersonX not by any means hurts PersonY's feelings,PersonX hurts PersonY's feelings,trn,not by any means,multi_word
PersonX not by any means does PersonX's chores,PersonX does PersonX's chores,trn,not by any means,multi_word
PersonX not by any means goes to PersonY's car,PersonX goes to PersonY's car,trn,not by any means,multi_word
PersonX not by any means means everything to PersonY,PersonX means everything to PersonY,trn,not by any means,multi_word
PersonX not by any means has PersonX's baby,PersonX has PersonX's baby,trn,not by any means,multi_word
PersonX not by any means sends PersonY to the principal's office,PersonX sends PersonY to the principal's office,trn,not by any means,multi_word
PersonX not by any means pulls PersonY's fingers out,PersonX pulls PersonY's fingers out,trn,not by any means,multi_word
PersonX not by any means tells PersonX's boyfriend,PersonX tells PersonX's boyfriend,trn,not by any means,multi_word
PersonX not by any means visits PersonY's sister,PersonX visits PersonY's sister,trn,not by any means,multi_word
PersonX not by any means improves PersonY's lives,PersonX improves PersonY's lives,trn,not by any means,multi_word
PersonX not by any means buys another car,PersonX buys another car,trn,not by any means,multi_word
PersonX not by any means gives PersonY a deal,PersonX gives PersonY a deal,trn,not by any means,multi_word
PersonX not by any means brings up the rear,PersonX brings up the rear,trn,not by any means,multi_word
PersonX not by any means manages PersonY's affairs,PersonX manages PersonY's affairs,trn,not by any means,multi_word
PersonX not by any means defends PersonY,PersonX defends PersonY,trn,not by any means,multi_word
PersonX not by any means kills PersonY's husband,PersonX kills PersonY's husband,trn,not by any means,multi_word
PersonX not by any means sells PersonY's home,PersonX sells PersonY's home,trn,not by any means,multi_word
PersonX not by any means makes spaghetti,PersonX makes spaghetti,trn,not by any means,multi_word
PersonX not by any means takes PersonY to the circus,PersonX takes PersonY to the circus,trn,not by any means,multi_word
PersonX not by any means wipes away PersonY's tears,PersonX wipes away PersonY's tears,trn,not by any means,multi_word
PersonX not by any means makes dinner for PersonY's family,PersonX makes dinner for PersonY's family,trn,not by any means,multi_word
PersonX not by any means plays football again,PersonX plays football again,trn,not by any means,multi_word
PersonX not by any means sees PersonY's favorite band in concert,PersonX sees PersonY's favorite band in concert,trn,not by any means,multi_word
PersonX not by any means makes millions,PersonX makes millions,trn,not by any means,multi_word
PersonX not by any means decides to give up,PersonX decides to give up,trn,not by any means,multi_word
PersonX not by any means plays poker with PersonY's friends,PersonX plays poker with PersonY's friends,trn,not by any means,multi_word
PersonX not by any means attends a party,PersonX attends a party,trn,not by any means,multi_word
PersonX not by any means gives PersonY the information,PersonX gives PersonY the information,trn,not by any means,multi_word
PersonX not by any means names the baby,PersonX names the baby,trn,not by any means,multi_word
PersonX not by any means takes my dog,PersonX takes my dog,trn,not by any means,multi_word
PersonX not by any means wears deodorant,PersonX wears deodorant,trn,not by any means,multi_word
PersonX not by any means turns PersonY's back on PersonY,PersonX turns PersonY's back on PersonY,trn,not by any means,multi_word
PersonX not by any means directs toward PersonY,PersonX directs toward PersonY,trn,not by any means,multi_word
PersonX not by any means pushes PersonY's tongue,PersonX pushes PersonY's tongue,trn,not by any means,multi_word
PersonX not by any means breaks PersonY's leg,PersonX breaks PersonY's leg,trn,not by any means,multi_word
PersonX not by any means directs PersonY's efforts,PersonX directs PersonY's efforts,trn,not by any means,multi_word
PersonX gives PersonY nothing,PersonX gives PersonY something,trn,nothing,single_word
PersonX brings nothing,PersonX brings something,trn,nothing,single_word
PersonX brings PersonY nothing,PersonX brings PersonY something,trn,nothing,single_word
PersonX does nothing special for PersonY,PersonX does something special for PersonY,trn,nothing,single_word
PersonX does nothing nice,PersonX does something nice,trn,nothing,single_word
PersonX decides to do nothing about it,PersonX decides to do something about it,trn,nothing,single_word
PersonX shows PersonY nothing,PersonX shows PersonY something,trn,nothing,single_word
PersonX does nothing nice for PersonY,PersonX does something nice for PersonY,trn,nothing,single_word
PersonX says nothing,PersonX says something,trn,nothing,single_word
PersonX says nothing to PersonY,PersonX says anything to PersonY,trn,nothing,single_word
PersonX teaches PersonY nothing,PersonX teaches PersonY anything,trn,nothing,single_word
PersonX asks PersonY nothing,PersonX asks PersonY anything,trn,nothing,single_word
PersonX on no condition knows how to fix it,PersonX knows how to fix it,trn,on no condition,multi_word
PersonX on no condition forgives PersonY's friend,PersonX forgives PersonY's friend,trn,on no condition,multi_word
PersonX on no condition unpacks PersonY's things,PersonX unpacks PersonY's things,trn,on no condition,multi_word
PersonX on no condition takes the food,PersonX takes the food,trn,on no condition,multi_word
PersonX on no condition causes PersonY to fall,PersonX causes PersonY to fall,trn,on no condition,multi_word
PersonX on no condition grabs PersonY's phone,PersonX grabs PersonY's phone,trn,on no condition,multi_word
PersonX on no condition keeps PersonX's eye on the ball,PersonX keeps PersonX's eye on the ball,trn,on no condition,multi_word
PersonX on no condition visits PersonX's parents,PersonX visits PersonX's parents,trn,on no condition,multi_word
PersonX on no condition writes PersonY letter,PersonX writes PersonY letter,trn,on no condition,multi_word
PersonX on no condition decides to give up,PersonX decides to give up,trn,on no condition,multi_word
PersonX on no condition carries PersonY home,PersonX carries PersonY home,trn,on no condition,multi_word
PersonX on no condition turns the radio,PersonX turns the radio,trn,on no condition,multi_word
PersonX on no condition sits with PersonY,PersonX sits with PersonY,trn,on no condition,multi_word
PersonX on no condition gets down on one knee,PersonX gets down on one knee,trn,on no condition,multi_word
PersonX on no condition works with children,PersonX works with children,trn,on no condition,multi_word
PersonX on no condition opens PersonY's gift,PersonX opens PersonY's gift,trn,on no condition,multi_word
PersonX on no condition meets PersonY's expectations,PersonX meets PersonY's expectations,trn,on no condition,multi_word
PersonX on no condition decorates for christmas,PersonX decorates for christmas,trn,on no condition,multi_word
PersonX on no condition begs PersonY to come,PersonX begs PersonY to come,trn,on no condition,multi_word
PersonX on no condition drops PersonY's arms,PersonX drops PersonY's arms,trn,on no condition,multi_word
PersonX on no condition eats PersonY's flesh,PersonX eats PersonY's flesh,trn,on no condition,multi_word
PersonX on no condition buys a new toy,PersonX buys a new toy,trn,on no condition,multi_word
PersonX on no condition gives PersonY instructions,PersonX gives PersonY instructions,trn,on no condition,multi_word
PersonX on no condition calls someone,PersonX calls someone,trn,on no condition,multi_word
PersonX on no condition sits beside PersonY,PersonX sits beside PersonY,trn,on no condition,multi_word
PersonX on no condition plays cards,PersonX plays cards,trn,on no condition,multi_word
PersonX on no condition sees the ocean,PersonX sees the ocean,trn,on no condition,multi_word
PersonX on no condition brushes PersonY's hand,PersonX brushes PersonY's hand,trn,on no condition,multi_word
PersonX on no condition packs PersonY's things,PersonX packs PersonY's things,trn,on no condition,multi_word
PersonX on no condition drives on the road,PersonX drives on the road,trn,on no condition,multi_word
PersonX on no condition asks PersonX's husband,PersonX asks PersonX's husband,trn,on no condition,multi_word
PersonX on no condition shakes PersonY's hands,PersonX shakes PersonY's hands,trn,on no condition,multi_word
PersonX on no condition kisses the gunners daughter,PersonX kisses the gunners daughter,trn,on no condition,multi_word
PersonX on no condition gets a puppy,PersonX gets a puppy,trn,on no condition,multi_word
PersonX on no condition wears deodorant,PersonX wears deodorant,trn,on no condition,multi_word
PersonX on no condition gives PersonY's directions,PersonX gives PersonY's directions,trn,on no condition,multi_word
PersonX on no condition plays ping pong,PersonX plays ping pong,trn,on no condition,multi_word
PersonX on no condition throws a huge party,PersonX throws a huge party,trn,on no condition,multi_word
PersonX on no condition makes breakfast for PersonY's family,PersonX makes breakfast for PersonY's family,trn,on no condition,multi_word
PersonX on no condition makes fun of PersonY's name,PersonX makes fun of PersonY's name,trn,on no condition,multi_word
PersonX on no condition invites PersonX's friend over,PersonX invites PersonX's friend over,trn,on no condition,multi_word
PersonX on no condition pats PersonY's shoulder,PersonX pats PersonY's shoulder,trn,on no condition,multi_word
PersonX on no condition sees a movie together,PersonX sees a movie together,trn,on no condition,multi_word
PersonX on no condition has PersonY's phone,PersonX has PersonY's phone,trn,on no condition,multi_word
PersonX on no condition goes next door,PersonX goes next door,trn,on no condition,multi_word
PersonX on no condition calls PersonY's friend,PersonX calls PersonY's friend,trn,on no condition,multi_word
PersonX on no condition brings PersonX's daughter,PersonX brings PersonX's daughter,trn,on no condition,multi_word
PersonX on no condition impresses PersonY's wife,PersonX impresses PersonY's wife,trn,on no condition,multi_word
PersonX on no condition bleaches PersonY's hair,PersonX bleaches PersonY's hair,trn,on no condition,multi_word
PersonX on no condition asks PersonY on a date,PersonX asks PersonY on a date,trn,on no condition,multi_word
PersonX is on no condition playing tennis,PersonX is playing tennis,trn,on no condition,multi_word
PersonX is on no condition angry at PersonY's brother,PersonX is angry at PersonY's brother,trn,on no condition,multi_word
PersonX is on no condition proud of PersonY,PersonX is proud of PersonY,trn,on no condition,multi_word
PersonX is on no condition interested in PersonY,PersonX is interested in PersonY,trn,on no condition,multi_word
PersonX is on no condition playing football with PersonY's friends,PersonX is playing football with PersonY's friends,trn,on no condition,multi_word
PersonX is on no condition celebrating PersonY's birthday,PersonX is celebrating PersonY's birthday,trn,on no condition,multi_word
PersonX is on no condition driving PersonY nuts,PersonX is driving PersonY nuts,trn,on no condition,multi_word
PersonX is on no condition friends with PersonY,PersonX is friends with PersonY,trn,on no condition,multi_word
PersonX is on no condition very happy together,PersonX is very happy together,trn,on no condition,multi_word
PersonX is on no condition having trouble sleeping at night,PersonX is having trouble sleeping at night,trn,on no condition,multi_word
PersonX is on no condition going out with friends,PersonX is going out with friends,trn,on no condition,multi_word
PersonX is on no condition cooking dinner,PersonX is cooking dinner,trn,on no condition,multi_word
PersonX is on no condition invited to a party,PersonX is invited to a party,trn,on no condition,multi_word
PersonX is on no condition riding PersonY's motorcycle,PersonX is riding PersonY's motorcycle,trn,on no condition,multi_word
PersonX is on no condition getting married,PersonX is getting married,trn,on no condition,multi_word
PersonX is on no condition angry at PersonY,PersonX is angry at PersonY,trn,on no condition,multi_word
PersonX is on no condition outside playing,PersonX is outside playing,trn,on no condition,multi_word
PersonX is on no condition PersonY's passion,PersonX is PersonY's passion,trn,on no condition,multi_word
PersonX opposes providing PersonY alternative,PersonX provides PersonY alternative,trn,oppose,verb
PersonX opposes buying the shirt,PersonX buys the shirt,trn,oppose,verb
PersonX opposes calling PersonY's insurance company,PersonX calls PersonY's insurance company,trn,oppose,verb
PersonX opposes giving PersonY the money,PersonX gives PersonY the money,trn,oppose,verb
PersonX opposes taking PersonY's girlfriend out to dinner,PersonX takes PersonY's girlfriend out to dinner,trn,oppose,verb
PersonX opposes finding PersonY a man,PersonX finds PersonY a man,trn,oppose,verb
PersonX opposes inviting PersonY to lunch,PersonX invites PersonY to lunch,trn,oppose,verb
PersonX opposes seeing the band,PersonX sees the band,trn,oppose,verb
PersonX opposes taking the trash,PersonX takes the trash,trn,oppose,verb
PersonX opposes getting PersonX's own apartment,PersonX gets PersonX's own apartment,trn,oppose,verb
PersonX opposes supporting PersonY's cause,PersonX supports PersonY's cause,trn,oppose,verb
PersonX opposes dropping PersonY's cell phone,PersonX drops PersonY's cell phone,trn,oppose,verb
PersonX opposes taking PersonY's photo,PersonX takes PersonY's photo,trn,oppose,verb
PersonX opposes bringing the dog,PersonX brings the dog,trn,oppose,verb
PersonX opposes offering a job,PersonX offers a job,trn,oppose,verb
PersonX opposes decorating PersonY's tree,PersonX decorates PersonY's tree,trn,oppose,verb
PersonX opposes lending PersonY the money,PersonX lends PersonY the money,trn,oppose,verb
PersonX opposes making breakfast for PersonY's family,PersonX makes breakfast for PersonY's family,trn,oppose,verb
PersonX opposes spending with PersonX's family,PersonX spends with PersonX's family,trn,oppose,verb
PersonX opposes getting my hair cut,PersonX gets my hair cut,trn,oppose,verb
PersonX opposes following PersonY's course,PersonX follows PersonY's course,trn,oppose,verb
PersonX opposes securing PersonY's release,PersonX secures PersonY's release,trn,oppose,verb
PersonX opposes putting an ad in the paper,PersonX puts an ad in the paper,trn,oppose,verb
PersonX opposes impressing a girl,PersonX impresses a girl,trn,oppose,verb
PersonX opposes giving PersonY a promotion,PersonX gives PersonY a promotion,trn,oppose,verb
PersonX opposes seeing PersonY's aunt,PersonX sees PersonY's aunt,trn,oppose,verb
PersonX opposes calling animal control,PersonX calls animal control,trn,oppose,verb
PersonX opposes coming up behind PersonY,PersonX comes up behind PersonY,trn,oppose,verb
PersonX opposes rocking PersonY's hips,PersonX rocks PersonY's hips,trn,oppose,verb
PersonX opposes training PersonY's dog,PersonX trains PersonY's dog,trn,oppose,verb
PersonX opposes giving PersonY a reward,PersonX gives PersonY a reward,trn,oppose,verb
PersonX opposes paying PersonY's medical bills,PersonX pays PersonY's medical bills,trn,oppose,verb
PersonX opposes paying PersonY debts,PersonX pays PersonY debts,trn,oppose,verb
PersonX opposes reading PersonY's letters,PersonX reads PersonY's letters,trn,oppose,verb
PersonX opposes going beyond the scope,PersonX goes beyond the scope,trn,oppose,verb
PersonX opposes using PersonY's computer,PersonX uses PersonY's computer,trn,oppose,verb
PersonX opposes calling PersonX's sister,PersonX calls PersonX's sister,trn,oppose,verb
PersonX opposes paying PersonY wages,PersonX pays PersonY wages,trn,oppose,verb
PersonX opposes hiding PersonY's face,PersonX hides PersonY's face,trn,oppose,verb
PersonX opposes meeting PersonY's sister,PersonX meets PersonY's sister,trn,oppose,verb
PersonX opposes asking PersonY to the dance,PersonX asks PersonY to the dance,trn,oppose,verb
PersonX opposes playing the clarinet,PersonX plays the clarinet,trn,oppose,verb
PersonX opposes living among people,PersonX lives among people,trn,oppose,verb
PersonX opposes hurting PersonY's leg,PersonX hurts PersonY's leg,trn,oppose,verb
PersonX opposes writing PersonY letter,PersonX writes PersonY letter,trn,oppose,verb
PersonX opposes seeing my dog,PersonX sees my dog,trn,oppose,verb
PersonX opposes taking PersonY to the store,PersonX takes PersonY to the store,trn,oppose,verb
PersonX opposes calling PersonY up,PersonX calls PersonY up,trn,oppose,verb
PersonX opposes winning PersonY over,PersonX wins PersonY over,trn,oppose,verb
PersonX opposes visiting relatives,PersonX visits relatives,trn,oppose,verb
PersonX opposes seeing a friend,PersonX sees a friend,trn,oppose,verb
PersonX opposes bringing PersonY's lunch,PersonX brings PersonY's lunch,trn,oppose,verb
PersonX rarely gives PersonY indication,PersonX gives PersonY indication,trn,rarely,single_word
PersonX rarely helps PersonY,PersonX helps PersonY,trn,rarely,single_word
PersonX rarely plays board games,PersonX plays board games,trn,rarely,single_word
PersonX rarely rolls up PersonY's sleeves,PersonX rolls up PersonY's sleeves,trn,rarely,single_word
PersonX rarely decides to quit,PersonX decides to quit,trn,rarely,single_word
PersonX rarely remains until PersonY's death,PersonX remains until PersonY's death,trn,rarely,single_word
PersonX rarely spares PersonY life,PersonX spares PersonY life,trn,rarely,single_word
PersonX rarely races PersonX's friend,PersonX races PersonX's friend,trn,rarely,single_word
PersonX rarely reduces PersonY's costs,PersonX reduces PersonY's costs,trn,rarely,single_word
PersonX rarely kills PersonY enemy,PersonX kills PersonY enemy,trn,rarely,single_word
PersonX rarely takes another wife,PersonX takes another wife,trn,rarely,single_word
PersonX rarely takes a trip to PersonY,PersonX takes a trip to PersonY,trn,rarely,single_word
