event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
personx enters personx's bus,tst,"[""ready"", ""interested"", ""traveling"", ""leaving""]","[""is asked directions"", ""faces engine problems"", ""takes a ride"", ""arrives at destination""]","[""none""]",,,"[""to operate the bus"", ""to sit on the bus"", ""Check the driver mirrors"", ""Adjust the seat"", ""Put on seatbelt"", ""Turn the bus on"", ""find a seat inside the bus"", ""tell the driver where he is heading to"", ""ride somewhere"", ""get off the bus""]","[""none"", ""Stop at people's bus stops"", ""Open doors for people"", ""Wait for people to take a seat"", ""Drop people off""]",,"[""to get a bus"", ""to open the bus' door"", ""Get driver's license"", ""Get keys"", ""Unlock the bus"", ""Open the bus door"", ""none"", ""approach the bus"", ""open the bus door""]",PersonX enters PersonX's car
PersonX leaves their bedroom dirty,tst,"[""messy"", ""sloppy"", ""not trying to impress anyone""]","[""has bugs coming into the room"", ""PersonX's bedroom smells"", ""is grounded"", ""is evicted""]","[""none""]","[""like they're in a rush"", ""like they have a lot to do"", ""like they have better things to do"", ""like it can be done later"", ""dirty"", ""sloppy""]","[""none""]","[""full of dust"", ""and to clean it"", ""to pick up their clothes and put them in the laundry"", ""to vacuum and dust their bedroom"", ""to take all their dirty snack dishes to the kitchen"", ""to go out for work"", ""to clean his bed room""]","[""none""]","[""to get somewhere quickly"", ""to be lazy"", ""to play"", ""to do something fun"", ""to do other things besides cleaning"", ""to leave home quickly""]","[""none"", ""to toss their dirty clothes in a pile on the floor"", ""to let books and papers pile up on their desk"", ""to eat in their room and leave the empty food containers laying around"", ""to walk into their room wearing muddy shoes"", ""to sleep well"", ""work in home""]",PersonX cleans PersonX's bedroom
PersonX misses details on PersonY's experience,tst,"[""impersonal"", ""oblivious"", ""inattentive"", ""uninterested""]","[""misses opportunity"", ""made a fool"", ""fails to prepare person y scrapbook"", ""looses out on business""]","[""none"", ""looses out on a family moment"", ""doesn't loose money from subpar work by person x""]","[""guilty"", ""sad"", ""confused"", ""curious"", ""disappointed""]","[""misrepresented"", ""unheard"", ""like Person X isn't listening"", ""none""]","[""asked again for details"", ""forget the matter"", ""gets over with"", ""feels great"", ""to convence y"", ""act sorry""]","[""none""]","[""none""]","[""got distracted"", ""lost focus"", ""none""]",PersonX describes PersonY's experience
PersonX drives all day,tst,"[""determined"", ""focused"", ""motivated"", ""skilled""]","[""none"", ""has trouble straightening their back when they stand""]","[""none""]","[""exhausted"", ""tired"", ""overworked"", ""annoyed""]","[""none""]","[""he want to take rest"", ""be cool"", ""use the restroom and freshen up"", ""take a walk to stretch their legs"", ""to get rest"", ""to stop the bike""]","[""none""]","[""to go on vacation"", ""to get home"", ""to tour the town"", ""to test the car out"", ""to do their job"", ""to get to a location""]","[""he drive continuously"", ""he buy a car"", ""to get in the car"", ""start the car and put it in gear"", ""to get into the bike"", ""to reach the destination""]",PersonX drives all night
PersonX flys bikes,tst,"[""inventive"", ""gifted"", ""innovative"", ""technical"", ""cool""]","[""becomes relaxed"", ""becomes proud of themselves"", ""jump in excitement"", ""sweat from nerves""]","[""none""]",,,"[""to add wings to the bike"", ""to find out if they are dreaming"", ""make the trip god"", ""have fun""]","[""none""]",,"[""none"", ""want to ride"", ""plan for a trip""]",PersonX rides bikes
PersonX is getting closed,tst,"[""unreliable"", ""incapable"", ""tired"", ""exhausted""]","[""stays still"", ""stays unmotivated"", ""want be together"", ""love to hangout""]","[""none""]",,,"[""lock the door"", ""keep the key and go to his house"", ""to find a new business"", ""to earn money""]","[""none""]",,"[""get a sign of closed on the door"", ""prepare and pack everything needed"", ""to lose money"", ""to worry""]",PersonX is getting ready
PersonX reads one,tst,"[""smart"", ""curious"", ""intelligent"", ""glad""]","[""develop the skills"", ""study hard"", ""smiles"", ""blushes""]","[""none""]",,,"[""to put it down"", ""to continue reading"", ""to read something else"", ""to read another one"", ""to set it down""]","[""none""]",,"[""to pick up one"", ""to focus on the page"", ""to find one"", ""to learn to read""]",PersonX watches one with PersonY
PersonX hates working out,tst,"[""lazy"", ""too sore"", ""inactive"", ""immobile""]","[""develops heart disease"", ""develops weight issues"", ""becomes unhealthy"", ""looses out on work oppurtunitys""]","[""none""]",,,"[""to find other outdoor activities"", ""to find a coach"", ""Get exercise through sports"", ""Cancel gym membership"", ""Go on a diet"", ""to eat less"", ""to take a nap"", ""to take care of health"", ""to stay fit"", ""to take a nap on the couch"", ""to avoid going to the gym""]","[""none""]",,"[""none"", ""to be lazy"", ""to be inactive""]",PersonX joins a gym
PersonX releases the dog,tst,"[""compassionate"", ""hostile"", ""caring"", ""playful""]","[""is jumped on"", ""is licked on the face"", ""none""]","[""none""]","[""relieved"", ""happy"", ""guilty"", ""shameful"", ""scared"", ""concerned for the dog"", ""threatened by an intruder"", ""unable to restrain the dog""]","[""happy"", ""grateful"", ""none"", ""scared of the approaching dog"", ""nervous that the dog will attack"", ""sad that their dog is loose"", ""tired of running from the dog""]","[""to find the dog"", ""to go back to home"", ""watch the dog play"", ""goes fo a walk"", ""give dog some playtime"", ""let dog to roamming the place""]","[""none"", ""play with the dog"", ""take the dog to walk""]","[""to let the dog exercise in the yard"", ""to help the dog free himself"", ""to be mean"", ""create more strays"", ""the dog to attack"", ""the dog to be released"", ""their neighbor to stop yelling"", ""to protect their house"", ""to let the dog exercise in the yard"", ""to help the dog free himself""]","[""to see the dog"", ""to grab the chain"", ""none"", ""need to drop the collar"", ""gave some instruction to avoid rude act""]",PersonX catches the dog
PersonX have very unique features,tst,"[""beautiful"", ""too pretty for their own good"", ""unusual"", ""enchanting""]","[""person x works hard"", ""person x have more talent than others"", ""show on the competition"", ""win the price""]","[""They want to follow him"", ""They need to inspire person x"", ""none""]",,,"[""change his features"", ""hide his features"", ""put makeup on his features"", ""to find a partner who understands them"", ""to show off""]","[""none""]",,"[""none""]",PersonX looks like something
PersonX is calm and confident.,tst,"[""composed"", ""professional"", ""self-assured"", ""collected""]","[""none"", ""gains skill"", ""gains knowledge""]","[""none""]",,,"[""to be encouraged"", ""to achieve everything"", ""to win the game"", ""to determine""]","[""none""]",,"[""to get a job"", ""to earn money"", ""none""]",PersonX feels very nervous
PersonX decides to make a home-cooked meal,tst,"[""caring"", ""thoughtful"", ""decisive"", ""talented""]","[""Thanked by husband"", ""Given compliments on cooking"", ""gets warm from the heat off the stove"", ""becomes enveloped in the smell of the food""]","[""none""]","[""satisfied"", ""happy"", ""responsible"", ""content"", ""full""]","[""grateful"", ""excited"", ""none""]","[""to eat the meal"", ""and wash the plates"", ""to switch on the stove"", ""to cook meal"", ""to prepare the oven"", ""to prepare the utensils""]","[""none""]","[""comfort"", ""sustenance"", ""to eat delicious food"", ""to save money"", ""to eat"", ""to serve food""]","[""none"", ""to make a decision"", ""to stay health"", ""to check on their supplies"", ""to go to the grocery store""]",PersonX decides to order pizza instead
PersonX listens to music,tst,"[""at peace"", ""looking for something happy"", ""musical"", ""relaxed""]","[""laughs"", ""shakes head with rhythm"", ""body and mind relax"", ""eardrums vibrate""]","[""none""]",,,"[""to turn off the music"", ""to turn the music up"", ""dance"", ""enjoy""]","[""none""]",,"[""to turn on the radio"", ""to buy music"", ""none""]",PersonX writes music
PersonX welcomes PersonY inside.,tst,"[""welcoming"", ""helpful"", ""loving"", ""warm"", ""inviting""]","[""Thanked by personY"", ""Given a glass of water"", ""greeted"", ""smiles""]","[""none"", ""greeted"", ""smiles""]",,,"[""offer drinks"", ""chat"", ""to give drinks"", ""to provide food""]","[""chat"", ""sit down"", ""none""]",,"[""be home"", ""answer the door"", ""none""]",PersonX prevents PersonY from entering
PersonX is confident in PersonX's ability,tst,"[""strong"", ""skilled"", ""motivated""]","[""congratulated"", ""promoted"", ""they did good"", ""they win""]","[""none""]",,,"[""to show others that they are the best"", ""to enter a contest for their ability"", ""to achieve"", ""to be successful""]","[""none""]",,"[""none""]",PersonX tests PersonX's ability
PersonX lays under PersonY,tst,"[""caring"", ""funny"", ""subservient"", ""docile""]","[""body warms up"", ""limbs fall asleep from lack of movement"", ""Hit on by personY"", ""Kissed by personY""]","[""body warms up"", ""body becomes aroused"", ""heartrate increases"", ""Pulled closer by personX"", ""Hugged by personX""]",,,"[""to be comforted"", ""to rest"", ""to remain a long time with persony"", ""to ask persony to get up""]","[""to hold PersonX"", ""to rest with someone"", ""to remain with personx a while"", ""to fall asleep on personx""]",,"[""to find PersonY"", ""to lay down"", ""get underneath persony"", ""to invite persony over""]",PersonX lays on top of PersonY
PersonX chases PersonY back,tst,"[""playing tag"", ""fun loving"", ""gaming"", ""scary"", ""intimidating""]","[""Trips and falls"", ""Loses track of personY"", ""gets looked at funny by onlookers"", ""gets in trouble by police""]","[""none"", ""sweats from running"", ""becomes worried by situation""]",,,"[""fight together"", ""want some money for repair"", ""keep personY back"", ""rest""]","[""want some money"", ""repair something damaged"", ""to get away"", ""receive an apology"", ""be let in""]",,"[""plan for chase someone"", ""it was very bad"", ""none"", ""find personY"", ""chase personY""]",PersonX escorts PersonY back
PersonX is wealthy.,tst,"[""happy"", ""carefree"", ""talented"", ""successful"", ""hardworking""]","[""is admired"", ""is revered"", ""becomes secure in life with no worries"", ""doesn't have to work"", ""becomes popular amoung peers""]","[""none""]","[""good about themself"", ""assured about their finances"", ""gratful"", ""satisfied"", ""happy"", ""fulfilled"", ""assured about their finances""]","[""none""]","[""to be good person"", ""to be happy"", ""to buy expensive things"", ""to move in to a big house"", ""earn more money"", ""and help others""]","[""none""]","[""to have a good life"", ""to do their best"", ""none""]","[""to work hard"", ""to earn more money"", ""to get a good job"", ""to save his money"", ""none""]",PersonX does n't have a lot of money
PersonX remembers my wallet,tst,"[""informed"", ""heedful"", ""nice"", ""helpful""]","[""Asked to pay for dinner"", ""Has card taken by waiter"", ""none""]","[""none""]",,,"[""to get money"", ""to inform  me"", ""give the wallet back"", ""continnue walking""]","[""none"", ""to thank PersonX"", ""to check to see if all the money's still in it""]",,"[""none"", ""to be thoughtful"", ""to be sharp""]",PersonX forgets my wallet
PersonX sits right next to,tst,"[""concerned"", ""happy"", ""social"", ""talkative""]","[""none""]","[""none""]",,,"[""to see what they are sitting next to"", ""to make sure their mask is covering their face"", ""to return to home"", ""to clean the room""]","[""none""]",,"[""none"", ""to go to school"", ""to get out""]",PersonX sits across
PersonX whispers to PersonY,tst,"[""secretive"", ""quiet"", ""reserved""]","[""hears answer"", ""gets looked at"", ""share a secret"", ""like to be friendly""]","[""none""]",,,"[""to harm persony"", ""to threaten persony"", ""to get responded to"", ""to be whispered back""]","[""to kill personx"", ""to hit personx"", ""none""]",,"[""none""]",PersonX yells for PersonY
PersonX hates an old man,tst,"[""loathing"", ""detestable"", ""Predudiced"", ""Cruel""]","[""none"", ""person x leaves the old man in his home"", ""person x doesn't take care of old man"", ""person x never looks upon an old man""]","[""none"", ""An old man hates person x"", ""An old man blames person x""]",,,"[""to kill the old man"", ""to smother the old man"", ""to move away"", ""to ignore them""]","[""to avoid a nursing home"", ""to call for help"", ""none""]",,"[""none""]",PersonX likes a girl
PersonX want's to fight.,tst,"[""violent"", ""angry"", ""aggressive"", ""pushy"", ""belligerent""]","[""gets in a fight"", ""gets hurt"", ""Punched by a stranger"", ""Pushed around to encourage them to fight""]","[""gets injured"", ""gets in an argument"", ""none""]","[""regret"", ""shame"", ""pride"", ""comptetitive"", ""angry"", ""relieved"", ""strong"", ""ashamed"", ""relieved"", ""strong"", ""ashamed""]","[""hurt"", ""injured"", ""offended"", ""none"", ""scared"", ""beaten-down"", ""awful"", ""scared"", ""beaten-down"", ""awful""]","[""beat him up first"", ""strike him down"", ""apologizes"", ""feels sorry"", ""to fight"", ""safe herself""]","[""let him know your strength"", ""warn him"", ""none""]","[""to argue with someone"", ""to avenge someone or something"", ""to defend themselves"", ""to beat someone"", ""to win"", ""to let out their anger"", ""to be violent"", ""to let out their anger"", ""to be violent""]","[""had some past conflict"", ""make him anger on his act"", ""none"", ""to prepare for fight"", ""to the person""]",PersonX does n't want to fight
PersonX declines the new job,tst,"[""challenged"", ""unsure"", ""determined"", ""arrogant""]","[""makes new applications"", ""apologizes to the company"", ""they are offered it"", ""they need to move""]","[""none""]",,,"[""to get a different job"", ""to become self employed"", ""to learn the things"", ""to go outing""]","[""to interview others"", ""to beg PersonX to reconsider"", ""none""]",,"[""to apply for a job"", ""to look at job offers"", ""none""]",PersonX takes the new job
PersonX comes up from the pan,tst,"[""in hot water"", ""injured"", ""fast"", ""thrifty""]","[""none"", ""pain"", ""sick""]","[""none""]",,,"[""to leave the pan"", ""to visit some friends"", ""go back"", ""go home""]","[""none""]",,"[""none"", ""go to the pan"", ""decide to come up""]",PersonX goes down the pan
PersonX takes PersonY account,tst,"[""kind"", ""giving"", ""open-minded"", ""focused"", ""thieving"", ""stealing"", ""caring""]","[""understand y better"", ""avoid a conflict with y"", ""they are arrested"", ""they go to prison"", ""gets questioned by person y"", ""gets arrested"", ""gets caught by the boss"", ""gets fired""]","[""are understood"", ""become friends with x"", ""they are left penniless"", ""becomes frustrated"", ""yells at person x"", ""none""]",,,"[""to check them"", ""help out"", ""get some changed account"", ""going to some place"", ""to spend them"", ""to help others"", ""to deliver it to their boss"", ""to hand it over to the FBI""]","[""none"", ""change the account"", ""as possible"", ""to file a report of missing assets"", ""to call the IRS""]",,"[""none"", ""plan to work"", ""plan to change account"", ""to locate it"", ""to look around and see if there are witnesses""]",PersonX gives PersonY account
PersonY obsesses over PersonX.,tst,"[""wanted"", ""desired"", ""charismatic"", ""attractive""]","[""X breaks out in a cold sweat whenever he sees Y"", ""Y sends X love letters"", ""Y stalks X"", ""person x fights with person y"", ""person x hates the behaviour of person y""]","[""Y cannot stop thinking about X"", ""Every song Y hears reminds Y about X"", ""Y cannot sleep or eat"", ""person y want to beat person x"", ""person y want to show his rage""]",,,"[""to file a restraining order"", ""to avoid persony"", ""to cause friendship"", ""to solve the issue""]","[""to stalk personx"", ""to follow personx"", ""none""]",,"[""none""]",PersonX never occurred to PersonY
PersonX releases PersonX's dog,tst,"[""relentling"", ""merciful"", ""cruel"", ""mean"", ""unloving""]","[""gets thanked"", ""gets bitten"", ""smiles as the dog jumps around"", ""gets licked by the dog"", ""is shown undying love""]","[""none""]","[""Satisfied"", ""Amused"", ""satisfied"", ""sad"", ""guilty"", ""ashamed""]","[""none"", ""betrayed"", ""abandoned""]","[""look for the dogs"", ""get the dogs closed"", ""to find the dog"", ""to give it back"", ""to catch the dog"", ""to tie the dog""]","[""none""]","[""To let it out"", ""To be a responsible owner"", ""the dog to go pee"", ""to dog to be free"", ""the dog to be free"", ""to not take care of the dog anymore""]","[""ask for permeation"", ""go to the dogs"", ""none"", ""to buy a dog"", ""to play with the dog""]",PersonX catches PersonX's dog
PersonX lets someone else take charge,tst,"[""an advocate"", ""a participant"", ""indifferent"", ""timid"", ""shy""]","[""none"", ""they go play"", ""they go home""]","[""none""]",,,"[""feel brave"", ""honesty ,clam"", ""to quit his job"", ""to listen to the new person in charge""]","[""none"", ""to be the new leader"", ""to make people listen""]",,"[""none"", ""to be in charge"", ""to give up on the job""]",PersonX takes matters
PersonX leaves the umbilical cord attached.,tst,"[""forgetful"", ""unaware"", ""intelligent"", ""well-read""]","[""none"", ""the baby falls to the ground"", ""the baby chews through the cord""]","[""suffocates"", ""dies"", ""none""]","[""happy"", ""content"", ""weird"", ""like an incompetent doctor"", ""comfortable"", ""Compassionate""]","[""frustrated"", ""nothing"", ""attached"", ""weird"", ""happy"", ""safe""]","[""act friendship"", ""good persons"", ""it is serious operational make it perrfect"", ""it is nature"", ""to remove the cord"", ""close the cord""]","[""none""]","[""to keep the cord inside"", ""to keep it safe"", ""the baby to continue umbilical feeding"", ""the baby to remain attached to the mother"", ""to perserve health"", ""to ensure safety""]","[""none""]",PersonX cuts the umbilical cord
PersonX rubs the stain out,tst,"[""upset"", ""worried"", ""meticulous"", ""conscientious""]","[""none"", ""gets a tired arm"", ""breathes hard""]","[""none""]",,,"[""to paint over the spot"", ""to redecorate the entire kitchen"", ""good for the health"", ""take some rest""]","[""none""]",,"[""to pour the cleaning solution"", ""to soak the rag"", ""plan to rub"", ""plan fot stain out""]",PersonX gets the stain
PersonX hides PersonX's mother,tst,"[""playful"", ""helpful"", ""careful"", ""protective""]","[""arrested for murder"", ""gets fought by mother"", ""is yelled at""]","[""they are buried"", ""gets hurt"", ""is deprived of liberty""]",,,"[""make an excuse"", ""make up a lie"", ""keeps hiding the mother"", ""take the mother out"", ""to feel safe"", ""to leave that place""]","[""make sure the mother can't be found"", ""be quiet"", ""angry with the person"", ""unfriend him"", ""none""]",,"[""look for a hiding spot"", ""make sure no one is looking"", ""must be close to the mother"", ""have an enmity with the person"", ""to save his mother"", ""to take care of his mother"", ""to hide from enemies""]",PersonX shows PersonX's mother
PersonX sets the book down gently.,tst,"[""careful"", ""cautious"", ""considerate"", ""calm"", ""gentle""]","[""they get up"", ""they remember their page number"", ""avoids damaging the book"", ""has an intact book""]","[""none""]",,,"[""to be more gentle"", ""to be more trustworthy"", ""plan to meet person""]","[""none""]",,"[""none""]",PersonX throws the book
PersonX ignores persony,tst,"[""unfriendly"", ""rude"", ""distant"", ""haughty""]","[""none""]","[""becomes frustrated by person x talking over them"", ""looses confidence in person x as a friend"", ""none""]",,,"[""to stay silent"", ""to look away"", ""to make up"", ""to talk to y""]","[""to get personx attention"", ""to walk away"", ""none""]",,"[""none""]",PersonX gazes upon PersonY
Person X has crippling stage fright,tst,"[""unconfident"", ""unsure"", ""uncertain"", ""not confident""]","[""shaking"", ""stuttering"", ""blushing"", ""gets shaky hands"", ""gets a lot of thoughts racing through their head""]","[""none""]",,,"[""Get better"", ""More courage"", ""to go home"", ""to cancel the show""]","[""none""]",,"[""none""]",PersonX makes PersonX's speech
PersonX invigorates PersonY.,tst,"[""energizing"", ""active"", ""exhilarating"", ""persuasive""]","[""Attacked by personY"", ""Gets knocked out"", ""Rushed to hospital"", ""gets thanked"", ""gets hugged""]","[""none"", ""yells"", ""smiles""]",,,"[""to buy milk"", ""to boil milk""]","[""none""]",,"[""none"", ""to meet person y"", ""to talk to person y""]",PersonX puts PersonY down
PersonX drops PersonY investigation,tst,"[""done with the case"", ""not willing to try"", ""negligent"", ""slack""]","[""none"", ""Ripped a new one by personY"", ""Demoted from position"", ""Given fewer responsibilities""]","[""they avoid court"", ""none""]","[""nervous"", ""guilty"", ""content"", ""finished"", ""SATISFIED"", ""HAPPY""]","[""confused"", ""worried"", ""happy"", ""relieved"", ""HAPPY"", ""NOT SATISFIED""]","[""get a break"", ""goes fo vacation"", ""to investigate"", ""to solve the case"", ""settle the case"", ""go tobed""]","[""annoyed"", ""furious"", ""none"", ""they settle theissue"", ""be at peace""]","[""to save time"", ""to make themselves look better"", ""to clear their name"", ""investigate something else"", ""TO STOP IT""]","[""could not solve the problem"", ""got tired"", ""to know about person y"", ""to hear what person y says"", ""verify the truth"", ""check the information""]",PersonX conducts PersonY investigation
PersonX dumps PersonY's bags,tst,"[""careless"", ""thoughtless"", ""mean"", ""jelous""]","[""gets yelled at"", ""is thanked"", ""shakes arms"", ""breathes deeply""]","[""gets item broken"", ""is asked for payment"", ""becomes grateful"", ""thinks of proper response""]",,,"[""to laugh at person y"", ""to have fun""]","[""retrieve the bags"", ""unpack"", ""none""]",,"[""pick up the bags"", ""to see person y's bag"", ""to take person y's bag""]",PersonX packs PersonY's bags
PersonX loses another job,tst,"[""careless"", ""untalented"", ""failure"", ""loser""]","[""has no money"", ""is fired"", ""gets desperate"", ""shouts at themselves""]","[""none""]",,,"[""buy slugs"", ""make enquiries on where to get them"", ""to be more careful"", ""to prepare hard""]","[""none""]",,"[""none""]",PersonX finds another job
PersonX massages PersonX's leg,tst,"[""industrious"", ""caring"", ""thoughtful""]","[""can walk properly"", ""can go shopping"", ""sighs"", ""relaxes""]","[""none""]","[""relaxed"", ""frustrated (if discomfort continues)"", ""relieved"", ""nice"", ""friendly"", ""helpful"", ""better""]","[""none"", ""better"", ""less in pain""]","[""to charge person Y for the massage"", ""to wash massage oil off their hands"", ""a massage in return from person Y"", ""to ask person Y if they want a massage anywhere else"", ""to take a break and rest their hands"", ""to ask for one from PersonY"", ""goes home"", ""takes an aspirn for pain"", ""wash hishands"", ""take a shower and sleep"", ""to earn money"", ""to help person y""]","[""to thank person X"", ""to set up another appointment with person X"", ""to give person X a tip"", ""to ask for another one"", ""to do a massage for PersonX"", ""none""]","[""their leg to hurt less"", ""to get themselves to relax"", ""to feel for anything unusual"", ""to help PersonX"", ""to make PersonX's leg feel better"", ""to feel better"", ""to heal""]","[""to get close to person Y"", ""to offer Person Y a massage"", ""to get massage oil"", ""to go to work at a massage parlor"", ""to decide what part of leg to massage"", ""to apply pressure to the area"", ""works hard all day"", ""feels leg pain"", ""none"", ""to see person y"", ""to touch person y""]",PersonX burns PersonX's arm
PersonX is very frugal.,tst,"[""disciplined"", ""has a plan"", ""miserly"", ""thirfty""]","[""gains wealth"", ""becomes rich"", ""builds up savings"", ""is left alone""]","[""none""]",,,"[""to retire young"", ""to not worry about finances"", ""to save money"", ""to become wealthy""]","[""none""]",,"[""save their money"", ""create a budget"", ""none""]",PersonX spends a lot of money
PersonX sees a tiger.,tst,"[""Awed"", ""Nervous"", ""observant"", ""aware""]","[""to protect him"", ""to avoid the damages"", ""take a selfie in too long"", ""throw a stone on a tiger""]","[""none""]",,,"[""take pictures"", ""run away"", ""look a pictures"", ""tells friends of tiger""]","[""none""]",,"[""go to a zoo"", ""be in a jungle"", ""goes to the zoo"", ""looks for tiger""]",PersonX sees a rabbit
PersonX loses muscle.,tst,"[""weak"", ""frail"", ""lazy"", ""slothful""]","[""prones to fall down"", ""encurs fatigue and weakness"", ""loses weight"", ""is much weaker""]","[""none""]","[""weak"", ""sad"", ""lazy"", ""worried""]","[""none""]","[""buy smaller clothing"", ""buy a gym membership"", ""start exercising again"", ""to look lean"", ""to be praised"", ""Take a shower because they are sweaty"", ""change clothes"", ""drink a glass of water"", ""To eat healthy"", ""To workout and gain muscle"", ""to work out"", ""to bulk up"", ""go to the gym more"", ""eat better""]","[""none""]","[""none"", ""to appear thinner"", ""wants to fit into another size category for wrestling""]","[""stop excercising"", ""stop eating protien"", ""to lose the weight"", ""to hit the gyu"", ""Buy equipment to excercize"", ""put on workout clothing"", ""take a workout supplement"", ""To eat"", ""To workout"", ""none"", ""Dont exercise"", ""dont eat healthy""]",PersonX builds muscle
PersonX cleans up PersonY,tst,"[""helpful"", ""an aide"", ""caring"", ""attentive""]","[""they are thanked"", ""they are hugged"", ""smells the clean air"", ""will get his hands wet""]","[""none"", ""gets a sense of gratitude"", ""looks at personx to thank personx""]",,,"[""to clean something else"", ""to help Person Y"", ""to rest"", ""to sleep well""]","[""to get dirty again"", ""to thank Person X"", ""none""]",,"[""to see Person Y is dirty"", ""to find a broom"", ""plan to clean"", ""make a clean shot""]",PersonX spills all over PersonY
PersonX forgets a new language,tst,"[""not practicing"", ""not a good retainer"", ""inattentive"", ""distracted""]","[""they cannot communicate with others"", ""they can't get home"", ""need more practice"", ""can speak with known language""]","[""none""]",,,"[""to practice the new language"", ""to talk to other people who also know the new language"", ""to avoid people who speak the language"", ""to relearn what they have forgotten""]","[""none""]",,"[""none"", ""to learn a new language"", ""to not practice the new langauge""]",PersonX learns a new language
PersonX breaks up a friendship.,tst,"[""manipulative"", ""mean"", ""cruel"", ""thoughtless""]","[""fight"", ""ignore"", ""is told they're a jerk by a few people"", ""is told they need to apologize to their friend""]","[""none"", ""is told PersonX doesn't care"", ""is told there won't be an apology""]",,,"[""to find new friends"", ""to live a drama free life"", ""to apologize""]","[""none"", ""to confront PersonX"", ""to find new friends""]",,"[""to be betrayed by a friend"", ""to contact the friend"", ""to talk bad about someone"", ""to learn the facts""]",PersonX remains friends
PersonX gently strokes PersonY's hair,tst,"[""caring"", ""affectionate"", ""soothing"", ""maternal""]","[""they're pushed away"", ""they're gazed at lovingly"", ""person y rests their head on person x"", ""relaxes""]","[""they fall asleep"", ""they smile"", ""relaxes"", ""hair is smoothed""]",,,"[""to say sorry"", ""to leave the hair"", ""fighting"", ""hair damage""]","[""none""]",,"[""to play with person y"", ""to hurt person y"", ""none""]",PersonX grabs PersonY's hair
PersonX loses PersonY's ring,tst,"[""careless"", ""indifferent"", ""clumsy"", ""depressing""]","[""behaves negatively"", ""decides to learn for next time"", ""they are yelled at"", ""they have a heated argument""]","[""none"", ""they are promised compensation"", ""they get an apology""]",,,"[""to find ring"", ""to buy new one"", ""help find it"", ""go searching""]","[""none""]",,"[""none""]",PersonX finds PersonY's ring
PersonX watches romantic movies,tst,"[""loving"", ""sweet"", ""horny""]","[""happy"", ""be like"", ""call friends"", ""blushes""]","[""none""]",,,"[""Turn off the television"", ""Go to bed"", ""to make popcorn"", ""to get soda"", ""to watch another type of movie"", ""to find a good action movie""]","[""none""]",,"[""Turn on the television"", ""Select the channel or video to watch"", ""to find a television"", ""to find a film"", ""to find a movie to watch"", ""to get some popcorn""]",PersonX watches scary movies
PersonX decides to watch a movie,tst,"[""occupied"", ""entertained"", ""relaxed"", ""content""]","[""gains joy from movie"", ""gains fear from scary movie"", ""none""]","[""none""]","[""relaxed"", ""tired"", ""entertained"", ""good"", ""excited""]","[""none""]","[""go to bed"", ""watch another movie"", ""sit"", ""switch the lights off"", ""to get more friends"", ""to have fun""]","[""none""]","[""to relax"", ""lay down and enjoy some content"", ""to be entertained"", ""to laugh at a comedy"", ""watch a movie""]","[""to decide on a movie to watch"", ""turn on a device to watch the movie on"", ""look for the movie"", ""put the movie on the tv"", ""to wish to see a movie"", ""to buy the ticket""]",PersonX decides to read a book
PersonX stayed in place.,tst,"[""rigid"", ""concerned"", ""frozen"", ""afraid"", ""scared""]","[""Told to move by a stranger"", ""Pushed out of the way"", ""got shot"", ""got egged""]","[""none""]",,,"[""get moving"", ""start walking"", ""to stay still"", ""to not move"", ""stay"", ""move"", ""to be kind"", ""to stay put""]","[""none""]",,"[""be stopped"", ""not move"", ""none"", ""be somewhere"", ""decide to stay""]",PersonX eventually moved
PersonX sits in silence,tst,"[""patient"", ""discrete"", ""sulking"", ""upset""]","[""they reach nirvana"", ""body calms"", ""gets tired"", ""gets sore""]","[""none""]",,,"[""to think over"", ""to be calm""]","[""none""]",,"[""sit down"", ""none""]",PersonX plays PersonX's favorite songs
PersonX pushes PersonY's car,tst,"[""strong"", ""useful"", ""STRONG"", ""BRAVE""]","[""they are thanked"", ""they are paid"", ""Told to back off"", ""Pushed by personY""]","[""none""]",,,"[""to start the car"", ""to ride back home"", ""to call for roadside assistance"", ""to check in with mechanic""]","[""none""]",,"[""none"", ""to look under the hood to troubleshoot"", ""to close the car door""]",PersonX pulls PersonY's car
PersonX makes PersonY pay the bill,tst,"[""broke"", ""needy"", ""thrifty"", ""cheap""]","[""Scolded by personY"", ""Kicked out of the house"", ""gets yelled at by person y"", ""doesn't loose any money""]","[""none"", ""looses out on money"", ""frowns at person x""]","[""Appeased"", ""Gratitude"", ""Sly"", ""Guilty"", ""guilty"", ""relief from not spending""]","[""Sad"", ""Useful"", ""Annoyed"", ""Used"", ""ashamed to be with Person X"", ""sad""]","[""to find their own place"", ""to move away"", ""to eat for free"", ""to thank person y"", ""broke"", ""stingy"", ""gave  the money"", ""gave the bills""]","[""to find their own place"", ""to move away"", ""none""]","[""To not spend money"", ""To make person y feel bad"", ""To be cheap"", ""To avoid paying"", ""to be cheap"", ""to avoid paying""]","[""none"", ""to go to the restaurant"", ""to eat food""]",PersonX buys one for PersonY
